arch,method,corruption,severity,n,n_correct,error_pct
Standard,source,gaussian_noise,5,10000,2767,72.33000000000001
Standard,source,shot_noise,5,10000,3429,65.71000000000001
Standard,source,impulse_noise,5,10000,2708,72.92
Standard,source,defocus_blur,5,10000,5306,46.940000000000005
Standard,source,glass_blur,5,10000,4568,54.32
Standard,source,motion_blur,5,10000,6525,34.75
Standard,source,zoom_blur,5,10000,5798,42.02
Standard,source,snow,5,10000,7493,25.070000000000004
Standard,source,frost,5,10000,5870,41.300000000000004
Standard,source,fog,5,10000,7399,26.009999999999998
Standard,source,brightness,5,10000,9070,9.299999999999997
Standard,source,contrast,5,10000,5331,46.69
Standard,source,elastic_transform,5,10000,7341,26.590000000000003
Standard,source,pixelate,5,10000,4155,58.45
Standard,source,jpeg_compression,5,10000,6970,30.300000000000004
Standard,norm,gaussian_noise,5,10000,7192,28.080000000000005
Standard,norm,shot_noise,5,10000,7388,26.119999999999997
Standard,norm,impulse_noise,5,10000,6373,36.27
Standard,norm,defocus_blur,5,10000,8718,12.819999999999999
Standard,norm,glass_blur,5,10000,6472,35.28
Standard,norm,motion_blur,5,10000,8583,14.170000000000005
Standard,norm,zoom_blur,5,10000,8787,12.129999999999995
Standard,norm,snow,5,10000,8272,17.279999999999994
Standard,norm,frost,5,10000,8261,17.390000000000004
Standard,norm,fog,5,10000,8474,15.259999999999996
Standard,norm,brightness,5,10000,9161,8.389999999999997
Standard,norm,contrast,5,10000,8737,12.629999999999997
Standard,norm,elastic_transform,5,10000,7624,23.760000000000005
Standard,norm,pixelate,5,10000,8034,19.66
Standard,norm,jpeg_compression,5,10000,7270,27.3
Standard,tent,gaussian_noise,5,10000,7519,24.81
Standard,tent,shot_noise,5,10000,7651,23.49
Standard,tent,impulse_noise,5,10000,6698,33.02
Standard,tent,defocus_blur,5,10000,8807,11.929999999999996
Standard,tent,glass_blur,5,10000,6816,31.840000000000003
Standard,tent,motion_blur,5,10000,8628,13.719999999999999
Standard,tent,zoom_blur,5,10000,8922,10.780000000000001
Standard,tent,snow,5,10000,8410,15.900000000000002
Standard,tent,frost,5,10000,8379,16.21
Standard,tent,fog,5,10000,8634,13.660000000000005
Standard,tent,brightness,5,10000,9214,7.86
Standard,tent,contrast,5,10000,8795,12.050000000000004
Standard,tent,elastic_transform,5,10000,7802,21.98
Standard,tent,pixelate,5,10000,8270,17.300000000000004
Standard,tent,jpeg_compression,5,10000,7580,24.2
Standard,tent_continual,gaussian_noise,5,10000,7519,24.81
Standard,tent_continual,shot_noise,5,10000,7952,20.479999999999997
Standard,tent_continual,impulse_noise,5,10000,7147,28.53
Standard,tent_continual,defocus_blur,5,10000,8510,14.900000000000002
Standard,tent_continual,glass_blur,5,10000,6821,31.789999999999996
Standard,tent_continual,motion_blur,5,10000,8335,16.65
Standard,tent_continual,zoom_blur,5,10000,8500,15.000000000000002
Standard,tent_continual,snow,5,10000,8145,18.55
Standard,tent_continual,frost,5,10000,8264,17.36
Standard,tent_continual,fog,5,10000,8336,16.64
Standard,tent_continual,brightness,5,10000,8876,11.240000000000006
Standard,tent_continual,contrast,5,10000,8407,15.93
Standard,tent_continual,elastic_transform,5,10000,7487,25.129999999999995
Standard,tent_continual,pixelate,5,10000,7974,20.26
Standard,tent_continual,jpeg_compression,5,10000,7326,26.74
Hendrycks2020AugMix_WRN,source,gaussian_noise,5,10000,7122,28.779999999999994
Hendrycks2020AugMix_WRN,source,shot_noise,5,10000,7704,22.96
Hendrycks2020AugMix_WRN,source,impulse_noise,5,10000,7380,26.200000000000003
Hendrycks2020AugMix_WRN,source,defocus_blur,5,10000,9053,9.47
Hendrycks2020AugMix_WRN,source,glass_blur,5,10000,7939,20.609999999999996
Hendrycks2020AugMix_WRN,source,motion_blur,5,10000,8943,10.570000000000002
Hendrycks2020AugMix_WRN,source,zoom_blur,5,10000,9074,9.260000000000002
Hendrycks2020AugMix_WRN,source,snow,5,10000,8585,14.149999999999995
Hendrycks2020AugMix_WRN,source,frost,5,10000,8474,15.259999999999996
Hendrycks2020AugMix_WRN,source,fog,5,10000,8251,17.490000000000006
Hendrycks2020AugMix_WRN,source,brightness,5,10000,9238,7.6200000000000045
Hendrycks2020AugMix_WRN,source,contrast,5,10000,7906,20.940000000000005
Hendrycks2020AugMix_WRN,source,elastic_transform,5,10000,8526,14.739999999999998
Hendrycks2020AugMix_WRN,source,pixelate,5,10000,5870,41.300000000000004
Hendrycks2020AugMix_WRN,source,jpeg_compression,5,10000,8533,14.670000000000005
Hendrycks2020AugMix_WRN,norm,gaussian_noise,5,10000,8149,18.510000000000005
