layer,layer_ordinal,layer_name,expert_id,specialization_metric,specialization_score,absolute_normalized_range,rank_range,max_domain,min_domain,max_normalized_importance,min_normalized_importance,minimum_was_zero,general_normalized_contribution,general_rank,general_percentile,math_normalized_contribution,math_rank,math_percentile,coding_normalized_contribution,coding_rank,coding_percentile,reasoning_normalized_contribution,reasoning_rank,reasoning_percentile
0,0,model.layers.0.mlp,12,functional_contribution,25208555778.44907,0.02520855577744907,58.5,general,coding,0.02520855577744907,0.0,True,0.02520855577744907,5.0,0.9365079365079365,0.005457507559870995,55.0,0.14285714285714285,0.0,63.5,0.007936507936507936,0.0024679668704075224,58.0,0.09523809523809523
0,0,model.layers.0.mlp,28,functional_contribution,9685218799.679945,0.009685218798679944,31.0,reasoning,coding,0.009685218798679944,0.0,True,0.003597898581859452,58.0,0.09523809523809523,0.0003513168894795343,64.0,0.0,0.0,63.5,0.007936507936507936,0.009685218798679944,33.0,0.49206349206349204
0,0,model.layers.0.mlp,9,functional_contribution,184.09710760938773,0.06457053356702616,59.0,reasoning,coding,0.06492319087672917,0.0003526573097030092,False,0.016664049620437337,18.0,0.7301587301587301,0.026467765093875925,8.0,0.8888888888888888,0.0003526573097030092,62.0,0.031746031746031744,0.06492319087672917,3.0,0.9682539682539683
0,0,model.layers.0.mlp,21,functional_contribution,162.14136196505035,0.09280171033770457,62.0,coding,general,0.0933776128188856,0.0005759024811810316,False,0.0005759024811810316,64.0,0.0,0.004833983770863994,57.0,0.1111111111111111,0.0933776128188856,2.0,0.9841269841269841,0.005422493157142253,50.0,0.2222222222222222
0,0,model.layers.0.mlp,34,functional_contribution,51.66753196102399,0.021315970639815218,53.0,general,math,0.02173667340081698,0.0004207027610017595,False,0.02173667340081698,10.0,0.8571428571428571,0.0004207027610017595,63.0,0.015873015873015872,0.001970532330221901,60.0,0.06349206349206349,0.008426015694383606,41.0,0.36507936507936506
0,0,model.layers.0.mlp,27,functional_contribution,33.17847335284896,0.048977212129286574,56.0,coding,reasoning,0.05049926109537812,0.0015220489660915453,False,0.004390153413527873,56.0,0.12698412698412698,0.007497640218493116,45.0,0.30158730158730157,0.05049926109537812,5.0,0.9365079365079365,0.0015220489660915453,61.0,0.047619047619047616
0,0,model.layers.0.mlp,52,functional_contribution,30.786438287679474,0.034662098829916145,58.0,reasoning,general,0.03582578609139268,0.0011636872614765406,False,0.0011636872614765406,62.0,0.031746031746031744,0.019065606860821555,14.0,0.7936507936507936,0.029095275590137085,8.0,0.8888888888888888,0.03582578609139268,4.0,0.9523809523809523
0,0,model.layers.0.mlp,54,functional_contribution,29.172534598443537,0.033026529264698,57.0,coding,reasoning,0.03419882454118867,0.0011722952764906746,False,0.014704169836549864,28.0,0.5714285714285714,0.02599663549403312,9.0,0.873015873015873,0.03419882454118867,7.0,0.9047619047619048,0.0011722952764906746,64.0,0.0
0,0,model.layers.0.mlp,63,functional_contribution,18.589427203219188,0.01440600676881986,42.0,reasoning,general,0.015225021884252036,0.0008190151154321768,False,0.0008190151154321768,63.0,0.015873015873015872,0.008799486663620333,41.0,0.36507936507936506,0.01116537880209797,27.0,0.5873015873015873,0.015225021884252036,21.0,0.6825396825396826
0,0,model.layers.0.mlp,51,functional_contribution,9.604681713798005,0.022084748909137086,56.0,general,math,0.024651345749682446,0.002566596840545361,False,0.024651345749682446,6.0,0.9206349206349206,0.002566596840545361,62.0,0.031746031746031744,0.007521678133070759,39.0,0.3968253968253968,0.009518230469808792,35.0,0.4603174603174603
1,1,model.layers.1.mlp,25,functional_contribution,117.02385008546862,0.16608255944543093,63.0,coding,general,0.16751401133404747,0.0014314518886165463,False,0.0014314518886165463,64.0,0.0,0.010663624025817643,30.0,0.5396825396825397,0.16751401133404747,1.0,1.0,0.005661830627356715,37.0,0.42857142857142855
1,1,model.layers.1.mlp,5,functional_contribution,47.5948233059734,0.018749463650840452,55.0,general,coding,0.019151857356276867,0.0004023937054364142,False,0.019151857356276867,9.0,0.873015873015873,0.012193229478923673,22.0,0.6666666666666666,0.0004023937054364142,64.0,0.0,0.012761571340112248,20.0,0.6984126984126984
1,1,model.layers.1.mlp,15,functional_contribution,26.206530159198866,0.03991280641456728,56.0,coding,reasoning,0.041496237618199046,0.001583431203631769,False,0.005267428892373989,56.0,0.12698412698412698,0.006738494543956816,39.0,0.3968253968253968,0.041496237618199046,6.0,0.9206349206349206,0.001583431203631769,62.0,0.031746031746031744
1,1,model.layers.1.mlp,14,functional_contribution,22.38150782494617,0.011345037659062245,36.0,general,coding,0.011875638107382559,0.0005306004483203139,False,0.011875638107382559,28.0,0.5714285714285714,0.004719009656803635,48.0,0.25396825396825395,0.0005306004483203139,63.0,0.015873015873015872,0.008101238522015065,27.0,0.5873015873015873
1,1,model.layers.1.mlp,57,functional_contribution,19.443178647404793,0.022702383753797663,56.0,general,coding,0.02393332036019165,0.0012309366063939862,False,0.02393332036019165,5.0,0.9365079365079365,0.002707440547070746,61.0,0.047619047619047616,0.0012309366063939862,61.0,0.047619047619047616,0.005313165977781075,38.0,0.4126984126984127
1,1,model.layers.1.mlp,35,functional_contribution,18.04999710799907,0.023317025273528327,54.0,math,coding,0.02468459296921662,0.001367567695688292,False,0.010559336929494739,34.0,0.47619047619047616,0.02468459296921662,6.0,0.9206349206349206,0.001367567695688292,60.0,0.06349206349206349,0.018839266340837865,12.0,0.8253968253968254
1,1,model.layers.1.mlp,28,functional_contribution,12.843658954271717,0.005680850449350301,29.0,coding,reasoning,0.006160503777721235,0.0004796533283709338,False,0.005452304666531768,54.0,0.15873015873015872,0.00283865605832072,60.0,0.06349206349206349,0.006160503777721235,35.0,0.4603174603174603,0.0004796533283709338,64.0,0.0
1,1,model.layers.1.mlp,26,functional_contribution,10.733731817028918,0.01039411116845443,46.0,coding,reasoning,0.011461955583536472,0.0010678444150820413,False,0.007753933424186466,45.0,0.30158730158730157,0.006921590076212626,38.0,0.4126984126984127,0.011461955583536472,17.0,0.746031746031746,0.0010678444150820413,63.0,0.015873015873015872
1,1,model.layers.1.mlp,33,functional_contribution,8.892659992167433,0.013174827600193463,49.0,general,math,0.014844078221071002,0.0016692506208775394,False,0.014844078221071002,15.0,0.7777777777777778,0.0016692506208775394,64.0,0.0,0.0026649140879746193,52.0,0.19047619047619047,0.0028421446782209547,50.0,0.2222222222222222
1,1,model.layers.1.mlp,24,functional_contribution,8.753530556292201,0.01683195223318925,52.0,reasoning,general,0.01900282808171172,0.0021708758485224685,False,0.0021708758485224685,63.0,0.015873015873015872,0.011969338769468138,25.0,0.6190476190476191,0.014020807629978652,14.0,0.7936507936507936,0.01900282808171172,11.0,0.8412698412698413
2,2,model.layers.2.mlp,51,functional_contribution,170.81761303724676,0.013091249816598335,56.0,general,coding,0.013168339874647316,7.709005804898087e-05,False,0.013168339874647316,8.0,0.8888888888888888,0.0006761613134482811,62.0,0.031746031746031744,7.709005804898087e-05,64.0,0.0,0.007499548579740023,20.0,0.6984126984126984
2,2,model.layers.2.mlp,40,functional_contribution,127.18819709432915,0.07525588905153804,61.0,coding,general,0.07585226724425519,0.0005963781927171367,False,0.0005963781927171367,63.0,0.015873015873015872,0.0025080606253020136,50.0,0.2222222222222222,0.07585226724425519,2.0,0.9841269841269841,0.0006531124824834738,60.0,0.06349206349206349
2,2,model.layers.2.mlp,57,functional_contribution,111.43818079642335,0.008847687178387,46.0,general,coding,0.00892780156459061,8.011438620361049e-05,False,0.00892780156459061,17.0,0.746031746031746,0.006722482707044681,22.0,0.6666666666666666,8.011438620361049e-05,63.0,0.015873015873015872,0.0009097108284527476,57.0,0.1111111111111111
2,2,model.layers.2.mlp,5,functional_contribution,111.3830513827962,0.052274044605168,61.0,coding,general,0.052747614087438464,0.00047356948227046517,False,0.00047356948227046517,64.0,0.0,0.0027626118743434174,47.0,0.2698412698412698,0.052747614087438464,3.0,0.9682539682539683,0.0011253040162179718,56.0,0.12698412698412698
2,2,model.layers.2.mlp,4,functional_contribution,85.85305751439124,0.02604428170542233,57.0,general,coding,0.02635121562605509,0.00030693392063276106,False,0.02635121562605509,4.0,0.9523809523809523,0.01947778328368965,3.0,0.9682539682539683,0.00030693392063276106,60.0,0.06349206349206349,0.00469678107537883,38.0,0.4126984126984127
2,2,model.layers.2.mlp,2,functional_contribution,63.062827695191615,0.007116127707275186,40.0,general,reasoning,0.007230787768852814,0.00011466006157762755,False,0.007230787768852814,24.0,0.6349206349206349,0.0014314475686808721,58.0,0.09523809523809523,0.0003130206302699988,59.0,0.07936507936507936,0.00011466006157762755,64.0,0.0
2,2,model.layers.2.mlp,59,functional_contribution,57.92897932244318,0.014981023184282787,57.0,general,coding,0.015244176033774466,0.0002631528494916792,False,0.015244176033774466,5.0,0.9365079365079365,0.002503145877546472,51.0,0.20634920634920634,0.0002631528494916792,62.0,0.031746031746031744,0.0015742654758541287,53.0,0.1746031746031746
2,2,model.layers.2.mlp,58,functional_contribution,24.55553790894767,0.018287151156483213,47.0,math,coding,0.019063493059759438,0.0007763419032762238,False,0.013463469706725196,7.0,0.9047619047619048,0.019063493059759438,5.0,0.9365079365079365,0.0007763419032762238,52.0,0.19047619047619047,0.011354155378904232,9.0,0.873015873015873
2,2,model.layers.2.mlp,36,functional_contribution,23.413198110220648,0.03420093321202783,46.0,general,coding,0.03572686150755379,0.0015259282955259587,False,0.03572686150755379,2.0,0.9841269841269841,0.0026957643473401135,48.0,0.25396825396825395,0.0015259282955259587,43.0,0.3333333333333333,0.020025327964525715,2.0,0.9841269841269841
2,2,model.layers.2.mlp,7,functional_contribution,22.050235835031472,0.008272380357092005,47.0,reasoning,coding,0.008665363143644685,0.00039298278655268095,False,0.002266347627674038,59.0,0.07936507936507936,0.0016750446403896154,56.0,0.12698412698412698,0.00039298278655268095,58.0,0.09523809523809523,0.008665363143644685,12.0,0.8253968253968254
3,3,model.layers.3.mlp,25,functional_contribution,40463198280.01141,0.04046319827901142,60.0,general,coding,0.04046319827901142,0.0,True,0.04046319827901142,3.0,0.9682539682539683,0.0016479017742020258,59.0,0.07936507936507936,0.0,63.0,0.015873015873015872,0.0028149518785214834,51.0,0.20634920634920634
3,3,model.layers.3.mlp,1,functional_contribution,20902648082.449463,0.020902648081449465,50.0,reasoning,coding,0.020902648081449465,0.0,True,0.01738495527065173,18.0,0.7301587301587301,0.014617209631713611,20.0,0.6984126984126984,0.0,63.0,0.015873015873015872,0.020902648081449465,13.0,0.8095238095238095
3,3,model.layers.3.mlp,58,functional_contribution,9327625761.482098,0.009327625760482097,25.0,general,coding,0.009327625760482097,0.0,True,0.009327625760482097,42.0,0.3492063492063492,0.0041251864675293185,46.0,0.2857142857142857,0.0,63.0,0.015873015873015872,0.008016477712567263,38.0,0.4126984126984127
3,3,model.layers.3.mlp,43,functional_contribution,570.0952464747448,0.12384162423457386,62.0,coding,reasoning,0.12405923565275494,0.0002176114181810767,False,0.0009402172405558226,64.0,0.0,0.0031248447837668113,48.0,0.25396825396825395,0.12405923565275494,2.0,0.9841269841269841,0.0002176114181810767,64.0,0.0
3,3,model.layers.3.mlp,15,functional_contribution,96.7326256900342,0.09213420669540835,60.0,coding,general,0.09309661847441868,0.0009624117790103289,False,0.0009624117790103289,63.0,0.015873015873015872,0.0028902332663123574,51.0,0.20634920634920634,0.09309661847441868,3.0,0.9682539682539683,0.006685213197806046,44.0,0.31746031746031744
3,3,model.layers.3.mlp,10,functional_contribution,95.85610200483319,0.02606705000256743,49.0,reasoning,coding,0.026341856254951522,0.0002748062523840916,False,0.009836806148322459,41.0,0.36507936507936506,0.01067892785964861,34.0,0.47619047619047616,0.0002748062523840916,59.0,0.07936507936507936,0.026341856254951522,10.0,0.8571428571428571
