domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,0,0,model.layers.0.mlp,0,0.022821576763485476,9.0,0.007183913867997925,19.0,0.004906556356497325,16.0,0.022821576763485476,0.0187050976435639,0.01837480453759348
general,0,0,model.layers.0.mlp,1,0.006742738589211619,58.0,0.003192822468231328,50.0,0.0020431607528840854,50.0,0.006742738589211619,0.008313303461623425,0.007651533325081022
general,0,0,model.layers.0.mlp,2,0.007002074688796681,56.5,0.004731870785788381,43.0,0.0024405527102502053,45.0,0.007002074688796681,0.012320596642894588,0.009139746036985318
general,0,0,model.layers.0.mlp,3,0.01867219917012448,16.0,0.00672121166688278,22.0,0.004381821966146533,20.0,0.01867219917012448,0.017500337952567946,0.01640970087704321
general,0,0,model.layers.0.mlp,4,0.015819502074688796,22.5,0.0066622025739107886,23.0,0.004425196572210779,19.0,0.015819502074688796,0.017346693175336388,0.01657213657540633
general,0,0,model.layers.0.mlp,5,0.015300829875518672,25.5,0.007005367041623444,21.0,0.005800175654442973,11.0,0.015300829875518672,0.0182402067940006,0.021721363455444107
general,0,0,model.layers.0.mlp,6,0.09050829875518672,1.0,0.02668629246628631,1.0,0.028231299764387836,1.0,0.09050829875518672,0.0694843668087716,0.10572478482304745
general,0,0,model.layers.0.mlp,7,0.00933609958506224,50.5,0.002394553536696058,58.0,0.0007039178394677728,60.0,0.00933609958506224,0.006234812741306376,0.002636136583577114
general,0,0,model.layers.0.mlp,8,0.010114107883817428,47.0,0.003982987146654565,48.0,0.0021420000932523323,48.0,0.010114107883817428,0.010370692753307814,0.008021681638467098
general,0,0,model.layers.0.mlp,9,0.021524896265560166,11.0,0.0061746810976400415,28.0,0.004449739773985756,18.0,0.021524896265560166,0.01607731035915291,0.016664049620437337
general,0,0,model.layers.0.mlp,10,0.01037344398340249,44.5,0.007080837898729253,20.0,0.004046315226812086,26.0,0.01037344398340249,0.01843671384814225,0.015153245165869694
general,0,0,model.layers.0.mlp,11,0.03371369294605809,3.0,0.009632917855290456,7.0,0.004339922497752296,21.0,0.03371369294605809,0.02508168560849596,0.01625278949438811
general,0,0,model.layers.0.mlp,12,0.02567427385892116,6.0,0.00753416955718361,14.0,0.006731347772157539,5.0,0.02567427385892116,0.01961707501228169,0.02520855577744907
general,0,0,model.layers.0.mlp,13,0.014782157676348547,27.5,0.007448061867868257,16.0,0.0038587259306452583,30.0,0.014782157676348547,0.019392872333059676,0.01445073277225462
general,0,0,model.layers.0.mlp,14,0.015300829875518672,25.5,0.005724895049922199,31.0,0.003148450705520345,37.0,0.015300829875518672,0.014906181070040258,0.011790788102041476
general,0,0,model.layers.0.mlp,15,0.007520746887966805,54.0,0.0025457485088174274,56.0,0.0015136770734030182,54.0,0.007520746887966805,0.006628486269234447,0.005668643817773739
general,0,0,model.layers.0.mlp,16,0.014782157676348547,27.5,0.004927132634206431,40.0,0.0027607866095309434,40.0,0.014782157676348547,0.01282900918901275,0.01033900573728469
general,0,0,model.layers.0.mlp,17,0.028526970954356846,5.0,0.01169190466156639,3.0,0.00798205969491935,3.0,0.028526970954356846,0.030442767320481245,0.02989240845207564
general,0,0,model.layers.0.mlp,18,0.013744813278008298,31.5,0.005006655617868257,38.0,0.003070026605208385,38.0,0.013744813278008298,0.01303606695747073,0.011497093826552179
general,0,0,model.layers.0.mlp,19,0.025155601659751038,8.0,0.009867181421810166,5.0,0.0071054882528376285,4.0,0.025155601659751038,0.0256916487799088,0.02660969288922285
general,0,0,model.layers.0.mlp,20,0.00933609958506224,50.5,0.002672377463692946,53.0,0.0018197471948332806,53.0,0.00933609958506224,0.006958196091619765,0.006814860888862961
general,0,0,model.layers.0.mlp,21,0.00233402489626556,64.0,0.00041483645617219916,64.0,0.00015378111772455615,64.0,0.00233402489626556,0.001080129378134304,0.0005759024811810316
general,0,0,model.layers.0.mlp,22,0.015560165975103735,24.0,0.005434914743257261,36.0,0.002627391043540353,43.0,0.015560165975103735,0.014151145576777878,0.009839446112740083
general,0,0,model.layers.0.mlp,23,0.0038900414937759337,61.0,0.0007367272594657676,61.0,0.0003885657978688533,61.0,0.0038900414937759337,0.001918251746637784,0.0014551591925321707
general,0,0,model.layers.0.mlp,24,0.009854771784232365,48.0,0.0026690851108661824,54.0,0.0013345051479537458,55.0,0.009854771784232365,0.006949623636237747,0.004997654050297611
general,0,0,model.layers.0.mlp,25,0.013744813278008298,31.5,0.00722164929655083,18.0,0.004125052467916022,23.0,0.013744813278008298,0.018803351170634724,0.015448112137732424
general,0,0,model.layers.0.mlp,26,0.018931535269709542,14.5,0.007444262999221992,17.0,0.00506992291860066,13.0,0.018931535269709542,0.019382981038388116,0.018986604021492683
general,0,0,model.layers.0.mlp,27,0.00466804979253112,60.0,0.001960216221473029,59.0,0.0011722864911609418,56.0,0.00466804979253112,0.005103908050524734,0.004390153413527873
general,0,0,model.layers.0.mlp,28,0.007002074688796681,56.5,0.001457752528526971,60.0,0.0009607336024031105,58.0,0.007002074688796681,0.0037956194752997888,0.003597898581859452
general,0,0,model.layers.0.mlp,29,0.018931535269709542,14.5,0.010558828773340249,4.0,0.006277922772767633,7.0,0.018931535269709542,0.02749252382977741,0.023510502166953974
general,0,0,model.layers.0.mlp,30,0.012966804979253113,35.5,0.006356267018931536,26.0,0.003818261394609554,31.0,0.012966804979253113,0.016550114244453455,0.014299195138456554
general,0,0,model.layers.0.mlp,31,0.01037344398340249,44.5,0.005711978896524896,32.0,0.004093945644703148,25.0,0.01037344398340249,0.014872550668156955,0.01533161866353333
general,0,0,model.layers.0.mlp,32,0.006224066390041493,59.0,0.002650597283454357,55.0,0.0018807663833451964,52.0,0.006224066390041493,0.00690148600216949,0.007043374652994967
general,0,0,model.layers.0.mlp,33,0.012448132780082987,37.0,0.004176222931794606,47.0,0.0027383408853127256,42.0,0.012448132780082987,0.01087382994226781,0.010254947639252587
general,0,0,model.layers.0.mlp,34,0.030342323651452282,4.0,0.00964127536631224,6.0,0.005804263812748723,10.0,0.030342323651452282,0.025103446456773395,0.02173667340081698
general,0,0,model.layers.0.mlp,35,0.007261410788381743,55.0,0.002875237049403527,52.0,0.0019445270068046958,51.0,0.007261410788381743,0.007486391227081046,0.007282154951872399
