domain,layer,layer_ordinal,spearman
general,0,0,0.8666117726033459
general,1,1,0.8312648976254083
general,2,2,0.8132822225919388
general,3,3,0.767712217147364
general,4,4,0.892176681371273
general,5,5,0.9500400749148517
general,6,6,0.921900252212974
general,7,7,0.9631453189542925
general,8,8,0.8999210205950013
general,9,9,0.7977558007043076
general,10,10,0.8735056397092608
general,11,11,0.8999725539039782
general,12,12,0.9106503347584977
general,13,13,0.9174070496477423
general,14,14,0.9186682965530483
general,15,15,0.9539272061415089
general,average,average,0.8861213337146746
math,0,0,0.6914666042169931
math,1,1,0.8492122226421297
math,2,2,0.9032937693779028
math,3,3,0.8810827181907424
math,4,4,0.8794916115556807
math,5,5,0.9451631407699284
math,6,6,0.9719562430089776
math,7,7,0.9675173977207125
math,8,8,0.9187153235517491
math,9,9,0.913745346383339
math,10,10,0.8998088168329578
math,11,11,0.9321835536453473
math,12,12,0.943175470078471
math,13,13,0.9385876691641322
math,14,14,0.8805184247386565
math,15,15,0.9068572148695643
math,average,average,0.9014234704217052
coding,0,0,0.8295258575733327
coding,1,1,0.8894359189801146
coding,2,2,0.9368946609022977
coding,3,3,0.9391639121645389
coding,4,4,0.9416075355643296
coding,5,5,0.9732225867030888
coding,6,6,0.9856774511341919
coding,7,7,0.9844444298963491
coding,8,8,0.9603327498777811
coding,9,9,0.9733457914565049
coding,10,10,0.9668656258265076
coding,11,11,0.946621197734308
coding,12,12,0.9521223378238376
coding,13,13,0.9416520876590476
coding,14,14,0.9321356245342612
coding,15,15,0.9791194589050537
coding,average,average,0.9457604516709716
reasoning,0,0,0.7329776338259916
reasoning,1,1,0.9235050971367784
reasoning,2,2,0.832285775625172
reasoning,3,3,0.8613172442095786
reasoning,4,4,0.9327639133668728
reasoning,5,5,0.9491447927199461
reasoning,6,6,0.9634481586013838
reasoning,7,7,0.9592341879290645
reasoning,8,8,0.9135476032741399
reasoning,9,9,0.9114390937084692
reasoning,10,10,0.9204506618491842
reasoning,11,11,0.9252648229319338
reasoning,12,12,0.9306538966625127
reasoning,13,13,0.9334906398223443
reasoning,14,14,0.9293623478044699
reasoning,15,15,0.9364917801006288
reasoning,average,average,0.9097111030980294
