layer,layer_ordinal,layer_name,expert_id,specialization_metric,specialization_score,absolute_normalized_range,rank_range,max_domain,min_domain,max_normalized_importance,min_normalized_importance,minimum_was_zero,general_normalized_contribution,general_rank,general_percentile,math_normalized_contribution,math_rank,math_percentile,coding_normalized_contribution,coding_rank,coding_percentile,reasoning_normalized_contribution,reasoning_rank,reasoning_percentile
0,0,model.layers.0.mlp,9,functional_contribution,45.3629494676496,0.052968743196203774,60.0,reasoning,coding,0.05416272925410704,0.0011939860579032679,False,0.014292879136742332,25.0,0.6190476190476191,0.016253394553188475,14.0,0.7936507936507936,0.0011939860579032679,63.0,0.015873015873015872,0.05416272925410704,3.0,0.9682539682539683
0,0,model.layers.0.mlp,52,functional_contribution,44.48577221286999,0.035225508042512906,60.0,reasoning,general,0.03603555478208999,0.0008100467395770848,False,0.0008100467395770848,64.0,0.0,0.016352508155220703,12.0,0.8253968253968254,0.025219138575548077,9.0,0.873015873015873,0.03603555478208999,4.0,0.9523809523809523
0,0,model.layers.0.mlp,54,functional_contribution,33.62746029956269,0.03220410890881126,58.0,coding,reasoning,0.033191133598459426,0.0009870246896481682,False,0.02207201710370733,10.0,0.8571428571428571,0.00303474412585353,63.0,0.015873015873015872,0.033191133598459426,6.0,0.9206349206349206,0.0009870246896481682,64.0,0.0
0,0,model.layers.0.mlp,21,functional_contribution,30.188376270129954,0.0712499153213327,59.0,coding,general,0.07369095262442715,0.002441037303094459,False,0.002441037303094459,62.0,0.031746031746031744,0.0077075779086007825,46.0,0.2857142857142857,0.07369095262442715,3.0,0.9682539682539683,0.005463194480826507,48.0,0.25396825396825395
0,0,model.layers.0.mlp,12,functional_contribution,29.13045347567877,0.0333322012238492,61.0,general,coding,0.03451711639859167,0.001184915174742467,False,0.03451711639859167,3.0,0.9682539682539683,0.0054050652620942965,53.0,0.1746031746031746,0.001184915174742467,64.0,0.0,0.0036877513851419894,58.0,0.09523809523809523
0,0,model.layers.0.mlp,34,functional_contribution,13.669052881011037,0.014586128125862177,45.0,reasoning,math,0.015737447664125017,0.0011513195382628395,False,0.005029673617628131,57.0,0.1111111111111111,0.0011513195382628395,64.0,0.0,0.004810032320460525,49.0,0.23809523809523808,0.015737447664125017,19.0,0.7142857142857143
0,0,model.layers.0.mlp,27,functional_contribution,11.32736942947067,0.021886916925886544,51.0,coding,reasoning,0.024006228824723204,0.0021193118988366614,False,0.005956231820589902,56.0,0.12698412698412698,0.004555018149922579,58.0,0.09523809523809523,0.024006228824723204,10.0,0.8571428571428571,0.0021193118988366614,61.0,0.047619047619047616
0,0,model.layers.0.mlp,63,functional_contribution,10.336833466925288,0.014307395355679133,45.0,reasoning,general,0.015839755914215888,0.0015323605585367546,False,0.0015323605585367546,63.0,0.015873015873015872,0.009620143310033477,37.0,0.42857142857142855,0.010582818453290373,26.0,0.6031746031746031,0.015839755914215888,18.0,0.7301587301587301
0,0,model.layers.0.mlp,36,functional_contribution,10.020853877610502,0.07465927309617808,49.0,coding,general,0.0829355708946004,0.008276297798422318,False,0.008276297798422318,51.0,0.20634920634920634,0.014133551790048337,23.0,0.6507936507936508,0.0829355708946004,2.0,0.9841269841269841,0.013820849096928538,22.0,0.6666666666666666
0,0,model.layers.0.mlp,58,functional_contribution,6.742368773931141,0.030668791245313118,46.0,math,reasoning,0.036009582205796024,0.005340790960482906,False,0.014452179084038097,23.0,0.6507936507936508,0.036009582205796024,3.0,0.9682539682539683,0.010500172853799573,27.0,0.5873015873015873,0.005340790960482906,49.0,0.23809523809523808
1,1,model.layers.1.mlp,5,functional_contribution,52.19595809192495,0.030422882175795397,60.0,general,coding,0.031017126003989287,0.0005942438281938899,False,0.031017126003989287,4.0,0.9523809523809523,0.017952086719443972,10.0,0.8571428571428571,0.0005942438281938899,64.0,0.0,0.008103290153839421,30.0,0.5396825396825397
1,1,model.layers.1.mlp,25,functional_contribution,50.71156493801805,0.1417815806502201,62.0,coding,general,0.14463366508524614,0.0028520844350260603,False,0.0028520844350260603,64.0,0.0,0.012847882698793334,20.0,0.6984126984126984,0.14463366508524614,2.0,0.9841269841269841,0.00568137583655142,40.0,0.38095238095238093
1,1,model.layers.1.mlp,15,functional_contribution,18.234232808986263,0.028019049121106192,55.0,coding,reasoning,0.02964482784966452,0.0016257787285583307,False,0.00590841689751065,55.0,0.14285714285714285,0.0042760523695929056,49.0,0.23809523809523808,0.02964482784966452,8.0,0.8888888888888888,0.0016257787285583307,63.0,0.015873015873015872
1,1,model.layers.1.mlp,35,functional_contribution,14.370678749372845,0.02028741295643798,56.0,math,coding,0.021804719094992753,0.001517306138554775,False,0.017577563893778334,10.0,0.8571428571428571,0.021804719094992753,5.0,0.9365079365079365,0.001517306138554775,61.0,0.047619047619047616,0.017819977792253822,11.0,0.8412698412698413
1,1,model.layers.1.mlp,39,functional_contribution,12.336206209178613,0.01263113068097672,45.0,math,coding,0.013745359765784074,0.0011142290848073528,False,0.009780737056367683,27.0,0.5873015873015873,0.013745359765784074,18.0,0.7301587301587301,0.0011142290848073528,63.0,0.015873015873015872,0.0073546750622224145,33.0,0.49206349206349204
1,1,model.layers.1.mlp,27,functional_contribution,10.226309920254607,0.03342836377055574,44.0,coding,reasoning,0.03705152016246751,0.0036231563919117676,False,0.014165737860471537,15.0,0.7777777777777778,0.009074154087480541,32.0,0.5079365079365079,0.03705152016246751,6.0,0.9206349206349206,0.0036231563919117676,50.0,0.2222222222222222
1,1,model.layers.1.mlp,26,functional_contribution,9.747759746971681,0.00846507614796502,42.0,coding,reasoning,0.009432761176368746,0.0009676850284037258,False,0.005438595062216726,59.0,0.07936507936507936,0.002222957316290965,61.0,0.047619047619047616,0.009432761176368746,22.0,0.6666666666666666,0.0009676850284037258,64.0,0.0
1,1,model.layers.1.mlp,13,functional_contribution,7.742371500719333,0.011844603143355323,44.0,general,coding,0.013601344541444894,0.00175674139808957,False,0.013601344541444894,16.0,0.7619047619047619,0.00805814171178042,34.0,0.47619047619047616,0.00175674139808957,57.0,0.1111111111111111,0.0023214212538786375,60.0,0.06349206349206349
1,1,model.layers.1.mlp,57,functional_contribution,6.42577541353112,0.008822603710786515,35.0,reasoning,coding,0.01044865769071322,0.0016260539799267046,False,0.006939998581041418,45.0,0.30158730158730157,0.005284471770670735,44.0,0.31746031746031744,0.0016260539799267046,59.0,0.07936507936507936,0.01044865769071322,24.0,0.6349206349206349
1,1,model.layers.1.mlp,63,functional_contribution,6.278582747496593,0.02170290796245599,35.0,reasoning,coding,0.025814410802393502,0.004111502839937513,False,0.008043571458991471,38.0,0.4126984126984127,0.009926190104161058,28.0,0.5714285714285714,0.004111502839937513,42.0,0.3492063492063492,0.025814410802393502,7.0,0.9047619047619048
2,2,model.layers.2.mlp,40,functional_contribution,63.42363568045334,0.06597738049461957,61.0,coding,general,0.0670343099687363,0.0010569294741167308,False,0.0010569294741167308,63.0,0.015873015873015872,0.0020683119215049715,49.0,0.23809523809523808,0.0670343099687363,2.0,0.9841269841269841,0.001660089313299209,55.0,0.14285714285714285
2,2,model.layers.2.mlp,57,functional_contribution,59.37194692045613,0.008306035927430342,55.0,general,coding,0.008448330921982727,0.00014229499455238473,False,0.008448330921982727,9.0,0.873015873015873,0.006706865374934005,16.0,0.7619047619047619,0.00014229499455238473,64.0,0.0,0.001988257271644198,52.0,0.19047619047619047
2,2,model.layers.2.mlp,4,functional_contribution,58.51280094800269,0.012241478352874483,59.0,math,coding,0.01245432624227617,0.00021284788940168642,False,0.00639015720320647,25.0,0.6190476190476191,0.01245432624227617,4.0,0.9523809523809523,0.00021284788940168642,63.0,0.015873015873015872,0.003587905370705287,42.0,0.3492063492063492
2,2,model.layers.2.mlp,5,functional_contribution,53.030910156378056,0.04074722564868406,61.0,coding,general,0.041530360625069984,0.0007831349763859219,False,0.0007831349763859219,64.0,0.0,0.0021687841818143106,48.0,0.25396825396825395,0.041530360625069984,3.0,0.9682539682539683,0.0018283769024719728,53.0,0.1746031746031746
2,2,model.layers.2.mlp,36,functional_contribution,43.261111598028236,0.031147603554007273,53.0,reasoning,coding,0.03188463110330627,0.0007370275492989968,False,0.02274091930948653,2.0,0.9841269841269841,0.0038251082514242983,31.0,0.5238095238095238,0.0007370275492989968,55.0,0.14285714285714285,0.03188463110330627,2.0,0.9841269841269841
2,2,model.layers.2.mlp,59,functional_contribution,35.107152201444336,0.016291297686333785,58.0,general,coding,0.01676894816726537,0.00047765048093158436,False,0.01676894816726537,3.0,0.9682539682539683,0.002427737946675233,45.0,0.30158730158730157,0.00047765048093158436,61.0,0.047619047619047616,0.0017271232630034683,54.0,0.15873015873015872
2,2,model.layers.2.mlp,8,functional_contribution,20.202170339662075,0.008561981148429423,54.0,math,coding,0.009007867263268353,0.00044588611483892965,False,0.0014149141729698199,61.0,0.047619047619047616,0.009007867263268353,9.0,0.873015873015873,0.00044588611483892965,62.0,0.031746031746031744,0.0006567219151840178,63.0,0.015873015873015872
2,2,model.layers.2.mlp,45,functional_contribution,19.412612547797078,0.017846865735446884,55.0,coding,reasoning,0.01881613968669665,0.0009692739512497648,False,0.005006024353839114,38.0,0.4126984126984127,0.0011373807763252182,60.0,0.06349206349206349,0.01881613968669665,5.0,0.9365079365079365,0.0009692739512497648,59.0,0.07936507936507936
2,2,model.layers.2.mlp,24,functional_contribution,16.453300553577925,0.01667935803486068,56.0,coding,general,0.01775869755599266,0.001079339521131981,False,0.001079339521131981,62.0,0.031746031746031744,0.00493352335602845,24.0,0.6349206349206349,0.01775869755599266,6.0,0.9206349206349206,0.011314277483012676,6.0,0.9206349206349206
2,2,model.layers.2.mlp,60,functional_contribution,15.917978533910613,0.03446315435689359,43.0,coding,math,0.03677333024725542,0.0023101758903618292,False,0.005576088638319268,34.0,0.47619047619047616,0.0023101758903618292,47.0,0.2698412698412698,0.03677333024725542,4.0,0.9523809523809523,0.004580722529462233,32.0,0.5079365079365079
3,3,model.layers.3.mlp,1,functional_contribution,324.7492809739634,0.03014469847112953,55.0,reasoning,coding,0.030237809714671732,9.311124354220434e-05,False,0.007505457151718988,49.0,0.23809523809523808,0.015473694226547343,19.0,0.7142857142857143,9.311124354220434e-05,64.0,0.0,0.030237809714671732,9.0,0.873015873015873
3,3,model.layers.3.mlp,25,functional_contribution,305.53070963353946,0.03367537863563742,59.0,general,coding,0.03378595985869906,0.0001105812230616425,False,0.03378595985869906,3.0,0.9682539682539683,0.004844312251237432,46.0,0.2857142857142857,0.0001105812230616425,62.0,0.031746031746031744,0.003118434768663718,52.0,0.19047619047619047
3,3,model.layers.3.mlp,58,functional_contribution,194.0827479462006,0.018438174811063815,47.0,general,coding,0.018533668452075793,9.549364101197981e-05,False,0.018533668452075793,16.0,0.7619047619047619,0.005093097525317647,44.0,0.31746031746031744,9.549364101197981e-05,63.0,0.015873015873015872,0.010254139687075768,35.0,0.4603174603174603
3,3,model.layers.3.mlp,43,functional_contribution,123.34094847165943,0.1024096944410282,61.0,coding,reasoning,0.10324677879911139,0.0008370843580831867,False,0.0022539795958329474,63.0,0.015873015873015872,0.0022758474627063,56.0,0.12698412698412698,0.10324677879911139,2.0,0.9841269841269841,0.0008370843580831867,63.0,0.015873015873015872
3,3,model.layers.3.mlp,16,functional_contribution,42.07842764825479,0.010060777383736333,28.0,general,reasoning,0.010305693704020206,0.0002449163202838738,False,0.010305693704020206,36.0,0.4444444444444444,0.0014747144880311552,60.0,0.06349206349206349,0.0016777796680745617,52.0,0.19047619047619047,0.0002449163202838738,64.0,0.0
3,3,model.layers.3.mlp,48,functional_contribution,38.63455560367202,0.029406299510039438,55.0,general,coding,0.030187663843979806,0.0007813643339403667,False,0.030187663843979806,4.0,0.9523809523809523,0.009089918309081955,39.0,0.3968253968253968,0.0007813643339403667,59.0,0.07936507936507936,0.005066407521337429,47.0,0.2698412698412698
3,3,model.layers.3.mlp,14,functional_contribution,35.70583917012971,0.008739453738314168,36.0,coding,math,0.008991268819366295,0.00025181508105212797,False,0.0030585037515690407,60.0,0.06349206349206349,0.00025181508105212797,64.0,0.0,0.008991268819366295,28.0,0.5714285714285714,0.0008616303847060107,62.0,0.031746031746031744
3,3,model.layers.3.mlp,10,functional_contribution,34.79165243443677,0.015289588788636625,39.0,reasoning,coding,0.015742055230889195,0.00045246644225256915,False,0.012748636957604254,27.0,0.5873015873015873,0.00937608393366462,35.0,0.4603174603174603,0.00045246644225256915,60.0,0.06349206349206349,0.015742055230889195,21.0,0.6825396825396826
3,3,model.layers.3.mlp,24,functional_contribution,32.3831073937668,0.04102623217958904,56.0,general,reasoning,0.04233350336957816,0.0013072711899891217,False,0.04233350336957816,2.0,0.9841269841269841,0.0039277293855931395,48.0,0.25396825396825395,0.0024463181310235625,45.0,0.30158730158730157,0.0013072711899891217,58.0,0.09523809523809523
3,3,model.layers.3.mlp,0,functional_contribution,29.209769268445726,0.03882854586790357,53.0,reasoning,coding,0.040204967825495604,0.0013764219575920385,False,0.024765335361710245,6.0,0.9206349206349206,0.01741273432796868,16.0,0.7619047619047619,0.0013764219575920385,56.0,0.12698412698412698,0.040204967825495604,3.0,0.9682539682539683
4,4,model.layers.4.mlp,53,functional_contribution,1627.760727095853,0.0111807809046802,25.0,general,coding,0.011187653937137701,6.873032457502074e-06,False,0.011187653937137701,39.0,0.3968253968253968,0.0013297662721555542,59.0,0.07936507936507936,6.873032457502074e-06,64.0,0.0,0.0012492689704396132,61.0,0.047619047619047616
4,4,model.layers.4.mlp,0,functional_contribution,117.35904531835439,0.009774108778762324,27.0,general,math,0.009858108339223324,8.399956046099941e-05,False,0.009858108339223324,43.0,0.3333333333333333,8.399956046099941e-05,63.0,0.015873015873015872,0.00015010231802225593,63.0,0.015873015873015872,0.007840461426054818,36.0,0.4444444444444444
4,4,model.layers.4.mlp,31,functional_contribution,87.46949157259941,0.027131081065810757,49.0,reasoning,coding,0.027444845845571976,0.0003137647797612193,False,0.00207397529791035,60.0,0.06349206349206349,0.016468128223127643,19.0,0.7142857142857143,0.0003137647797612193,60.0,0.06349206349206349,0.027444845845571976,11.0,0.8412698412698413
4,4,model.layers.4.mlp,29,functional_contribution,81.5910518210438,0.0236244603221182,49.0,reasoning,coding,0.02391760031356522,0.0002931399914470202,False,0.01476075256351071,25.0,0.6190476190476191,0.015488619460636985,21.0,0.6825396825396826,0.0002931399914470202,61.0,0.047619047619047616,0.02391760031356522,12.0,0.8253968253968254
4,4,model.layers.4.mlp,55,functional_contribution,76.55871026038541,0.0557492327136397,59.0,coding,reasoning,0.05648705939763102,0.0007378266839913186,False,0.0008796235273519725,64.0,0.0,0.0010940117584916464,60.0,0.06349206349206349,0.05648705939763102,5.0,0.9365079365079365,0.0007378266839913186,63.0,0.015873015873015872
4,4,model.layers.4.mlp,46,functional_contribution,69.68707290885132,0.06342421349143489,50.0,reasoning,coding,0.06434759267672806,0.0009233791852931716,False,0.013568051498797501,28.0,0.5714285714285714,0.010684708490787079,33.0,0.49206349206349204,0.0009233791852931716,52.0,0.19047619047619047,0.06434759267672806,2.0,0.9841269841269841
4,4,model.layers.4.mlp,54,functional_contribution,56.759113932236595,0.0024883835623928587,6.0,general,math,0.002533010948503367,4.462738611050829e-05,False,0.002533010948503367,58.0,0.09523809523809523,4.462738611050829e-05,64.0,0.0,0.0002442156002994343,62.0,0.031746031746031744,0.0005972890023475041,64.0,0.0
4,4,model.layers.4.mlp,3,functional_contribution,49.92202464454251,0.012911811582000221,33.0,general,math,0.01317573793473997,0.00026392635273974854,False,0.01317573793473997,29.0,0.5555555555555556,0.00026392635273974854,62.0,0.031746031746031744,0.0004916946590195166,57.0,0.1111111111111111,0.0016327589356440655,59.0,0.07936507936507936
4,4,model.layers.4.mlp,49,functional_contribution,49.84752467965525,0.026403599144738894,48.0,math,coding,0.026944130098334754,0.0005405309535958602,False,0.02438196784930364,8.0,0.8888888888888888,0.026944130098334754,9.0,0.873015873015873,0.0005405309535958602,56.0,0.12698412698412698,0.004304135876330012,50.0,0.2222222222222222
4,4,model.layers.4.mlp,25,functional_contribution,33.676166092454835,0.06651595634319186,51.0,coding,math,0.06855156713432059,0.002035610791128728,False,0.004417209517834504,55.0,0.14285714285714285,0.002035610791128728,52.0,0.19047619047619047,0.06855156713432059,4.0,0.9523809523809523,0.004141569663787047,51.0,0.20634920634920634
5,5,model.layers.5.mlp,46,functional_contribution,16844678975.967579,0.01684467897496758,42.0,general,coding,0.01684467897496758,0.0,True,0.01684467897496758,22.0,0.6666666666666666,0.0018168215095134398,56.0,0.12698412698412698,0.0,64.0,0.0,0.0011102124969067193,57.0,0.1111111111111111
5,5,model.layers.5.mlp,56,functional_contribution,636.5833195467742,0.07354848977270198,59.0,reasoning,coding,0.07366420786484695,0.00011571809214496866,False,0.01622135103208562,25.0,0.6190476190476191,0.01732241517110414,17.0,0.746031746031746,0.00011571809214496866,61.0,0.047619047619047616,0.07366420786484695,2.0,0.9841269841269841
5,5,model.layers.5.mlp,42,functional_contribution,389.0938788700675,0.13935607192147786,61.0,coding,reasoning,0.139715150173212,0.0003590782517341376,False,0.0013913834399225207,63.0,0.015873015873015872,0.0010565448244637212,60.0,0.06349206349206349,0.139715150173212,2.0,0.9841269841269841,0.0003590782517341376,62.0,0.031746031746031744
5,5,model.layers.5.mlp,45,functional_contribution,354.5677391483029,0.017515052200735525,47.0,math,coding,0.0175645902380275,4.9538037291974615e-05,False,0.01505156034517564,28.0,0.5714285714285714,0.0175645902380275,16.0,0.7619047619047619,4.9538037291974615e-05,63.0,0.015873015873015872,0.004823502975292011,48.0,0.25396825396825395
5,5,model.layers.5.mlp,2,functional_contribution,341.6305391643647,0.07638555289517444,61.0,coding,math,0.07660980041197647,0.00022424751680202564,False,0.004424280969257226,58.0,0.09523809523809523,0.00022424751680202564,64.0,0.0,0.07660980041197647,3.0,0.9682539682539683,0.00030950840556776704,63.0,0.015873015873015872
5,5,model.layers.5.mlp,23,functional_contribution,144.3625640671211,0.028647832187931318,50.0,general,coding,0.028847660031629453,0.00019982784369813647,False,0.028847660031629453,9.0,0.873015873015873,0.019061025334348638,14.0,0.7936507936507936,0.00019982784369813647,59.0,0.07936507936507936,0.0037940452875501497,51.0,0.20634920634920634
5,5,model.layers.5.mlp,49,functional_contribution,117.46025124086684,0.029183875163348732,49.0,general,coding,0.029434466027922167,0.00025059086457343674,False,0.029434466027922167,8.0,0.8888888888888888,0.0019114018466733357,55.0,0.14285714285714285,0.00025059086457343674,57.0,0.1111111111111111,0.014888886055985087,23.0,0.6507936507936508
