domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,0,0,model.layers.0.mlp,0,0.01547446389723402,27.0,0.004830863381202735,38.0,0.0031283140397838738,32.0,0.01547446389723402,0.012681568125567748,0.012059010926731294
general,0,0,model.layers.0.mlp,1,0.007704858593183466,58.0,0.003128480135709106,54.0,0.0017974482464091675,53.0,0.007704858593183466,0.008212617670964411,0.006928795436784105
general,0,0,model.layers.0.mlp,2,0.00789909872578473,57.0,0.004910645998167668,35.0,0.002579089051822047,46.0,0.00789909872578473,0.012891006607354202,0.009941860906996352
general,0,0,model.layers.0.mlp,3,0.016911840878483374,17.0,0.005204370969517248,31.0,0.0028897971511570226,40.0,0.016911840878483374,0.01366206820450969,0.011139577094455342
general,0,0,model.layers.0.mlp,4,0.011278877033046721,46.0,0.004532130656434528,43.0,0.002795290561773228,43.0,0.011278877033046721,0.011897360603735222,0.01077527351766162
general,0,0,model.layers.0.mlp,5,0.017805345488449188,14.0,0.00810595940866829,11.0,0.005849321660703697,9.0,0.017805345488449188,0.021279069257909896,0.022547938897229485
general,0,0,model.layers.0.mlp,6,0.0742126799958562,1.0,0.02172766835358826,2.0,0.025372289454393297,2.0,0.0742126799958562,0.057037611021649476,0.09780498756699509
general,0,0,model.layers.0.mlp,7,0.016147829690251737,22.0,0.0038587016342069825,49.0,0.0010692670271394908,58.0,0.016147829690251737,0.010129532505688932,0.0041218057394133735
general,0,0,model.layers.0.mlp,8,0.011563762560861909,43.5,0.004894611070554491,36.0,0.002228736758191981,49.0,0.011563762560861909,0.012848913090964089,0.00859132445721517
general,0,0,model.layers.0.mlp,9,0.015021236921164405,30.0,0.00509946106456542,32.0,0.003707817726020157,25.0,0.015021236921164405,0.01338666772188163,0.014292879136742332
general,0,0,model.layers.0.mlp,10,0.011252978348699885,47.0,0.006152884992036155,23.0,0.002932290077509719,38.0,0.011252978348699885,0.016152025846746933,0.011303378636333586
general,0,0,model.layers.0.mlp,11,0.017054283642390967,16.0,0.004331441144430488,46.0,0.0019308366013620784,52.0,0.017054283642390967,0.011370527713269058,0.007442980269067438
general,0,0,model.layers.0.mlp,12,0.03159639490313892,3.0,0.010080158704305009,5.0,0.008954331370842996,3.0,0.03159639490313892,0.02646156788920668,0.03451711639859167
general,0,0,model.layers.0.mlp,13,0.015888842846783383,24.0,0.006674829473350254,19.0,0.003198421175272202,30.0,0.015888842846783383,0.01752218972331281,0.012329259598106369
general,0,0,model.layers.0.mlp,14,0.01134362374391381,45.0,0.004849933310887807,37.0,0.0028085780482826816,42.0,0.01134362374391381,0.012731628869034855,0.0108264940610497
general,0,0,model.layers.0.mlp,15,0.009077488863565731,51.0,0.0030486342895343415,56.0,0.0017233177162104816,54.0,0.009077488863565731,0.008003013205280518,0.006643037401528764
general,0,0,model.layers.0.mlp,16,0.016471563244587175,18.0,0.006194995645783694,22.0,0.0031816951180293524,31.0,0.016471563244587175,0.016262571122440214,0.012264784067680851
general,0,0,model.layers.0.mlp,17,0.02821661659587693,4.0,0.011312894347935875,3.0,0.007966804525079868,4.0,0.02821661659587693,0.029697639748814578,0.03071040234365594
general,0,0,model.layers.0.mlp,18,0.01893193825753652,13.0,0.007531730693744821,13.0,0.004362310048728783,13.0,0.01893193825753652,0.01977165329655307,0.01681581320622288
