domain,layer,layer_ordinal,spearman
general,0,0,0.8239657503475825
general,1,1,0.8961412104663408
general,2,2,0.7882645177315633
general,3,3,0.779711074175816
general,4,4,0.9027863656618637
general,5,5,0.9479612630978604
general,6,6,0.9366407583118036
general,7,7,0.943737909149618
general,8,8,0.8929487179487178
general,9,9,0.8424089104135982
general,10,10,0.8443742349610912
general,11,11,0.9245756018875194
general,12,12,0.9039835164835164
general,13,13,0.9163461538461537
general,14,14,0.9045787545787545
general,15,15,0.954966917991063
general,average,average,0.8877119785658039
math,0,0,0.6010989010989011
math,1,1,0.8690934065934065
math,2,2,0.8376240571068136
math,3,3,0.8647305945002723
math,4,4,0.9249084249084248
math,5,5,0.956581462762566
math,6,6,0.9602106227106225
math,7,7,0.9622922305065024
math,8,8,0.9152014652014652
math,9,9,0.9039813184905333
math,10,10,0.8754120879120879
math,11,11,0.9462454212454212
math,12,12,0.9685897435897435
math,13,13,0.932736555568515
math,14,14,0.9179821198188405
math,15,15,0.9087329296947211
math,average,average,0.8965888338568023
coding,0,0,0.7741388981608167
coding,1,1,0.9277120846771342
coding,2,2,0.9482142857142857
coding,3,3,0.9227546420605532
coding,4,4,0.9531244634835014
coding,5,5,0.9758241758241757
coding,6,6,0.9801039458955432
coding,7,7,0.9809519451276151
coding,8,8,0.9660793839906084
coding,9,9,0.9624991417161076
coding,10,10,0.9597637336221021
coding,11,11,0.9403388278388277
coding,12,12,0.94175424235006
coding,13,13,0.9511893589800225
coding,14,14,0.9272754335401457
coding,15,15,0.973511298590717
coding,average,average,0.9428272413482635
reasoning,0,0,0.748446032241887
reasoning,1,1,0.8786630036630035
reasoning,2,2,0.8499542124542123
reasoning,3,3,0.8642498197660978
reasoning,4,4,0.934682570816627
reasoning,5,5,0.9701111536565254
reasoning,6,6,0.9494264981082036
reasoning,7,7,0.9631062627263628
reasoning,8,8,0.8916183980907642
reasoning,9,9,0.9033528314789584
reasoning,10,10,0.9316391941391942
reasoning,11,11,0.9323717948717949
reasoning,12,12,0.9417582417582417
reasoning,13,13,0.9431992493142458
reasoning,14,14,0.9448705329979182
reasoning,15,15,0.9249084249084248
reasoning,average,average,0.9107723888120288
