layer,layer_ordinal,layer_name,expert_id,specialization_metric,specialization_score,absolute_normalized_range,rank_range,max_domain,min_domain,max_normalized_importance,min_normalized_importance,minimum_was_zero,general_normalized_contribution,general_rank,general_percentile,math_normalized_contribution,math_rank,math_percentile,coding_normalized_contribution,coding_rank,coding_percentile,reasoning_normalized_contribution,reasoning_rank,reasoning_percentile
0,0,model.layers.0.mlp,9,functional_contribution,53.46259424935732,0.05343757443278028,60.0,reasoning,coding,0.05445615872402455,0.0010185842912442764,False,0.014292879136742332,25.0,0.6190476190476191,0.024118201667005863,9.0,0.873015873015873,0.0010185842912442764,63.0,0.015873015873015872,0.05445615872402455,3.0,0.9682539682539683
0,0,model.layers.0.mlp,52,functional_contribution,44.98093908992883,0.035626616357316156,60.0,reasoning,general,0.03643666309689324,0.0008100467395770848,False,0.0008100467395770848,64.0,0.0,0.019343502462354664,12.0,0.8253968253968254,0.02594360914959607,9.0,0.873015873015873,0.03643666309689324,4.0,0.9523809523809523
0,0,model.layers.0.mlp,21,functional_contribution,43.67926783105705,0.10418168488704885,61.0,coding,general,0.10662272219014331,0.002441037303094459,False,0.002441037303094459,62.0,0.031746031746031744,0.010541346499306084,33.0,0.49206349206349204,0.10662272219014331,1.0,1.0,0.005470142967860289,48.0,0.25396825396825395
0,0,model.layers.0.mlp,12,functional_contribution,43.25687159569627,0.033719159563456856,61.0,general,coding,0.03451711639859167,0.0007979568351348132,False,0.03451711639859167,3.0,0.9682539682539683,0.005025720490790351,60.0,0.06349206349206349,0.0007979568351348132,64.0,0.0,0.0036562240872050626,58.0,0.09523809523809523
0,0,model.layers.0.mlp,54,functional_contribution,41.00233857182921,0.04065954016268667,58.0,coding,reasoning,0.04167596924094356,0.001016429078256888,False,0.02207201710370733,10.0,0.8571428571428571,0.03130108231575198,7.0,0.9047619047619048,0.04167596924094356,6.0,0.9206349206349206,0.001016429078256888,64.0,0.0
0,0,model.layers.0.mlp,29,functional_contribution,12.83206764583115,0.04861407131626943,51.0,math,reasoning,0.052722742155517525,0.004108670839248099,False,0.014952798667635324,19.0,0.7142857142857143,0.052722742155517525,4.0,0.9523809523809523,0.01644274360073412,16.0,0.7619047619047619,0.004108670839248099,55.0,0.14285714285714285
0,0,model.layers.0.mlp,27,functional_contribution,12.786158237608479,0.024747011113142925,53.0,coding,reasoning,0.026846678417998163,0.0020996673048552386,False,0.005956231820589902,56.0,0.12698412698412698,0.0106630842416899,31.0,0.5238095238095238,0.026846678417998163,8.0,0.8888888888888888,0.0020996673048552386,61.0,0.047619047619047616
0,0,model.layers.0.mlp,58,functional_contribution,11.817542106683382,0.05739649541665888,46.0,math,reasoning,0.062702367567633,0.005305872150974126,False,0.014452179084038097,23.0,0.6507936507936508,0.062702367567633,3.0,0.9682539682539683,0.011024589648489918,26.0,0.6031746031746031,0.005305872150974126,49.0,0.23809523809523808
0,0,model.layers.0.mlp,34,functional_contribution,10.492477513161367,0.014170823545175988,45.0,reasoning,math,0.015663671278134596,0.0014928477329586077,False,0.005029673617628131,57.0,0.1111111111111111,0.0014928477329586077,64.0,0.0,0.004894634751430351,52.0,0.19047619047619047,0.015663671278134596,19.0,0.7142857142857143
0,0,model.layers.0.mlp,63,functional_contribution,10.249348527217009,0.014173336884516715,45.0,reasoning,general,0.01570569744305347,0.0015323605585367546,False,0.0015323605585367546,63.0,0.015873015873015872,0.007607047184417095,43.0,0.3333333333333333,0.00932981457138602,32.0,0.5079365079365079,0.01570569744305347,18.0,0.7301587301587301
1,1,model.layers.1.mlp,25,functional_contribution,60.00595350584846,0.16828996162690774,63.0,coding,general,0.17114204606193378,0.0028520844350260603,False,0.0028520844350260603,64.0,0.0,0.01787210414035998,11.0,0.8412698412698413,0.17114204606193378,1.0,1.0,0.005695016082781041,40.0,0.38095238095238093
1,1,model.layers.1.mlp,5,functional_contribution,51.417296046294716,0.030413882964416668,60.0,general,coding,0.031017126003989287,0.0006032430395726182,False,0.031017126003989287,4.0,0.9523809523809523,0.01611285411831087,14.0,0.7936507936507936,0.0006032430395726182,64.0,0.0,0.00806660003509513,29.0,0.5555555555555556
1,1,model.layers.1.mlp,15,functional_contribution,26.401839008251887,0.042791851630357994,58.0,coding,reasoning,0.04447644822948828,0.0016845965991302855,False,0.00590841689751065,55.0,0.14285714285714285,0.009638030944009475,31.0,0.5238095238095238,0.04447644822948828,5.0,0.9365079365079365,0.0016845965991302855,63.0,0.015873015873015872
1,1,model.layers.1.mlp,35,functional_contribution,18.29581082619484,0.023078816807228352,56.0,math,coding,0.02441317557316601,0.0013343587659376585,False,0.017577563893778334,10.0,0.8571428571428571,0.02441317557316601,7.0,0.9047619047619048,0.0013343587659376585,63.0,0.015873015873015872,0.01770790048340117,11.0,0.8412698412698413
