domain,layer,layer_ordinal,spearman
general,0,0,0.8239657503475825
general,1,1,0.8961412104663408
general,2,2,0.7882645177315633
general,3,3,0.779711074175816
general,4,4,0.9027863656618637
general,5,5,0.9479612630978604
general,6,6,0.9366407583118036
general,7,7,0.943737909149618
general,8,8,0.8929487179487178
general,9,9,0.8424089104135982
general,10,10,0.8443742349610912
general,11,11,0.9245756018875194
general,12,12,0.9039835164835164
general,13,13,0.9163461538461537
general,14,14,0.9045787545787545
general,15,15,0.954966917991063
general,average,average,0.8877119785658039
math,0,0,0.7447802197802197
math,1,1,0.8731555993658067
math,2,2,0.9296229311715363
math,3,3,0.8722069597069595
math,4,4,0.8939560439560438
math,5,5,0.9413569295137062
math,6,6,0.9781593406593405
math,7,7,0.9724241349553643
math,8,8,0.9220238095238094
math,9,9,0.9457983722960803
math,10,10,0.8995421245421245
math,11,11,0.950091575091575
math,12,12,0.9497710622710621
math,13,13,0.9334706959706958
math,14,14,0.9083541292245257
math,15,15,0.9482938221067958
math,average,average,0.9164379843834778
coding,0,0,0.7838369963369963
coding,1,1,0.863128012053024
coding,2,2,0.9385073260073259
coding,3,3,0.9265109890109888
coding,4,4,0.948705914736088
coding,5,5,0.9766025641025641
coding,6,6,0.9841909466067434
coding,7,7,0.9770945180873454
coding,8,8,0.979382979109886
coding,9,9,0.9641364942995941
coding,10,10,0.9751714191506472
coding,11,11,0.9413448112542803
coding,12,12,0.9588131598932134
coding,13,13,0.9621794871794871
coding,14,14,0.9420208565275663
coding,15,15,0.9782509157509155
coding,average,average,0.9437423368816666
reasoning,0,0,0.7565791733459664
reasoning,1,1,0.8756052611066006
reasoning,2,2,0.8463695784617978
reasoning,3,3,0.8645573389934914
reasoning,4,4,0.9354716857056529
reasoning,5,5,0.9693563342706316
reasoning,6,6,0.950503663003663
reasoning,7,7,0.9616758241758241
reasoning,8,8,0.8929029304029303
reasoning,9,9,0.9100607837224411
reasoning,10,10,0.9343513548157346
reasoning,11,11,0.9291208791208792
reasoning,12,12,0.9396856649615758
reasoning,13,13,0.9409556082046578
reasoning,14,14,0.9438390046068511
reasoning,15,15,0.9247129660972836
reasoning,average,average,0.9109842531872487
