metric,domain_a,domain_b,threshold,top_k,layer,layer_ordinal,intersection,overlap_fraction,jaccard_similarity
routing_frequency,general,math,0.1,7,0,0,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,1,1,4,0.5714285714285714,0.4
routing_frequency,general,math,0.1,7,2,2,0,0.0,0.0
routing_frequency,general,math,0.1,7,3,3,0,0.0,0.0
routing_frequency,general,math,0.1,7,4,4,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,5,5,0,0.0,0.0
routing_frequency,general,math,0.1,7,6,6,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,7,7,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,8,8,0,0.0,0.0
routing_frequency,general,math,0.1,7,9,9,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,10,10,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,11,11,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,12,12,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,13,13,0,0.0,0.0
routing_frequency,general,math,0.1,7,14,14,1,0.14285714285714285,0.07692307692307693
routing_frequency,general,math,0.1,7,15,15,2,0.2857142857142857,0.16666666666666666
routing_frequency,general,math,0.1,7,average,average,1.125,0.1607142857142857,0.09551282051282052
routing_frequency,general,math,0.25,16,0,0,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,1,1,9,0.5625,0.391304347826087
routing_frequency,general,math,0.25,16,2,2,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,3,3,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,4,4,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,5,5,1,0.0625,0.03225806451612903
routing_frequency,general,math,0.25,16,6,6,2,0.125,0.06666666666666667
routing_frequency,general,math,0.25,16,7,7,3,0.1875,0.10344827586206896
routing_frequency,general,math,0.25,16,8,8,2,0.125,0.06666666666666667
routing_frequency,general,math,0.25,16,9,9,3,0.1875,0.10344827586206896
routing_frequency,general,math,0.25,16,10,10,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,11,11,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,12,12,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,13,13,6,0.375,0.23076923076923078
routing_frequency,general,math,0.25,16,14,14,5,0.3125,0.18518518518518517
routing_frequency,general,math,0.25,16,15,15,7,0.4375,0.28
routing_frequency,general,math,0.25,16,average,average,4.6875,0.29296875,0.17795069380115566
routing_frequency,general,math,0.5,32,0,0,18,0.5625,0.391304347826087
routing_frequency,general,math,0.5,32,1,1,19,0.59375,0.4222222222222222
routing_frequency,general,math,0.5,32,2,2,18,0.5625,0.391304347826087
routing_frequency,general,math,0.5,32,3,3,18,0.5625,0.391304347826087
routing_frequency,general,math,0.5,32,4,4,16,0.5,0.3333333333333333
