bit_width,intervention_id,pair_id,role,target_domain,layer,expert_id,quantization_distortion,weight_count,number_of_groups,quantized_weight_payload_bits,scale_storage_bits,weight_packing_padding_bits,projected_bytes,raw_nominal_bit_width,effective_bits_per_weight,compression_ratio_vs_bf16,original_expert_fingerprint,quantized_expert_fingerprint,exact_restoration_verified,unrelated_experts_verified_unchanged,projected_not_measured_runtime_memory
4,specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,0.013894860693057462,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,1d2866092a6e8b99db9f2964f759248d08025aa2f9a4370943dd7ceb95d0ebcb,4c04fdaac661e636bc8556e9690a3876ef6b1a515ddf0d825eb96f428253740b,True,True,True
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,0.015092504026784224,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,02869d4d210022c132402d2c6e8f6f81970f346d8a11e7cd4dcb998f986dd6f7,cbb955accff44c93f7dd8a82fe671f99f285b0313a4b6764e640e221ea3787aa,True,True,True
4,specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,0.013944405761041914,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,0063c524eb755cda785a3a6bf55c16efd8844a1af6b01e9eb010e25261d75de7,1092d908f7666ca66459f13c2ed07e5f74ccbf472533b13861c0060b4c470e9b,True,True,True
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,0.014107349103766688,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,487797d24159680b8a845e7d1597ddb76ce82ae572adff6991e637e7b10a5beb,162c0ed68d871a8cb8d5a7d8de4eb2e7df3e28666aa831bfe3b3020eac34f136,True,True,True
4,specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,0.013968837810186685,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,f8ca8237584e7e7c02def3045c5ee060c92f49d2b66dd9854a9aadf329ed763c,e9400e2b9c8f2996f7817cb15ced878fc9adab1ff4e7b6475fe3eaf44972baea,True,True,True
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,0.014220725736186273,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,ac59baef207c400a603ebb12af9430f275dd8d0b7658bad62def095b051bf672,e83f429f100ae9df4f22c439b8e0b5ba9b33634f5ada326455524155fcc8b974,True,True,True
4,specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,0.014013641711950582,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,f933ade06fcc6fd47db876b01babff194864b85cc4261eb787ea9cd20e684bc9,ab566098b66277490009b713df8376fc5156f10f04a961e7a51dec48734e68dd,True,True,True
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,0.01400081345161828,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,1fde0de4bfc53f13d00433cf727bbdd4b7f5b50895287043060c1102435488da,0941e881f031535d6be6b4868fe44a3357b0ca4f3c1f18793f6846593ae383fb,True,True,True
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,0.014222554903027563,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,a26e711aa4add5450a84cb8ef87312d1c9225c568a419f7b7b25d7a98184bead,f829a0d27ec98f429389e6ad0456aa53430a1b54932ea6a65499898020e2ffe7,True,True,True
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,0.013850269571035216,6291456,49152,25165824,786432,0,3244032,4,4.125,3.878787878787879,f2407f133a4a6e5128b4dc36dcacf9ebf21fccd3fe23da2bb05572771d8dbc91,5aae2960419034b81927acd682a63a4d5ab29a6b56e0593fe86339002c479b64,True,True,True
