bit_width,intervention_id,pair_id,role,target_domain,comparison_domain,layer,expert_id,target_delta_nll,comparison_delta_nll,target_minus_comparison_delta_nll,contrast_ci_low,contrast_ci_high,positive_contrast_ci_excludes_zero,bootstrap_replicates
4,specialist_general_L13_E52,general_L13_E52,specialist,general,math,13,52,0.0010404562950134277,2.3294687271118164e-05,0.0010171616077423095,0.0001766414344310761,0.0018393952548503873,True,1000
4,specialist_general_L13_E52,general_L13_E52,specialist,general,coding,13,52,0.0010404562950134277,-9.227991104125976e-06,0.0010496842861175536,0.0002120723724365235,0.0018842979371547699,True,1000
4,specialist_general_L13_E52,general_L13_E52,specialist,general,reasoning,13,52,0.0010404562950134277,-7.783889770507813e-05,0.0011182951927185057,0.00027590826153755187,0.0019459848403930661,True,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,math,13,36,-0.0001187896728515625,-0.00016061902046203612,4.182934761047362e-05,-0.0006620081067085266,0.0007484121322631835,False,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,coding,13,36,-0.0001187896728515625,0.0002325129508972168,-0.0003513026237487793,-0.0009591198563575745,0.00023754131793975826,False,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,reasoning,13,36,-0.0001187896728515625,0.00021085262298583984,-0.0003296422958374023,-0.0010574713051319123,0.00042480096220970143,False,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,math,12,40,0.0002569746971130371,0.0002734112739562988,-1.6436576843261732e-05,-0.0008194321095943451,0.0008289482295513143,False,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,coding,12,40,0.0002569746971130371,-8.928537368774414e-05,0.00034626007080078123,-0.0004020155966281891,0.0010758715867996214,False,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,reasoning,12,40,0.0002569746971130371,0.00015137314796447753,0.00010560154914855956,-0.0007278395593166351,0.0008781653940677642,False,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,math,12,2,-0.0001363348960876465,-0.000721442699432373,0.0005851078033447265,-0.0004439050257205963,0.0016258001029491424,False,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,coding,12,2,-0.0001363348960876465,9.135484695434571e-05,-0.0002276897430419922,-0.0010500309765338897,0.0005606772005558013,False,1000
4,control_general_L12_E40_L12_E2,general_L12_E40,control,general,reasoning,12,2,-0.0001363348960876465,2.180218696594238e-05,-0.0001581370830535889,-0.0009364263117313385,0.0005705003738403321,False,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,general,8,11,-0.0005533015727996827,6.785392761230469e-05,-0.0006211555004119873,-0.0016934172511100768,0.0004646912217140194,False,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,coding,8,11,-0.0005533015727996827,-9.258389472961426e-05,-0.0004607176780700684,-0.001597164362668991,0.0006774661540985107,False,1000
4,specialist_math_L8_E11,math_L8_E11,specialist,math,reasoning,8,11,-0.0005533015727996827,-0.00011035799980163574,-0.0004429435729980469,-0.0016012748479843138,0.0006691846251487719,False,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,general,8,54,-0.00029477477073669434,0.0006674885749816895,-0.0009622633457183838,-0.001980896443128586,2.578634023666354e-05,False,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,coding,8,54,-0.00029477477073669434,0.0009657454490661621,-0.0012605202198028565,-0.0026819880902767177,0.0003488787114620207,False,1000
4,control_math_L8_E11_L8_E54,math_L8_E11,control,math,reasoning,8,54,-0.00029477477073669434,7.148981094360352e-05,-0.00036626458168029783,-0.0012339563965797424,0.000509863972663879,False,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,general,12,63,-0.00027518510818481446,0.00015656232833862304,-0.0004317474365234375,-0.0012069375216960908,0.0002791392505168912,False,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,coding,12,63,-0.00027518510818481446,3.724098205566406e-06,-0.00027890920639038084,-0.0009575914740562438,0.0003885057568550107,False,1000
4,specialist_math_L12_E63,math_L12_E63,specialist,math,reasoning,12,63,-0.00027518510818481446,-0.00019885778427124025,-7.632732391357422e-05,-0.0008292232453823089,0.000644336462020874,False,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,general,12,43,-0.0004088473320007324,0.00015418529510498048,-0.0005630326271057128,-0.0013743717074394227,0.00014448374509811395,False,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,coding,12,43,-0.0004088473320007324,-0.0013954412937164306,0.0009865939617156982,-0.0003991990089416503,0.0023068680167198175,False,1000
4,control_math_L12_E63_L12_E43,math_L12_E63,control,math,reasoning,12,43,-0.0004088473320007324,-0.00011674642562866211,-0.0002921009063720703,-0.0012485919296741485,0.0005215471088886259,False,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,general,13,2,0.0002993476390838623,-0.0006751632690429688,0.0009745109081268312,-0.00042189684510231024,0.0027686776518821704,False,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,math,13,2,0.0002993476390838623,-0.00031486988067626955,0.0006142175197601319,-0.000768561065196991,0.0023273116052150724,False,1000
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,reasoning,13,2,0.0002993476390838623,-5.7543516159057615e-05,0.00035689115524291994,-0.0010028911530971527,0.0020098195970058436,False,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,general,13,61,0.0006105613708496094,0.00032362699508666995,0.00028693437576293946,-0.0006192758679389953,0.0011739096641540526,False,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,math,13,61,0.0006105613708496094,-0.0003370475769042969,0.0009476089477539063,7.58878588676453e-05,0.0018444084823131556,True,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,reasoning,13,61,0.0006105613708496094,-3.824114799499512e-05,0.0006488025188446045,-0.00017998883128166206,0.0014628438651561734,False,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,general,11,27,0.00193342924118042,-0.00011201024055480957,0.0020454394817352294,0.0007817818522453308,0.0032818191349506375,True,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,math,11,27,0.00193342924118042,-0.0003582596778869629,0.002291688919067383,0.0009506915509700775,0.0035397024154663085,True,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,reasoning,11,27,0.00193342924118042,-0.0002146613597869873,0.0021480906009674074,0.0008843183517456054,0.0033573464751243585,True,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,general,11,7,0.0006817221641540527,-0.0002315974235534668,0.0009133195877075195,-0.00015165305137634276,0.0019167901873588559,False,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,math,11,7,0.0006817221641540527,-0.0005898892879486084,0.001271611452102661,0.0003911859989166259,0.0022158492505550383,True,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,reasoning,11,7,0.0006817221641540527,0.00010952234268188477,0.000572199821472168,-0.00029319784045219415,0.0014427917301654816,False,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,general,13,20,0.0004401469230651855,0.00018204092979431152,0.000258105993270874,-0.0005868175029754638,0.0010590695142745968,False,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,math,13,20,0.0004401469230651855,-0.00020458102226257325,0.0006447279453277588,-0.00010601425170898438,0.0014428069293498992,False,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,coding,13,20,0.0004401469230651855,0.00010965228080749512,0.0003304946422576904,-0.0004824807047843933,0.0012494077980518342,False,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,general,13,63,0.0003285849094390869,0.0003791368007659912,-5.055189132690429e-05,-0.0009996780455112458,0.0007759478688240048,False,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,math,13,63,0.0003285849094390869,-0.00021714448928833007,0.000545729398727417,-0.00021290507912635802,0.0013711772561073303,False,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,coding,13,63,0.0003285849094390869,-0.00011412858963012695,0.00044271349906921387,-0.0001220608353614807,0.0010563304424285888,False,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,general,11,48,0.0004028964042663574,7.121562957763672e-05,0.00033168077468872067,-0.0006472167670726777,0.0011703942418098447,False,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,math,11,48,0.0004028964042663574,5.012750625610351e-06,0.000397883653640747,-0.00043949368596076963,0.0011408976614475249,False,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,coding,11,48,0.0004028964042663574,1.638650894165039e-05,0.000386509895324707,-0.00042496019601821896,0.001077823609113693,False,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,general,11,47,0.00023743152618408203,0.0006170380115509033,-0.0003796064853668213,-0.0012247674763202667,0.0004253150820732113,False,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,math,11,47,0.00023743152618408203,-0.00039735317230224607,0.0006347846984863281,-0.00027570003271102907,0.0015195539593696593,False,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,coding,11,47,0.00023743152618408203,-0.0008269727230072021,0.001064404249191284,-0.00018573808670043943,0.002275779247283935,False,1000
