method,method_label,method_kind,regime,budget_fraction,mean_relative_delta,mean_relative_delta_ci_low,mean_relative_delta_ci_high,median_relative_delta,worst_relative_delta,worst_relative_delta_ci_low,worst_relative_delta_ci_high,worst_domain,worst_raw_delta_nll,mean_raw_delta_nll,mean_recovery,min_recovery,relative_delta_general,relative_delta_general_ci_low,relative_delta_general_ci_high,delta_nll_general,recovery_general,recovery_general_ci_low,recovery_general_ci_high,relative_delta_math,relative_delta_math_ci_low,relative_delta_math_ci_high,delta_nll_math,recovery_math,recovery_math_ci_low,recovery_math_ci_high,relative_delta_coding,relative_delta_coding_ci_low,relative_delta_coding_ci_high,delta_nll_coding,recovery_coding,recovery_coding_ci_low,recovery_coding_ci_high,relative_delta_reasoning,relative_delta_reasoning_ci_low,relative_delta_reasoning_ci_high,delta_nll_reasoning,recovery_reasoning,recovery_reasoning_ci_low,recovery_reasoning_ci_high
bf16_reference,BF16 baseline,uniform_reference,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_8bit_reference,Uniform 8-bit,uniform_reference,,,0.00034560475228349267,-0.00012756536192212059,0.0008302344390078195,0.0004895023895100492,0.0011805563342497517,0.000549333073928485,0.002202952366684502,coding,0.0022282481193540704,0.00048793226480475793,0.0,0.0,-0.0007771421041358793,-0.0017117298757821956,0.00015246024368909986,-0.002215836048126363,0.0,0.0,0.0,0.00020251812967354447,-0.0006327978392933871,0.001115557788466237,0.00045416593551639295,0.0,0.0,0.0,0.0011805563342497517,0.00027258278070087054,0.0020816798383614353,0.0022282481193540704,0.0,0.0,0.0,0.0007764866493465538,-0.000394120639546038,0.0019190534988173186,0.0014851510524749312,0.0,0.0,0.0
uniform_4bit_reference,Uniform 4-bit,uniform_reference,,,0.019209321917145552,0.016376120397356475,0.0223203426524095,0.01430118757993511,0.03787536774839178,0.033293682092173586,0.043192669656955125,coding,0.07148808956146224,0.04012242078781125,0.0,0.0,0.010359544760320217,0.0044758904858091635,0.017078898524585804,0.02953778028488152,0.0,0.0,0.0,0.014418841976093626,0.008635499041427833,0.019977092563612794,0.03233560800552393,0.0,0.0,0.0,0.03787536774839178,0.033293682092173586,0.043192669656955125,0.07148808956146224,0.0,0.0,0.0,0.014183533183776593,0.008260460472292914,0.02017040112711376,0.027128205299377317,0.0,0.0,0.0
uniform_3bit_reference,Uniform 3-bit,uniform_reference,,,0.07216167265357683,0.06610874072380474,0.0786317493324199,0.06937454894054948,0.08318136195643624,0.07071964343593062,0.10199639498190759,general,0.23717188835144043,0.16284656107425682,0.0,0.0,0.08318136195643624,0.06586677462127596,0.10199639498190759,0.23717188835144043,0.0,0.0,0.0,0.0696247976333674,0.060783928378278756,0.07843384305278261,0.1561401510238647,0.0,0.0,0.0,0.06912430024773157,0.060018864109364814,0.07844356123723024,0.13046907424926757,0.0,0.0,0.0,0.06671623077677206,0.05503224455667417,0.08060003199275874,0.1276051306724546,0.0,0.0,0.0
average_specialization,Average-Specialization,deterministic_milp,3to8,0.2,0.041700503459042505,0.03706253161960782,0.04676346838809923,0.041164186412929404,0.05462615233606104,0.04333385921324945,0.07004528260609465,general,0.155753493309021,0.0959369197487831,0.06690964132547372,0.05241376042366008,0.05462615233606104,0.04155798084732343,0.07004528260609465,0.155753493309021,0.08141839504241943,0.06434324157237985,0.09751320838928201,0.04301580926744721,0.03510100959555225,0.05149109275330558,0.09646699428558358,0.05967315673828111,0.04608112072944622,0.07348063194751775,0.029847488674250182,0.023837015771543867,0.03618089329658943,0.0563358211517333,0.07413325309753427,0.06158347076177602,0.08600944268703462,0.039312563558411596,0.03108293573572884,0.048854233387141614,0.07519137024879452,0.05241376042366008,0.037921068698168005,0.06947994804382317
coding_only,Coding-Only,deterministic_milp,3to8,0.2,0.039876854460182465,0.03536230167111102,0.04490250632518564,0.03935210825852486,0.05752198164598061,0.044394758568828414,0.0733391790414033,general,0.1640102624893185,0.09310716807842245,0.06973939299583437,0.05789353847503653,0.05752198164598061,0.04375746249843721,0.0733391790414033,0.1640102624893185,0.07316162586212194,0.054953010678291156,0.09133928668498976,0.042256664225462044,0.03501496122727063,0.04979243800939535,0.09476454019546532,0.061375610828399374,0.049891196846961715,0.07270311689376821,0.023281219677699545,0.018250671597789817,0.02797018279654355,0.04394227743148793,0.08652679681777964,0.07241557848453511,0.10009293216466925,0.03644755229158767,0.027808011920889872,0.04647125121495284,0.06971159219741807,0.05789353847503653,0.042784881889819916,0.07514762499928442
fragility_robust,Fragility-Robust,deterministic_milp,3to8,0.2,0.04398672475003952,0.03945665209776524,0.04927841465282238,0.04607687222669284,0.05208048930783881,0.0455257867049508,0.06654469522279852,general,0.14849514007568354,0.10014387488365167,0.06270268619060515,0.043900384902954004,0.05208048930783881,0.03931178400617065,0.06654469522279852,0.14849514007568354,0.08867674827575689,0.06688140559196458,0.10887646925449378,0.048390103395694856,0.0401949473064314,0.056915519610994274,0.10851935386657718,0.04762079715728751,0.034993477463722146,0.06011082315444939,0.03171266523893361,0.02455958639639989,0.03884824741784415,0.05985625982284537,0.0706128144264222,0.059331103503704026,0.08126581853628172,0.04376364105769083,0.035139804609409506,0.052974977051683435,0.0837047457695006,0.043900384902954004,0.028877102196216392,0.05949362415075278
general_only,General-Only,deterministic_milp,3to8,0.2,0.04837241248017781,0.04395229654518019,0.05313939588098337,0.042216498614799036,0.07064496245813928,0.06214470104671304,0.07873159435576622,coding,0.13333925724029538,0.10508243083953855,0.05776413023471827,-0.0028701829910278143,0.04193174788346805,0.032508856289163064,0.05211024359781401,0.1195584154129028,0.11761347293853763,0.09029147291183473,0.1467756201028825,0.038411690232973875,0.031031939075828352,0.04647735881603175,0.08614182472229004,0.06999832630157465,0.05714485824108136,0.08282609075307865,0.07064496245813928,0.06214470104671304,0.07873159435576622,0.13333925724029538,-0.0028701829910278143,-0.013518745422363436,0.008083377361297616,0.042501249346130025,0.033062522606817316,0.05352561018922412,0.081290225982666,0.046314904689788605,0.031387742489576376,0.061788766413926936
global_importance,Global-Importance,deterministic_milp,3to8,0.2,0.0394638107910956,0.034926745398114536,0.04459372314936799,0.03698044876861028,0.054972905306358136,0.04298609224198563,0.07018095043958777,general,0.15674217700958248,0.09111717343330383,0.07172938764095299,0.05896237850189223,0.054972905306358136,0.042185654121653475,0.07018095043958777,0.15674217700958248,0.08042971134185795,0.06323087537288673,0.09812482559680959,0.03607567197701458,0.028983602443092418,0.04349374481393761,0.08090308427810688,0.07523706674575781,0.06293869811296454,0.08791258215904244,0.03788522556020598,0.03188656243196933,0.04435962822805946,0.07150669574737534,0.05896237850189223,0.04519116377830512,0.07222707563638693,0.028921440320803703,0.02116709142488865,0.03800701871068868,0.055316736698150626,0.07228839397430398,0.05567149138450606,0.09028357589244827
math_only,Math-Only,deterministic_milp,3to8,0.2,0.04677967512066942,0.04200229715322923,0.05193346616555668,0.046701111973804735,0.061638886300750144,0.05489703484743941,0.07352771530516622,coding,0.16413007736206042,0.10523848086595528,0.05760808020830155,0.014128389358520455,0.057564003339051345,0.04459627035318331,0.07233223864717103,0.16413007736206042,0.07304181098938001,0.05365754127502446,0.09175848793983461,0.03207759023431805,0.02491324377232665,0.03966492417578563,0.0719370102882384,0.08420314073562629,0.07076894640922575,0.0976991618871689,0.061638886300750144,0.053611313390028885,0.06951363041395532,0.11634068489074711,0.014128389358520455,-0.00029637014865891944,0.028256984531879525,0.03583822060855813,0.028389066263245517,0.04427811671750814,0.06854615092277516,0.05905897974967944,0.04362298175692553,0.07577818921208358
