surrogate,internal_name,domain,spearman,spearman_ci_low,spearman_ci_high
WeightRiskFunctional,weight_risk_functional,general,0.28823529411764703,-0.3343529385712388,0.7370218542330758
WeightRiskFunctional,weight_risk_functional,math,-0.6529411764705881,-0.9078751857355126,-0.21686431825958544
WeightRiskFunctional,weight_risk_functional,coding,0.35000000000000003,-0.23136362410314507,0.8063195729997169
WeightRiskFunctional,weight_risk_functional,reasoning,0.6264705882352941,0.06924636415484423,0.9518197978201928
WeightRiskRouting,weight_risk_routing,general,0.2088235294117647,-0.4127603463180074,0.706874108558975
WeightRiskRouting,weight_risk_routing,math,-0.6382352941176471,-0.9182063146434403,-0.20517850489674275
WeightRiskRouting,weight_risk_routing,coding,0.3970588235294118,-0.2507753218639627,0.8620946223316914
WeightRiskRouting,weight_risk_routing,reasoning,0.5735294117647058,0.007154164596787564,0.9225810135902347
Functional specialization alone,functional_importance,general,0.2588235294117647,-0.37232710068332264,0.7245460030165911
Functional specialization alone,functional_importance,math,-0.6558823529411765,-0.9156626506024096,-0.22768945416004244
Functional specialization alone,functional_importance,coding,0.35000000000000003,-0.23136362410314507,0.8063195729997169
Functional specialization alone,functional_importance,reasoning,0.6294117647058822,0.06924636415484423,0.9614595494587135
Routing specialization alone,routing_importance,general,0.2352941176470588,-0.3991555006578771,0.707854710073578
Routing specialization alone,routing_importance,math,-0.6529411764705881,-0.9248288381161547,-0.21582692410048987
Routing specialization alone,routing_importance,coding,0.42531284509205053,-0.18772688307273278,0.8595224399409556
Routing specialization alone,routing_importance,reasoning,0.5647058823529412,-0.012309585775124655,0.9105749532878593
UOD,uod,general,0.008823529411764706,-0.5708754415638677,0.6489685960591132
UOD,uod,math,0.2735294117647059,-0.23319734313361878,0.7082206876617423
UOD,uod,coding,-0.09411764705882353,-0.6066483151866688,0.4260089686098655
UOD,uod,reasoning,0.19411764705882353,-0.35544776119402993,0.623374356172416
REOD,reod,general,-0.411764705882353,-0.8363156044364254,0.21311109482339244
REOD,reod,math,-0.19999999999999998,-0.5485946690365867,0.25462127982840277
REOD,reod,coding,-0.21176470588235297,-0.7668507919162576,0.42522935779816495
REOD,reod,reasoning,-0.18235294117647058,-0.6332051939938868,0.31843787840481164
APD,apd,general,0.28529411764705886,-0.35368784499011874,0.7961623632628129
APD,apd,math,-0.4147058823529412,-0.7811582321766308,0.11522864624631016
APD,apd,coding,0.27941176470588236,-0.3355131207321869,0.7927257718342412
APD,apd,reasoning,0.6176470588235293,0.0824403919882555,0.9581527062413796
AOD,aod,general,0.3029411764705882,-0.34830893079042624,0.7684642576590729
AOD,aod,math,-0.5794117647058823,-0.8560880753653023,-0.10549586906317693
AOD,aod,coding,0.35000000000000003,-0.23136362410314507,0.8063195729997169
AOD,aod,reasoning,0.6676470588235294,0.12491451367781155,0.9730185130648961
GQS,gqs,general,0.25,-0.31957737393509356,0.7151424287856072
GQS,gqs,math,-0.6205882352941177,-0.8782459944340872,-0.16576226430385232
GQS,gqs,coding,0.2823529411764706,-0.36463590069159285,0.8535344718448283
GQS,gqs,reasoning,0.5617647058823529,-0.02541106128550075,0.9100449775112445
