surrogate,internal_name,intervention_id,target_domain,layer,expert_id,predicted_contrast,actual_contrast,sign_agreement
WeightRiskFunctional,weight_risk_functional,specialist_general_L13_E52,general,13,52,0.0010499619205269696,0.001061713695526123,True
WeightRiskFunctional,weight_risk_functional,control_general_L13_E52_L13_E36,general,13,36,0.0001721544914426825,-0.00021303852399190269,False
WeightRiskFunctional,weight_risk_functional,specialist_general_L12_E40,general,12,40,0.00104069192838123,0.00014514168103535967,True
WeightRiskFunctional,weight_risk_functional,control_general_L12_E40_L12_E2,general,12,2,-0.0002919713552459276,6.642699241638178e-05,False
WeightRiskFunctional,weight_risk_functional,specialist_math_L8_E11,math,8,11,0.0013657277941817177,-0.0005082722504933675,False
WeightRiskFunctional,weight_risk_functional,control_math_L8_E11_L8_E54,math,8,54,-0.0002284584036169483,-0.0008630160490671794,True
WeightRiskFunctional,weight_risk_functional,specialist_math_L12_E63,math,12,63,0.0009103331973099895,-0.0002623279889424642,False
WeightRiskFunctional,weight_risk_functional,control_math_L12_E63_L12_E43,math,12,43,-0.00037147092158689853,4.38201427459717e-05,False
WeightRiskFunctional,weight_risk_functional,specialist_coding_L13_E2,coding,13,2,0.0028179295398787023,0.0006485398610432942,True
WeightRiskFunctional,weight_risk_functional,control_coding_L13_E2_L13_E61,coding,13,61,0.0004937690281358136,0.0006277819474538168,True
WeightRiskFunctional,weight_risk_functional,specialist_coding_L11_E27,coding,11,27,0.0025989944085973472,0.0021617396672566733,True
WeightRiskFunctional,weight_risk_functional,control_coding_L11_E27_L11_E7,coding,11,7,0.0006245948639917507,0.0009190436204274496,True
WeightRiskFunctional,weight_risk_functional,specialist_reasoning_L13_E20,reasoning,13,20,0.0013899801912969007,0.00041110952695210776,True
WeightRiskFunctional,weight_risk_functional,control_reasoning_L13_E20_L13_E63,reasoning,13,63,0.0002363891028630598,0.00031263033548990885,True
WeightRiskFunctional,weight_risk_functional,specialist_reasoning_L11_E48,reasoning,11,48,0.0014615141765805958,0.0003720247745513916,True
WeightRiskFunctional,weight_risk_functional,control_reasoning_L11_E48_L11_E47,reasoning,11,47,-0.000670558945924788,0.00043986082077026364,False
WeightRiskRouting,weight_risk_routing,specialist_general_L13_E52,general,13,52,0.0006154989072627798,0.001061713695526123,True
WeightRiskRouting,weight_risk_routing,control_general_L13_E52_L13_E36,general,13,36,0.00016576207222125644,-0.00021303852399190269,False
WeightRiskRouting,weight_risk_routing,specialist_general_L12_E40,general,12,40,0.0006718007983835297,0.00014514168103535967,True
WeightRiskRouting,weight_risk_routing,control_general_L12_E40_L12_E2,general,12,2,-0.0003691239326044162,6.642699241638178e-05,False
WeightRiskRouting,weight_risk_routing,specialist_math_L8_E11,math,8,11,0.0008501347386043303,-0.0005082722504933675,False
WeightRiskRouting,weight_risk_routing,control_math_L8_E11_L8_E54,math,8,54,0.00015470594209093282,-0.0008630160490671794,False
WeightRiskRouting,weight_risk_routing,specialist_math_L12_E63,math,12,63,0.0007803299320463108,-0.0002623279889424642,False
WeightRiskRouting,weight_risk_routing,control_math_L12_E63_L12_E43,math,12,43,6.380579046961587e-06,4.38201427459717e-05,True
WeightRiskRouting,weight_risk_routing,specialist_coding_L13_E2,coding,13,2,0.0014598489622469567,0.0006485398610432942,True
WeightRiskRouting,weight_risk_routing,control_coding_L13_E2_L13_E61,coding,13,61,0.0006379600079106391,0.0006277819474538168,True
WeightRiskRouting,weight_risk_routing,specialist_coding_L11_E27,coding,11,27,0.0015303913439385691,0.0021617396672566733,True
WeightRiskRouting,weight_risk_routing,control_coding_L11_E27_L11_E7,coding,11,7,0.0007064806462709597,0.0009190436204274496,True
WeightRiskRouting,weight_risk_routing,specialist_reasoning_L13_E20,reasoning,13,20,0.0010369372397491235,0.00041110952695210776,True
WeightRiskRouting,weight_risk_routing,control_reasoning_L13_E20_L13_E63,reasoning,13,63,0.00013637240216925547,0.00031263033548990885,True
WeightRiskRouting,weight_risk_routing,specialist_reasoning_L11_E48,reasoning,11,48,0.001155328567952976,0.0003720247745513916,True
