method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,protected_experts_per_layer,allocation_sha256,file
robust_functional,Robust-Functional,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0;1;4;2;3;9;2;3;2;3;2;5;6;6;2;1,92168362eee10a2032fee2c46a29ccaf3c2231c637e937072730d189af3a8824,robust_functional_4to8_budget5.json
robust_routing,Robust-Routing,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0;0;2;2;3;6;3;1;5;2;1;6;7;6;3;4,629cc8644cdbbb932eb9ed87e5416d9960cd969140d3288cc58b9d8a11ffe3fb,robust_routing_4to8_budget5.json
average_specialization,Average-Specialization,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,1;2;3;2;2;7;2;2;3;2;1;5;6;7;3;3,c8c9b3d93f50fbdd4ca4dffd0f7a1c6fba8c5be19ced54ddfe2a651215b85608,average_specialization_4to8_budget5.json
global_importance,Global-Importance,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,2;3;2;3;4;4;6;3;5;4;1;3;2;4;2;3,6bd7b771d17c2c2d8ad71559b17e85dbe20ede09b9baab67dd67f76e3d393067,global_importance_4to8_budget5.json
general_only,General-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,2;1;3;2;4;4;2;7;4;2;3;4;2;3;5;3,bed2746322cd0068e70e965ea29c8fd825367db1ef73e0daf38312bbae56dd66,general_only_4to8_budget5.json
math_only,Math-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,3;1;3;4;3;4;5;2;4;2;1;4;4;4;4;3,41c0ed56ad3985912fdd43e518b2bff63dbb6052087fc9ea4131005f8637314a,math_only_4to8_budget5.json
coding_only,Coding-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,3;2;3;2;3;3;4;4;3;4;1;3;5;4;3;4,f6624964702dfbebdbace1be8e4255a80303ae644b50edd1dbe76744353257df,coding_only_4to8_budget5.json
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,3;2;1;5;6;4;4;3;3;2;1;1;4;4;4;4,ca1f8501bdb623aa72a4799eaff3d6cb4825c2a74b7dd4c0091249187d7f99b9,reasoning_only_4to8_budget5.json
random_seed1001,Random (seed 1001),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,5;1;4;3;3;1;1;4;4;2;5;2;3;4;7;2,4d0bf512393f6fc2faae29e6f0f4d4b6ab96435d40d895dffcc8be5522fcb0b6,random_seed1001_4to8_budget5.json
random_seed1002,Random (seed 1002),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,2;11;3;3;3;3;2;2;1;2;4;2;4;4;1;4,55dd148036a6ad6e0f6d364c6ae5ffa31b593b14b550d253970f56002021bf66,random_seed1002_4to8_budget5.json
random_seed1003,Random (seed 1003),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,1;2;4;2;2;3;4;4;4;3;4;1;4;5;5;3,c58cc6ec3aa0d64b0a2e0a846ca43ff6563960b49d8523bf856ac625076cee19,random_seed1003_4to8_budget5.json
random_seed1004,Random (seed 1004),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,2;3;0;0;0;1;5;6;7;5;3;4;3;3;6;3,2498a8757e27b072692c86231902e04a6f9e5c69d8c248e9f4dbc35f65600b4a,random_seed1004_4to8_budget5.json
random_seed1005,Random (seed 1005),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,4;6;3;4;2;3;5;2;7;3;0;4;1;3;0;4,0eda8d4b2c552750a63dd8c51bbd6d819a7112f21135a96927f7c6025be35b9d,random_seed1005_4to8_budget5.json
robust_functional,Robust-Functional,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,2;2;7;6;4;13;10;3;8;6;3;7;9;9;7;6,0bb18e7ec848c912e3cb0c335218e117cd1bc497c3b8c51d0aba6d467cc22342,robust_functional_4to8_budget10.json
robust_routing,Robust-Routing,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,2;1;5;3;6;12;9;7;8;4;4;8;11;12;5;5,971b41f0d32b91412ae19f5f38dd4db4e1355b20f15e5122adefc974ff59a820,robust_routing_4to8_budget10.json
average_specialization,Average-Specialization,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,3;3;6;7;3;13;8;5;7;5;2;9;11;9;5;6,58f9e1a8d629c7d1a81543d7401e59050265f08ce69baa9326f594e1a77e69d3,average_specialization_4to8_budget10.json
global_importance,Global-Importance,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,6;4;6;6;6;8;7;7;8;5;4;7;7;8;6;7,6f1108a61118ad65cf64d0a09d8a529b57c8fe5c1a6c679097fdf67581404496,global_importance_4to8_budget10.json
general_only,General-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,4;2;4;4;5;9;6;8;6;8;8;8;5;6;7;12,5b652905390b286bd32e58368aa44b81ea3eb623520290202ab332f8ccb4892a,general_only_4to8_budget10.json
math_only,Math-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,5;3;6;7;8;9;5;9;5;6;4;5;7;7;7;9,29f257192b524d3cfd3daff5b643c5c469fd32b7303dead52a7c52ef7096664d,math_only_4to8_budget10.json
coding_only,Coding-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,5;4;7;6;8;4;8;4;7;6;6;6;7;7;8;9,1e5c04c715903af7e5da011ddf8a3565b769e48d67432d27492b36fc49bbf6af,coding_only_4to8_budget10.json
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,4;2;4;9;7;8;7;12;5;5;6;5;6;6;8;8,62360b907c04a7a351564be7c0aa072f7a3b0598c4ab7c8bd35201e71e12029d,reasoning_only_4to8_budget10.json
random_seed1001,Random (seed 1001),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,6;7;7;5;6;1;6;7;7;5;8;6;7;8;13;3,637c99058f7ef809666998bd6fef1087be0fc7bb0ffac0c5184622b6406914da,random_seed1001_4to8_budget10.json
random_seed1002,Random (seed 1002),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,7;15;4;8;5;7;6;3;6;5;5;4;6;10;5;6,942f5f1405154460b14d5d5efba12b007d01aa1647181ebc5a83e9080bf5786c,random_seed1002_4to8_budget10.json
random_seed1003,Random (seed 1003),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,5;3;7;8;6;8;7;8;6;8;6;4;7;6;7;6,e59c02c347799c190afb834180242070d7e0245e1ed37d971e288632f64acc78,random_seed1003_4to8_budget10.json
random_seed1004,Random (seed 1004),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,5;5;4;1;3;3;7;13;9;9;7;8;7;6;9;6,8ef5d57726c3ed8383e336953d8c4a9dd38212fecdea815d0ad13959332eefbd,random_seed1004_4to8_budget10.json
