method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,routing_coverage_min
robust_functional,Robust-Functional,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.2504194570732099,0.2619468024141709,0.24863939433621055,0.24334117147220166,0.24334117147220166,0.25108670632394825,0.17222002667588793
robust_routing,Robust-Routing,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.21059149255189544,0.2522634532772741,0.23948418768274898,0.21608272025674047,0.21059149255189544,0.22960546344216473,0.22910019144862787
average_specialization,Average-Specialization,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.09489888853316453,0.27878818385760307,0.3970673776964887,0.3095546090030166,0.09489888853316453,0.2700772647725682,0.08304084237396295
global_importance,Global-Importance,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.001338864169389044,0.20608592597645461,0.44506905607705377,0.1145702170744679,0.001338864169389044,0.19176601582434133,0.00042544139544777726
general_only,General-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.33225131967921945,0.018015736368569877,0.002240172046134385,0.05117583735962821,0.002240172046134385,0.10092076636338798,0.0072494195524378776
math_only,Math-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.0004435853860928761,0.42937709828282944,0.11841013075128169,0.03333341925525366,0.0004435853860928761,0.1453910584188644,0.0
coding_only,Coding-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.0004435853860928761,0.0,0.6521788524854577,0.024456609317579068,0.0,0.16926976179728243,0.0
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.0011469889737412415,0.01894926420504054,0.03843924039815937,0.42974827737588905,0.0011469889737412415,0.12207094273820755,0.0012231440119123609
random_seed1001,Random (seed 1001),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.04664031411298249,0.037694465160607385,0.05486056130718528,0.02368869143697186,0.02368869143697186,0.04072100800443675,0.022122052704576976
random_seed1002,Random (seed 1002),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.04353009184717326,0.0778146210451259,0.036781714357524024,0.024613172615005716,0.024613172615005716,0.045684899966207226,0.021081830790568655
random_seed1003,Random (seed 1003),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.06520061741118165,0.03591305309685128,0.07047339700017091,0.059485617940299225,0.03591305309685128,0.05776817136212577,0.030890236400386687
random_seed1004,Random (seed 1004),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.045330195171970226,0.03988541317166572,0.03474092563108321,0.030862850914649357,0.030862850914649357,0.03770484622234213,0.0377253814147018
random_seed1005,Random (seed 1005),random,4to8,0.05,161061273,160432128,0.9960937537107384,51,3482320896,4.32421875,0.02882213493979766,0.019782325591935854,0.04439586836922687,0.06061909895286687,0.019782325591935854,0.038404856963456815,0.022673345636699187
