method,method_label,method_kind,regime,budget_fraction,mean_relative_delta,mean_relative_delta_ci_low,mean_relative_delta_ci_high,median_relative_delta,worst_relative_delta,worst_relative_delta_ci_low,worst_relative_delta_ci_high,worst_domain,worst_raw_delta_nll,mean_raw_delta_nll,mean_recovery,min_recovery,relative_delta_general,relative_delta_general_ci_low,relative_delta_general_ci_high,delta_nll_general,recovery_general,recovery_general_ci_low,recovery_general_ci_high,relative_delta_math,relative_delta_math_ci_low,relative_delta_math_ci_high,delta_nll_math,recovery_math,recovery_math_ci_low,recovery_math_ci_high,relative_delta_coding,relative_delta_coding_ci_low,relative_delta_coding_ci_high,delta_nll_coding,recovery_coding,recovery_coding_ci_low,recovery_coding_ci_high,relative_delta_reasoning,relative_delta_reasoning_ci_low,relative_delta_reasoning_ci_high,delta_nll_reasoning,recovery_reasoning,recovery_reasoning_ci_low,recovery_reasoning_ci_high
bf16_reference,BF16 baseline,uniform_reference,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_8bit_reference,Uniform 8-bit,uniform_reference,,,-7.827902796806279e-05,-0.0005686255046756627,0.0004384399546203891,-6.413161685746542e-05,0.0005135857520793745,-0.00011196832258282186,0.001504851893740552,coding,0.000970592498779288,-0.0003571081161499179,0.0,0.0,-0.0006984386302366948,-0.0017711957551206547,0.000350790224697187,-0.002107310295105247,0.0,0.0,0.0,-0.00015644889028223094,-0.0011766939241768441,0.0008974852608295983,-0.0003458738327024591,0.0,0.0,0.0,0.0005135857520793745,-0.00047835648538787723,0.0014986798753060552,0.000970592498779288,0.0,0.0,0.0,2.8185656567300106e-05,-0.0005925096455444313,0.0006425346046642195,5.4159164428746465e-05,0.0,0.0,0.0
uniform_4bit_reference,Uniform 4-bit,uniform_reference,,,0.01839754284224408,0.01569157005370297,0.021112989491846416,0.01640223534336901,0.032836369033006595,0.02720632104021156,0.038028870068721556,coding,0.06205533027648924,0.04093206286430351,0.0,0.0,0.017205896224179177,0.011303242313186912,0.02363481871629811,0.05191316843032823,0.0,0.0,0.0,0.015598574462558846,0.010401730308828166,0.02111123912836708,0.0344849920272825,0.0,0.0,0.0,0.032836369033006595,0.02720632104021156,0.038028870068721556,0.06205533027648924,0.0,0.0,0.0,0.007949331649231697,0.001350826549119278,0.01379009078930722,0.015274760723114067,0.0,0.0,0.0
uniform_3bit_reference,Uniform 3-bit,uniform_reference,,,0.0681258814104887,0.06199847626061598,0.07494034471911641,0.06639393686720343,0.07653051661797916,0.0663733385739735,0.09723357278235237,general,0.23090582132339454,0.1559291595220566,0.0,0.0,0.07653051661797916,0.060537335446664495,0.09723357278235237,0.23090582132339454,0.0,0.0,0.0,0.06318513528956879,0.05288997281139537,0.07430401674307938,0.13968833446502682,0.0,0.0,0.0,0.06412361777022053,0.05317766630791276,0.0756150054834884,0.12118307828903219,0.0,0.0,0.0,0.06866425596418632,0.05792035417177677,0.0786487319540165,0.13193940401077286,0.0,0.0,0.0
robust_functional,Robust-Functional,deterministic_milp,3to8,0.2,0.04155055779170164,0.03697514078436763,0.0465167509442458,0.044911236447721825,0.053558570028599976,0.045526807382716916,0.06919358875034934,general,0.1615954804420472,0.09738020122051239,0.05854895830154422,0.040398135185241824,0.053558570028599976,0.04089726124832449,0.06919358875034934,0.1615954804420472,0.06931034088134735,0.05212478733062735,0.08716963398456556,0.04218232201671576,0.034189530261112516,0.05003464294152979,0.09325576782226541,0.04643256664276141,0.03340657621622124,0.05988092929124831,0.02282118824276292,0.015169896090213193,0.030766400853908558,0.0431282877922059,0.07805479049682629,0.06312441438436486,0.09423346942663201,0.04764015087872788,0.03978342729895313,0.055641855671312246,0.09154126882553104,0.040398135185241824,0.026811429917812376,0.05249543780088417
robust_routing,Robust-Routing,deterministic_milp,3to8,0.2,0.05064023585129398,0.0454363934318352,0.05663970409826907,0.05327254141855452,0.05877873244912173,0.052123207189318295,0.07706150908308534,general,0.17734561443328856,0.11678002595901493,0.03914913356304167,0.024690778255462842,0.05877873244912173,0.04426155859111696,0.07706150908308534,0.17734561443328856,0.05356020689010599,0.03821235513687132,0.07123252189159385,0.05073046743935758,0.041507275575320274,0.06039553390085718,0.11215382337570201,0.02753451108932481,0.01731694394350013,0.03704869621992111,0.03723712811894513,0.027901316064840326,0.04733203797545253,0.07037204027175914,0.05081103801727305,0.03776944333314927,0.0643005578517916,0.055814615397751455,0.0474781205635131,0.06422947307054447,0.10724862575531002,0.024690778255462842,0.014685007989406706,0.03503467321395865
average_specialization,Average-Specialization,deterministic_milp,3to8,0.2,0.040094022011888344,0.03563365152699945,0.045155510629400826,0.041314373219977704,0.050998658548519225,0.04206886727095715,0.06707787547117204,general,0.15387178421020486,0.09359632968902581,0.06233282983303079,0.047503440380096684,0.050998658548519225,0.03842008030162393,0.06707787547117204,0.15387178421020486,0.07703403711318968,0.05876964235305816,0.0963159455060962,0.038686357410775835,0.030793189667870684,0.047030617687088806,0.08552696466445919,0.05416136980056763,0.04224351966381057,0.06605769568681705,0.026748683059078748,0.019986584986283303,0.03376153627443562,0.05055060625076302,0.07063247203826917,0.05361681735515585,0.08691016888618464,0.043942389029179574,0.03574548752771969,0.05195961987443805,0.08443596363067618,0.047503440380096684,0.03281521570682534,0.061956147789955174
global_importance,Global-Importance,deterministic_milp,3to8,0.2,0.03462076508349235,0.029667168280477198,0.04020197079944973,0.02844436372483025,0.056027295784834195,0.04192269454767186,0.07471323689679485,general,0.169044053554535,0.08360153794288638,0.07232762157917022,0.061861767768859544,0.056027295784834195,0.04192269454767186,0.07471323689679485,0.169044053554535,0.061861767768859544,0.04653356254100808,0.07859360861778271,0.027183396404423125,0.021477949424712525,0.03276459489703902,0.060096466541290194,0.07959186792373663,0.06306014424562478,0.09677154874801643,0.029705331045237378,0.02199813258189887,0.037588506638227194,0.05613818407058724,0.06504489421844495,0.04423982578516005,0.08453470617532692,0.025567037099474707,0.018135114064568723,0.03239300044841723,0.0491274476051331,0.08281195640563976,0.06902939110994334,0.09668563848733883
general_only,General-Only,deterministic_milp,3to8,0.2,0.04261998645849804,0.03792236999828311,0.04808236155088982,0.039340922260462416,0.058809828981858915,0.0492117698015506,0.06861629989147196,coding,0.11434904575347904,0.09475958883762359,0.06116957068443302,0.010042185783386337,0.037899397668412306,0.026700349809244812,0.05432622217225957,0.11434904575347904,0.1165567755699155,0.09785869389772403,0.13365259063243867,0.04078244685251252,0.033058971397189926,0.049504492065897125,0.0901609539985655,0.049527380466461324,0.035691461622714735,0.06227429181337339,0.058809828981858915,0.049067695255635986,0.06851564024315208,0.11114089250564585,0.010042185783386337,-0.000447049856185866,0.020502844214439347,0.0329882723312084,0.025314785687053684,0.040963825010771775,0.06338746309280396,0.0685519409179689,0.056084999918937554,0.08202308320999153
math_only,Math-Only,deterministic_milp,3to8,0.2,0.040959437579283796,0.03662748462541484,0.045712521970067546,0.04174948681837382,0.05660520610150213,0.050823913147147966,0.0680322015778974,coding,0.15881436347961442,0.09439016640186321,0.0615389931201934,0.014208559989929315,0.05263680756851928,0.04000623610086643,0.06782449589800493,0.15881436347961442,0.07209145784378013,0.051328845441341676,0.09640023410320309,0.02373357057888541,0.018513733379099073,0.029437691373501402,0.052469666004181015,0.0872186684608458,0.06811181050539039,0.10627283567190167,0.05660520610150213,0.04867761126136631,0.06473779848823169,0.10697451829910287,0.014208559989929315,0.0023236195445061948,0.026067619621753992,0.030862166068228367,0.023798649898681128,0.03794079188927119,0.05930211782455452,0.07263728618621834,0.060083584785461566,0.08523746007680884
coding_only,Coding-Only,deterministic_milp,3to8,0.2,0.03647263714174402,0.03159178057325005,0.04256981268698106,0.03379880254158413,0.05997682965186112,0.04593724779572702,0.08063895812839748,general,0.1809604811668395,0.08859001874923711,0.0673391407728195,0.04994534015655505,0.05997682965186112,0.04582603891905739,0.08063895812839748,0.1809604811668395,0.04994534015655505,0.03531759792566323,0.06451373606920277,0.03075168963911799,0.024527372188659153,0.03683870714070027,0.06798517227172862,0.0717031621932982,0.0546558565497401,0.08689668357372285,0.018316113831946697,0.011970295179783852,0.024567004059454185,0.034614439010620224,0.08656863927841196,0.06609653776884057,0.1062642933726309,0.03684591544405027,0.028720135391020044,0.04508093384974263,0.0707999825477601,0.061139421463012766,0.04982949823141116,0.07148973983526237
reasoning_only,Reasoning-Only,deterministic_milp,3to8,0.2,0.040865332866093645,0.036322862785972666,0.04596546231116988,0.042146541917379314,0.06039090267421817,0.05331011978329279,0.07347817041957111,coding,0.17076053380966183,0.09555050551891325,0.06037865400314335,0.007054216861725138,0.056596199244853235,0.044195288490811065,0.07306104717878605,0.17076053380966183,0.060145287513732715,0.04047012007236467,0.07973740351200091,0.02769688458990539,0.02199103088448098,0.03345636087389833,0.0612316751480102,0.07845665931701662,0.061208612978458546,0.09539493262767793,0.06039090267421817,0.05015949777772858,0.07017264173211447,0.11412886142730705,0.007054216861725138,-0.006305228888988601,0.02076301240921015,0.018777344955397787,0.012591211826688964,0.024616746994618882,0.036080951690673935,0.09585845232009893,0.08162722104787848,0.10968412876129152
random_seed1001,Random (seed 1001),random,3to8,0.2,0.05944552833649912,0.05408170647995094,0.0652051021121302,0.06003730499841938,0.06533631551385387,0.05936799325455796,0.08341824090858298,general,0.1971309781074524,0.13545888066291806,0.020470278859138547,0.010496563911438272,0.06533631551385387,0.05154078245074119,0.08341824090858298,0.1971309781074524,0.03377484321594215,0.01900836658477807,0.048100386261939944,0.052371187835303826,0.04373367132674169,0.06234918834790662,0.1157810926437377,0.023907241821289116,0.013459764957427667,0.03348183274269131,0.05687300377374563,0.04766366244177145,0.06593745345849951,0.10748061180114754,0.013702466487884646,0.005158775031566654,0.022561630010604912,0.06320160622309313,0.0533642130130249,0.0722515001679455,0.12144284009933459,0.010496563911438272,0.0021550137996674047,0.01891745293140428
random_seed1002,Random (seed 1002),random,3to8,0.2,0.057544838902359764,0.05245750167454984,0.06362067309078731,0.05696280717704992,0.06719182004957237,0.05913329181876893,0.08039878386209073,coding,0.1844618225097654,0.1303354692459105,0.025593690276146108,-0.005798397064208594,0.06113730044594612,0.048225890541631226,0.07892143071858831,0.1844618225097654,0.04644399881362915,0.0322574719786643,0.05986616152524948,0.04906192120576684,0.041120505121844564,0.057060106294785466,0.1084650373458862,0.031223297119140625,0.020932776331901427,0.04136963570117942,0.06719182004957237,0.056590532277413445,0.07837125004802219,0.12698147535324078,-0.005798397064208594,-0.014209684789180764,0.002243329346180039,0.05278831390815372,0.04335816868985177,0.06246671717644228,0.10143354177474961,0.03050586223602325,0.0220148456692696,0.03861382257938386
random_seed1003,Random (seed 1003),random,3to8,0.2,0.0570316876830271,0.05176733235753117,0.06268388866655764,0.05641391765312022,0.06532800966747106,0.056442157393005114,0.08275769230136722,general,0.19710591793060317,0.13063262522220614,0.02529653429985046,0.010798325538635467,0.06532800966747106,0.0515454344685375,0.08275769230136722,0.19710591793060317,0.033799903392791375,0.01999614804983154,0.047304364264011044,0.049970905758396904,0.041895107036068545,0.058192766253221805,0.11047460079193128,0.029213733673095543,0.01934464514255523,0.03965780186653132,0.05840972017680926,0.0493902735116154,0.06744170224890413,0.11038475275039672,0.010798325538635467,-0.00020271658897400536,0.02240785843133902,0.05441811512943117,0.04490452255617226,0.06372695356460499,0.10456522941589341,0.027374174594879452,0.020092002451419892,0.03621940064430238
random_seed1004,Random (seed 1004),random,3to8,0.2,0.057793109975010526,0.05203196201153429,0.0644207426096005,0.05931440998282661,0.06278094455259309,0.05758404975777909,0.08083320344007422,general,0.18942098140716546,0.13196416556835172,0.023964993953704883,0.01323531866073635,0.06278094455259309,0.04790056182439792,0.08083320344007422,0.18942098140716546,0.04148483991622909,0.030879752397537343,0.05271665364503841,0.05685252378195953,0.04701559499912393,0.06781013271548696,0.12568833351135256,0.014000000953674263,0.0013011475205418346,0.024684163808822834,0.049762675381795816,0.038417706041356615,0.06138786743929994,0.09404326200485236,0.02713981628417983,0.017748584985733087,0.03633411598205564,0.06177629618369369,0.052341516031690724,0.07153437141440469,0.11870408535003651,0.01323531866073635,0.004865797042846687,0.021762973129749418
random_seed1005,Random (seed 1005),random,3to8,0.2,0.04889405539817969,0.04369085120802491,0.054657314253555245,0.046607862188367113,0.06347750802599723,0.05120073203276726,0.08017038863927399,general,0.19152263402938852,0.11416765689849856,0.041761502623558044,0.03619180917739895,0.06347750802599723,0.05016613595561433,0.08017038863927399,0.19152263402938852,0.03938318729400603,0.023462589979172034,0.05364276051521314,0.04338650611637899,0.03512552448972901,0.052355194219570085,0.09591795206069964,0.04377038240432718,0.031445231795310835,0.05478143781423572,0.03888298918998727,0.028829968172758007,0.04828686483240738,0.07348244667053216,0.04770063161850002,0.037233147263526535,0.05836678451299657,0.04982921826035524,0.04168649774799311,0.058844569711993436,0.09574759483337392,0.03619180917739895,0.02352411806583442,0.04832427501678465
robust_functional,Robust-Functional,deterministic_milp,4to8,0.2,0.011808372956931733,0.009595045556015272,0.014217140216405187,0.009237595036995096,0.03142668908053787,0.027148683731842864,0.03547581580710713,coding,0.05939126729965216,0.025921379923820487,0.015010682940483022,0.0026640629768370783,0.01063628860760536,0.0060740609405038025,0.015793371592636177,0.032091524600982524,0.019821643829345703,0.009822267293930164,0.03050338083505618,0.007838901466384829,0.0039831419477889644,0.011751615692225948,0.017330074310302646,0.017154917716979856,0.009591298758983458,0.025547229111194312,0.03142668908053787,0.027148683731842864,0.03547581580710713,0.05939126729965216,0.0026640629768370783,-0.004239695072174176,0.008992114067077622,-0.0026683873268011278,-0.008423751497818589,0.0033282697986815324,-0.005127346515655384,0.02040210723876945,0.012505377769470217,0.028048334300518053
