scope,capacity,spare_residency,stage0_simple,oracle,stage1_cost,stage1_gap_closed,stage1_normalized,stage2_cost,stage2_gap_closed,stage2_normalized,stage3_cost,stage3_gap_closed,stage3_normalized,stage3_like_for_like_cost,stage3_like_for_like_gap_closed,stage3_like_for_like_normalized,stage3_vs_stage1,stage3_vs_stage2
all_frozen_workloads,8,0,12849725.0,12849725.0,12849725.0,,1.0,12849725.0,,1.0,12849725.0,,1.0,12849725.0,,1.0,0.0,0.0
all_frozen_workloads,12,4,9907430.0,8146471.0,9748279.0,0.09037745910041063,0.9839361973791387,9851604.0,0.03170204417025042,0.9943652390175858,9470228.0,0.24827494564041525,0.9558713006299313,9497431.0,0.23282711295379394,0.9586170177331558,0.028523085972406,0.038712071658584736
all_frozen_workloads,16,8,8052402.0,5904787.0,7822852.0,0.10688601076077416,0.9714929781200691,7945937.0,0.04957359675733313,0.9867784792661867,7512017.0,0.25162098420806334,0.9328914527615486,7565032.0,0.22693546096483774,0.9394752025544676,0.039734229920238805,0.0546090410734442
all_frozen_workloads,24,16,5303005.0,3294951.0,5081058.0,0.11052840212464406,0.9581469374439586,5181473.0,0.06052227679136119,0.9770824277932983,4833005.0,0.23405745064624756,0.9113710056845128,4899005.0,0.2011898086406043,0.9238167793543473,0.048819163253007544,0.06725269049940046
all_frozen_workloads,32,24,3299634.0,1785846.0,3159525.0,0.09255523230465561,0.9575380178528892,3203094.0,0.06377379131027594,0.9707422095905183,2978002.0,0.21246832449457917,0.9025249467062104,3038173.0,0.17271969390694072,0.9207606055701936,0.05745262341649457,0.0702733044987128
stationary,8,0,2992620.0,2992620.0,2992620.0,,1.0,2992620.0,,1.0,2992620.0,,1.0,2992620.0,,1.0,0.0,0.0
stationary,12,4,2305638.0,1896388.0,2264721.0,0.09998045204642639,0.9822535020675405,2279645.0,0.06351374465485644,0.9887263308463862,2203006.0,0.25078069639584605,0.9554865074222406,2208621.0,0.23706047648136835,0.9579218420237695,0.027250597314194554,0.033618831002195516
stationary,16,8,1872290.0,1375283.0,1814668.0,0.11593800489731533,0.9692237847769309,1836079.0,0.07285812875874988,0.9806595132164355,1747460.0,0.251163464498488,0.9333276362102024,1758183.0,0.22958831565752594,0.9390548472725914,0.0370359757266894,0.04826535241675331
stationary,24,16,1230577.0,768001.0,1175318.0,0.11945928885199406,0.9550950489079513,1201464.0,0.06293668499878939,0.9763419924149404,1124785.0,0.22870187817785617,0.9140305726500658,1138262.0,0.19956720625367508,0.924982345680116,0.04299517237037125,0.0638213046749632
stationary,32,24,763662.0,416358.0,728401.0,0.10152776818003824,0.9538264310650524,742036.0,0.06226821459009974,0.9716811887981855,693193.0,0.20290293230138437,0.9077222645620706,705639.0,0.16706689240550066,0.9240200507554389,0.04833601271826919,0.06582295198615701
abrupt,8,0,5926143.0,5926143.0,5926143.0,,1.0,5926143.0,,1.0,5926143.0,,1.0,5926143.0,,1.0,0.0,0.0
abrupt,12,4,4552306.0,3752707.0,4488773.0,0.07945607735877609,0.9860437764948138,4535807.0,0.020634092839035566,0.9963756830054922,4364556.0,0.2348051961045474,0.9587571661483213,4376972.0,0.2192774128031676,0.961484575070305,0.027672818384890482,0.03775535422913717
abrupt,16,8,3693108.0,2715747.0,3598607.0,0.09668996409719643,0.9744115254685214,3657652.0,0.03627728137300342,0.9903994142602924,3459146.0,0.23938135448416706,0.9366490229909333,3483751.0,0.21420641912251462,0.9433114330802131,0.038754162374496574,0.054271428774525295
abrupt,24,16,2424479.0,1511098.0,2335230.0,0.09771278360289956,0.963188379853981,2377466.0,0.05147140131007761,0.9806090298163028,2219532.0,0.22438281505746233,0.915467611804433,2250032.0,0.19099039721649563,0.9280476341515023,0.04954458447347799,0.06642955146361715
abrupt,32,24,1502762.0,816437.0,1449860.0,0.0770801005354606,0.9647968207873237,1465212.0,0.054711689068589954,0.975012676658047,1363585.0,0.20278585218373218,0.9073858668238883,1390881.0,0.16301460678250101,0.9255497543855913,0.05950574538231278,0.0693599288021119
repeated,8,0,936595.0,936595.0,936595.0,,1.0,936595.0,,1.0,936595.0,,1.0,936595.0,,1.0,0.0,0.0
repeated,12,4,727303.0,598832.0,716788.0,0.08184726514154946,0.9855424767944034,726356.0,0.007371313370332604,0.9986979291986972,695756.0,0.24555736314031962,0.9566246804976742,697956.0,0.22843287590195452,0.9596495545872903,0.029342009073812618,0.04212810247316743
repeated,16,8,592679.0,436094.0,577674.0,0.0958265478813424,0.9746827540709221,587541.0,0.032812849251205416,0.9913308890647382,553568.0,0.24977488265159498,0.9340098096946239,557895.0,0.22214132899064407,0.941310557654312,0.04172941832244484,0.057822347717010385
repeated,24,16,390600.0,244364.0,377218.0,0.09150961459558522,0.9657398873527906,382562.0,0.05496594545802675,0.9794214029697901,357838.0,0.22403512131075795,0.9161239119303636,363030.0,0.18853086791214202,0.9294162826420891,0.05137612733220578,0.06462743293897459
repeated,32,24,243124.0,132133.0,235345.0,0.07008676379165878,0.968003981507379,236395.0,0.06062653728680704,0.9723227653378523,220339.0,0.20528691515528286,0.9062823908787285,225306.0,0.1605355389175699,0.9267122949605963,0.06376171152988167,0.0679202182787284
mixed,8,0,2994367.0,2994367.0,2994367.0,,1.0,2994367.0,,1.0,2994367.0,,1.0,2994367.0,,1.0,0.0,0.0
mixed,12,4,2322183.0,1898544.0,2277997.0,0.1043010676543,0.9809722145067808,2309796.0,0.029239517608152223,0.9946657950729981,2206910.0,0.2721019547303246,0.9503600706748779,2213882.0,0.2556445464180588,0.9533624180350989,0.031205923449416306,0.04454332763586048
