workload,regime,capacity,stage0_simple,oracle,stage1_cost,stage1_gap_closed,stage2_cost,stage2_gap_closed,stage3_cost,stage3_gap_closed
coding_to_general,abrupt,8,1433992.0,1433992.0,1433992.0,,1433992.0,,1433992.0,
coding_to_general,abrupt,12,1069157.0,877841.0,1058136.0,0.05760626398210291,1063178.0,0.031251960107884336,1027419.0,0.2181626210039934
coding_to_general,abrupt,16,850900.0,620099.0,834753.0,0.06996070207668077,842591.0,0.036000710568845025,799787.0,0.22145917911967453
coding_to_general,abrupt,24,545108.0,334892.0,530371.0,0.07010408341895955,535567.0,0.045386649921985,499811.0,0.2154783651101724
coding_to_general,abrupt,32,334559.0,179823.0,326523.0,0.05193361596525695,325491.0,0.05860304001654431,304163.0,0.19643780374314962
general_to_coding,abrupt,8,1433982.0,1433982.0,1433982.0,,1433982.0,,1433982.0,
general_to_coding,abrupt,12,1069228.0,877829.0,1058094.0,0.058171672788259084,1069172.0,0.00029258251088041214,1027409.0,0.21849121468764204
general_to_coding,abrupt,16,850865.0,620077.0,834522.0,0.07081390713555298,849347.0,0.006577465032843995,799783.0,0.22133733123039326
general_to_coding,abrupt,24,545013.0,334829.0,530035.0,0.07126137098922848,538558.0,0.030711186389068626,499760.0,0.21530183077684314
general_to_coding,abrupt,32,334386.0,179764.0,326131.0,0.053388262989742724,327714.0,0.04315039257026814,304079.0,0.19600703651485557
general_to_math,abrupt,8,1499588.0,1499588.0,1499588.0,,1499588.0,,1499588.0,
general_to_math,abrupt,12,1177459.0,978683.0,1165865.0,0.05832696100132813,1177402.0,0.00028675494023423353,1134255.0,0.21735018312069868
general_to_math,abrupt,16,969868.0,720684.0,949182.0,0.08301496083215616,969363.0,0.0020266148709387442,912148.0,0.23163606010016694
general_to_math,abrupt,24,648903.0,408761.0,629781.0,0.07962788683362344,640414.0,0.03534991796520392,595331.0,0.22308467490068376
general_to_math,abrupt,32,404859.0,221068.0,395406.0,0.05143342165829665,397917.0,0.03777116398517882,366820.0,0.20696878519622833
math_to_reasoning,abrupt,8,1558581.0,1558581.0,1558581.0,,1558581.0,,1558581.0,
