workload,regime,capacity,layer,stage3_misses
stationary_general,stationary,8,0,54379
stationary_general,stationary,8,1,55694
stationary_general,stationary,8,2,48231
stationary_general,stationary,8,3,46839
stationary_general,stationary,8,4,40971
stationary_general,stationary,8,5,39172
stationary_general,stationary,8,6,39951
stationary_general,stationary,8,7,40183
stationary_general,stationary,8,8,43487
stationary_general,stationary,8,9,46527
stationary_general,stationary,8,10,49659
stationary_general,stationary,8,11,45880
stationary_general,stationary,8,12,47452
stationary_general,stationary,8,13,47428
stationary_general,stationary,8,14,49295
stationary_general,stationary,8,15,48393
stationary_general,stationary,12,0,43290
stationary_general,stationary,12,1,46318
stationary_general,stationary,12,2,37745
stationary_general,stationary,12,3,36194
stationary_general,stationary,12,4,30431
stationary_general,stationary,12,5,28256
stationary_general,stationary,12,6,28257
stationary_general,stationary,12,7,29550
stationary_general,stationary,12,8,33145
stationary_general,stationary,12,9,36194
stationary_general,stationary,12,10,39070
stationary_general,stationary,12,11,35266
stationary_general,stationary,12,12,36724
stationary_general,stationary,12,13,36385
stationary_general,stationary,12,14,37555
stationary_general,stationary,12,15,36493
stationary_general,stationary,16,0,36410
stationary_general,stationary,16,1,39338
stationary_general,stationary,16,2,31201
stationary_general,stationary,16,3,29809
stationary_general,stationary,16,4,23802
stationary_general,stationary,16,5,21834
stationary_general,stationary,16,6,21796
stationary_general,stationary,16,7,22852
stationary_general,stationary,16,8,26548
stationary_general,stationary,16,9,29444
stationary_general,stationary,16,10,32223
stationary_general,stationary,16,11,28344
stationary_general,stationary,16,12,29653
stationary_general,stationary,16,13,29081
stationary_general,stationary,16,14,29721
stationary_general,stationary,16,15,28837
stationary_general,stationary,24,0,25377
stationary_general,stationary,24,1,28200
stationary_general,stationary,24,2,21502
stationary_general,stationary,24,3,20001
stationary_general,stationary,24,4,14614
stationary_general,stationary,24,5,13252
stationary_general,stationary,24,6,12828
stationary_general,stationary,24,7,14306
stationary_general,stationary,24,8,17028
stationary_general,stationary,24,9,19922
stationary_general,stationary,24,10,22263
stationary_general,stationary,24,11,18906
stationary_general,stationary,24,12,19581
stationary_general,stationary,24,13,18843
stationary_general,stationary,24,14,19185
stationary_general,stationary,24,15,18265
stationary_general,stationary,32,0,16941
stationary_general,stationary,32,1,19736
stationary_general,stationary,32,2,14244
stationary_general,stationary,32,3,12617
stationary_general,stationary,32,4,8501
stationary_general,stationary,32,5,7347
stationary_general,stationary,32,6,6972
stationary_general,stationary,32,7,8135
stationary_general,stationary,32,8,10333
stationary_general,stationary,32,9,12887
stationary_general,stationary,32,10,14904
stationary_general,stationary,32,11,12144
stationary_general,stationary,32,12,12486
stationary_general,stationary,32,13,11833
stationary_general,stationary,32,14,12091
stationary_general,stationary,32,15,10860
stationary_coding,stationary,8,0,56459
stationary_coding,stationary,8,1,50252
stationary_coding,stationary,8,2,48603
stationary_coding,stationary,8,3,53314
stationary_coding,stationary,8,4,39130
stationary_coding,stationary,8,5,37656
stationary_coding,stationary,8,6,39277
stationary_coding,stationary,8,7,37574
stationary_coding,stationary,8,8,34259
stationary_coding,stationary,8,9,35703
stationary_coding,stationary,8,10,45464
stationary_coding,stationary,8,11,36418
stationary_coding,stationary,8,12,41005
stationary_coding,stationary,8,13,43227
stationary_coding,stationary,8,14,46620
stationary_coding,stationary,8,15,45498
stationary_coding,stationary,12,0,42936
stationary_coding,stationary,12,1,36319
stationary_coding,stationary,12,2,33097
stationary_coding,stationary,12,3,36275
stationary_coding,stationary,12,4,25198
stationary_coding,stationary,12,5,23646
stationary_coding,stationary,12,6,24317
stationary_coding,stationary,12,7,24399
stationary_coding,stationary,12,8,22576
stationary_coding,stationary,12,9,22988
stationary_coding,stationary,12,10,28714
stationary_coding,stationary,12,11,22859
stationary_coding,stationary,12,12,26478
stationary_coding,stationary,12,13,27390
stationary_coding,stationary,12,14,30341
stationary_coding,stationary,12,15,29039
stationary_coding,stationary,16,0,35338
stationary_coding,stationary,16,1,30364
