regime,capacity,lfu_decay_alpha,oracle_headroom,oracle_headroom_ci_low,oracle_headroom_ci_high,best_simple_policy_by_workload,lru,lru_requests,lru_normalized,lfu,lfu_requests,lfu_normalized,lfu_decay,lfu_decay_requests,lfu_decay_normalized,static_hotset,static_hotset_requests,static_hotset_normalized,oracle,oracle_requests,oracle_normalized
stationary,8,0.95,0.0,0.0,0.0,stationary_coding:lru;stationary_general:lru;stationary_math:lru;stationary_reasoning:lru,2992620.0,5231616,0.5720259285085144,2992620.0,5231616,0.5720259285085144,2992620.0,5231616,0.5720259285085144,2992620.0,5231616,0.5720259285085144,2992620.0,5231616,0.5720259285085144
stationary,12,0.95,0.17749967687902438,0.17500820867565609,0.18017068924232968,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),2484448.0,5231616,0.4748911235075357,2379423.0,5231616,0.45481606448179684,2305638.0,5231616,0.44071239173517324,2460697.0,5231616,0.4703512260838716,1896388.0,5231616,0.36248608460559795
stationary,16,0.95,0.26545406961528395,0.26193536322306665,0.26896318094695104,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),2080803.0,5231616,0.39773618705960073,1985804.0,5231616,0.37957755309258173,1872290.0,5231616,0.3578798596838912,2104284.0,5231616,0.4022244751908397,1375283.0,5231616,0.26287919449745545
stationary,24,0.95,0.37590171114851,0.37133302883456554,0.37983849309538725,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),1432525.0,5231616,0.27382074678263846,1373685.0,5231616,0.26257374394450966,1230577.0,5231616,0.23521928979496967,1536241.0,5231616,0.29364559631287923,768001.0,5231616,0.1467999562659033
stationary,32,0.95,0.45478758927378865,0.45084580283249726,0.4584858149066172,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),924365.0,5231616,0.17668823552798982,906157.0,5231616,0.17320785776326092,763662.0,5231616,0.14597057582207867,1067598.0,5231616,0.2040665828684674,416358.0,5231616,0.07958496953904874
abrupt,8,0.95,0.0,0.0,0.0,coding_to_general:lru;general_to_coding:lru;general_to_math:lru;math_to_reasoning:lru,5926143.0,10463232,0.5663778648891662,5926143.0,10463232,0.5663778648891662,5926143.0,10463232,0.5663778648891662,5926143.0,10463232,0.5663778648891662,5926143.0,10463232,0.5663778648891662
abrupt,12,0.95,0.17564702372819402,0.17292870090142357,0.1784794668304815,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),4920496.0,10463232,0.47026540174202386,4846449.0,10463232,0.4631885253046095,4552306.0,10463232,0.4350764658568213,4911736.0,10463232,0.46942818433157174,3752707.0,10463232,0.3586565795348894
abrupt,16,0.95,0.2646445757881979,0.26008184876847174,0.2685310190542675,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),4124376.0,10463232,0.3941780130651791,4133604.0,10463232,0.39505995852906634,3693108.0,10463232,0.35296053838813857,4227794.0,10463232,0.4040619571467019,2715747.0,10463232,0.2595514464364357
abrupt,24,0.95,0.3767328980783088,0.37136199742425097,0.3823026649431745,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),2834117.0,10463232,0.27086439448155214,2987061.0,10463232,0.28548167526056956,2424479.0,10463232,0.23171415868442943,3132030.0,10463232,0.2993367632486788,1511098.0,10463232,0.14441981215746721
abrupt,32,0.95,0.45670904640921184,0.45205320668054677,0.46109010446720883,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),1822877.0,10463232,0.17421739286675475,2055581.0,10463232,0.19645755728249167,1502762.0,10463232,0.14362311759884516,2207867.0,10463232,0.21101195118296143,816437.0,10463232,0.0780291405179585
repeated,8,0.95,0.0,0.0,0.0,repeated_domain_cycle:lru,936595.0,1638400,0.5716522216796875,936595.0,1638400,0.5716522216796875,936595.0,1638400,0.5716522216796875,936595.0,1638400,0.5716522216796875,936595.0,1638400,0.5716522216796875
repeated,12,0.95,0.17664027234866347,0.17174060596075777,0.18179421177639443,repeated_domain_cycle:lfu_decay(alpha=0.95),782170.0,1638400,0.477398681640625,783081.0,1638400,0.4779547119140625,727303.0,1638400,0.4439105224609375,783004.0,1638400,0.47790771484375,598832.0,1638400,0.365498046875
repeated,16,0.95,0.2641986640323008,0.2569309906641216,0.27130333437746,repeated_domain_cycle:lfu_decay(alpha=0.95),659101.0,1638400,0.4022833251953125,677328.0,1638400,0.413408203125,592679.0,1638400,0.3617425537109375,677752.0,1638400,0.4136669921875,436094.0,1638400,0.266170654296875
repeated,24,0.95,0.3743881208397337,0.3656626027294112,0.3829982022863512,repeated_domain_cycle:lfu_decay(alpha=0.95),456465.0,1638400,0.2786041259765625,506514.0,1638400,0.309151611328125,390600.0,1638400,0.2384033203125,507670.0,1638400,0.309857177734375,244364.0,1638400,0.14914794921875
repeated,32,0.95,0.4565201296457775,0.4479841181213885,0.4640838499258343,repeated_domain_cycle:lfu_decay(alpha=0.95),294197.0,1638400,0.1795635986328125,358992.0,1638400,0.219111328125,243124.0,1638400,0.14839111328125,359071.0,1638400,0.2191595458984375,132133.0,1638400,0.0806475830078125
mixed,8,0.95,0.0,0.0,0.0,mixed_interleaved:lru,2994367.0,5231616,0.5723598597450578,2994367.0,5231616,0.5723598597450578,2994367.0,5231616,0.5723598597450578,2994367.0,5231616,0.5723598597450578,2994367.0,5231616,0.5723598597450578
mixed,12,0.95,0.18243135876888256,0.1798297619918365,0.18507969671396712,mixed_interleaved:lfu_decay(alpha=0.95),2486751.0,5231616,0.47533133165736935,2462189.0,5231616,0.4706364152109023,2322183.0,5231616,0.4438748944876688,2462671.0,5231616,0.47072854735515757,1898544.0,5231616,0.362898194362889
mixed,16,0.95,0.27274200572763385,0.26909503880022695,0.27642888109825303,mixed_interleaved:lfu_decay(alpha=0.95),2083867.0,5231616,0.3983218569558622,2106884.0,5231616,0.40272145356234096,1894325.0,5231616,0.36209175138236444,2106565.0,5231616,0.4026604781390683,1377663.0,5231616,0.26333412085290664
mixed,24,0.95,0.3864169773070166,0.382192923391766,0.3903862037685817,mixed_interleaved:lfu_decay(alpha=0.95),1436643.0,5231616,0.2746078840648855,1544893.0,5231616,0.29529938741681344,1257349.0,5231616,0.24033663785721276,1539628.0,5231616,0.29429300621452337,771488.0,5231616,0.14746648072029753
mixed,32,0.95,0.46725040058930295,0.46392402247683556,0.47070597337417824,mixed_interleaved:lfu_decay(alpha=0.95),930611.0,5231616,0.1778821304927579,1071717.0,5231616,0.20485391129624192,790086.0,5231616,0.1510214052407516,1071934.0,5231616,0.20489538987570954,420918.0,5231616,0.08045659314445097
