regime,capacity,seeds,mean_total_cost,std_total_cost,minimum_total_cost,maximum_total_cost
stationary,8,5,2992620.0,0.0,2992620.0,2992620.0
stationary,12,5,2531253.0,533.4168163828358,2530609.0,2532076.0
stationary,16,5,2151512.4,349.218126677296,2151111.0,2152073.0
stationary,24,5,1517027.6,529.489187802735,1516669.0,1517940.0
stationary,32,5,1013634.8,892.2069266711619,1012989.0,1015191.0
abrupt,8,5,5926143.0,0.0,5926143.0,5926143.0
abrupt,12,5,5009519.4,679.4816406644112,5008672.0,5010362.0
abrupt,16,5,4253572.6,506.4388413224247,4252935.0,4254109.0
abrupt,24,5,2990583.8,187.68244457060973,2990442.0,2990839.0
abrupt,32,5,1990601.8,1382.238655225645,1988257.0,1991831.0
repeated,8,5,936595.0,0.0,936595.0,936595.0
repeated,12,5,795443.6,235.82472304658816,795146.0,795752.0
repeated,16,5,678084.6,286.27486791543544,677771.0,678429.0
repeated,24,5,478829.2,142.30495423561334,478646.0,479031.0
repeated,32,5,319913.6,448.8533167973698,319300.0,320336.0
mixed,8,5,2994367.0,0.0,2994367.0,2994367.0
mixed,12,5,2533379.4,190.9222354782177,2533060.0,2533531.0
mixed,16,5,2154736.8,267.32134220821206,2154497.0,2155174.0
mixed,24,5,1522654.4,1020.8542011472549,1521516.0,1524065.0
mixed,32,5,1023512.4,1133.8515334910476,1021694.0,1024495.0
