regime,capacity,workloads,sequences,unique_source_sequences,best_simple_policy_by_workload,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect
stationary,8,4,320,320,stationary_coding:lru;stationary_general:lru;stationary_math:lru;stationary_reasoning:lru,2992620.0,2992620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,12,4,320,320,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),2305638.0,1896388.0,409250.0,0.17749967687902438,0.17500820867565609,0.18017068924232968,399323.375,417676.575,1278.90625,1307.0,4.477258373245234
stationary,16,4,320,320,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),1872290.0,1375283.0,497007.0,0.26545406961528395,0.26193536322306665,0.26896318094695104,484758.45,510451.225,1553.146875,1566.5,3.7915238310540937
stationary,24,4,320,320,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),1230577.0,768001.0,462576.0,0.37590171114851,0.37133302883456554,0.37983849309538725,447025.8,476495.125,1445.55,1437.5,3.103447623395769
stationary,32,4,320,320,stationary_coding:lfu_decay(alpha=0.95);stationary_general:lfu_decay(alpha=0.95);stationary_math:lfu_decay(alpha=0.95);stationary_reasoning:lfu_decay(alpha=0.95),763662.0,416358.0,347304.0,0.45478758927378865,0.45084580283249726,0.4584858149066172,334076.9,359969.2,1085.325,1078.5,2.600969724817888
abrupt,8,4,640,320,coding_to_general:lru;general_to_coding:lru;general_to_math:lru;math_to_reasoning:lru,5926143.0,5926143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt,12,4,640,320,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),4552306.0,3752707.0,799599.0,0.17564702372819402,0.17292870090142357,0.1784794668304815,777015.825,821269.675,1249.3734375,1286.0,4.228762254877406
abrupt,16,4,640,320,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),3693108.0,2715747.0,977361.0,0.2646445757881979,0.26008184876847174,0.2685310190542675,943375.0,1007608.325,1527.1265625,1540.0,3.53946186211691
abrupt,24,4,640,320,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),2424479.0,1511098.0,913381.0,0.3767328980783088,0.37136199742425097,0.3823026649431745,877441.175,948951.825,1427.1578125,1395.0,2.8892276803723558
abrupt,32,4,640,320,coding_to_general:lfu_decay(alpha=0.95);general_to_coding:lfu_decay(alpha=0.95);general_to_math:lfu_decay(alpha=0.95);math_to_reasoning:lfu_decay(alpha=0.95),1502762.0,816437.0,686325.0,0.45670904640921184,0.45205320668054677,0.46109010446720883,656792.55,719358.7999999999,1072.3828125,1070.0,2.428981463897541
repeated,8,1,100,100,repeated_domain_cycle:lru,936595.0,936595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated,12,1,100,100,repeated_domain_cycle:lfu_decay(alpha=0.95),727303.0,598832.0,128471.0,0.17664027234866347,0.17174060596075777,0.18179421177639443,122488.7,133999.25,1284.71,1367.5,3.907828621406399
repeated,16,1,100,100,repeated_domain_cycle:lfu_decay(alpha=0.95),592679.0,436094.0,156585.0,0.2641986640323008,0.2569309906641216,0.27130333437746,148551.575,164927.9,1565.85,1633.5,3.296659461494723
repeated,24,1,100,100,repeated_domain_cycle:lfu_decay(alpha=0.95),390600.0,244364.0,146236.0,0.3743881208397337,0.3656626027294112,0.3829982022863512,136676.225,155605.9,1462.36,1531.5,2.6837542847645364
repeated,32,1,100,100,repeated_domain_cycle:lfu_decay(alpha=0.95),243124.0,132133.0,110991.0,0.4565201296457775,0.4479841181213885,0.4640838499258343,103529.9,118969.125,1109.91,1123.0,2.3356063391525463
mixed,8,1,320,320,mixed_interleaved:lru,2994367.0,2994367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,12,1,320,320,mixed_interleaved:lfu_decay(alpha=0.95),2322183.0,1898544.0,423639.0,0.18243135876888256,0.1798297619918365,0.18507969671396712,414935.875,432464.8,1323.871875,1361.5,4.614998348885249
mixed,16,1,320,320,mixed_interleaved:lfu_decay(alpha=0.95),1894325.0,1377663.0,516662.0,0.27274200572763385,0.26909503880022695,0.27642888109825303,503619.025,530145.225,1614.56875,1633.5,3.9371726919018863
mixed,24,1,320,320,mixed_interleaved:lfu_decay(alpha=0.95),1257349.0,771488.0,485861.0,0.3864169773070166,0.382192923391766,0.3903862037685817,471826.275,500123.15,1518.315625,1500.0,3.230765716879398
mixed,32,1,320,320,mixed_interleaved:lfu_decay(alpha=0.95),790086.0,420918.0,369168.0,0.46725040058930295,0.46392402247683556,0.47070597337417824,356877.95,382140.575,1153.65,1149.0,2.70527261525307
