workload,regime,sequences,domains,events,normalized_frequency_entropy_mean,normalized_frequency_entropy_min,top_10_traffic_share_mean,top_20_traffic_share_mean,gini_mean,consecutive_jaccard_mean,activity_lag1_autocorrelation_mean,reuse_distance_mean_events,reuse_distance_median_events,reuse_within_10_events,reuse_within_100_events,adjacent_segment_js_mean,adjacent_segment_js_max,pairwise_domain_js_mean,pairwise_domain_js_max
stationary_general,stationary,80,general,163840,0.9682974372962313,0.9477789764782006,0.298114013671875,0.5017097473144532,0.27804980278015134,0.31895533374071317,0.3517319981024933,7.90545210491595,2.0,0.8379601067728695,0.9884240312255669,,,,
stationary_coding,stationary,80,coding,163840,0.8413375754038259,0.8017273063916389,0.5530487060546874,0.7612350463867188,0.5958530187606812,0.33469890978680894,0.3980203493644748,7.613372548031515,2.0,0.8609206749875736,0.9898458669952883,,,,
stationary_math,stationary,80,math,162432,0.9148770238577433,0.8600292556864835,0.4272434003152088,0.6295172749211978,0.43926963475485126,0.29213828031555344,0.33508750017591504,7.880598382819906,2.0,0.8344697030959626,0.9899455728558963,,,,
stationary_reasoning,stationary,80,reasoning,163840,0.9254837807018148,0.8893501652947609,0.40227584838867186,0.6137237548828125,0.42109444141387936,0.268258145799898,0.30027956831721847,7.926220283180219,3.0,0.8140224907154027,0.9943391443510555,,,,
general_to_coding,abrupt,160,general+coding,327680,0.9380812379800567,0.9150790448820091,0.39115486145019535,0.5903087615966797,0.3821558356285095,0.3268151289899177,0.3748587403123758,7.846457966979289,2.0,0.8492010428878468,0.9889857182981634,0.1995823897801685,0.26494784919123887,0.1995823897801685,0.26494784919123887
coding_to_general,abrupt,160,coding+general,327680,0.9380812379800567,0.9150790448820091,0.39115486145019535,0.5903087615966797,0.3821558356285095,0.3268127903125951,0.3748543804454738,7.844327007620164,2.0,0.8491602096766315,0.9890223537026183,0.1995823897801685,0.26494784919123887,0.1995823897801685,0.26494784919123887
general_to_math,abrupt,160,general+math,326272,0.9583684391420799,0.9281394044987682,0.3363344081012162,0.5298133152706944,0.3122356978992987,0.3055959627314636,0.3434340780596481,7.95560166674843,2.0,0.8359708441669937,0.9890067730818289,0.10000685033187033,0.16436335035120744,0.10000685033187033,0.16436335035120744
math_to_reasoning,abrupt,160,math+reasoning,326272,0.9323234472965128,0.8877473869624959,0.389271834542958,0.5979240480335425,0.39789873125413766,0.28014221548317475,0.31760291655282086,7.936907087053571,2.0,0.8239818914344584,0.9920771193092621,0.07270818159980846,0.10521680133204644,0.07270818159980846,0.10521680133204644
repeated_domain_cycle,repeated,100,general+coding+math+reasoning,204800,0.9575679700897826,0.9316837886560458,0.3435919189453125,0.5404345703125,0.316221981048584,0.30632534477268436,0.3467214235487148,7.940380218105066,2.0,0.8364877706769857,0.9896859365228268,0.1317072503214241,0.2636906356074006,0.13697366084494747,0.2781306487508314
mixed_interleaved,mixed,320,reasoning+coding+general+math,653952,0.94757409737195,0.9172227529167953,0.3683141117390879,0.568935296474359,0.35031387170809175,0.30326060195068777,0.3458864039119599,7.983980207211727,2.0,0.8355493986149177,0.9898847013875294,,,0.13422211004276288,0.26494784919123887
