workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences
coding_to_general,abrupt,8,lru,1433992.0,1433992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
coding_to_general,abrupt,12,lfu_decay(alpha=0.95),1069157.0,877841.0,191316.0,0.17894097873371265,0.1749168123457721,0.182780381737429,184238.075,198072.025,1195.725,1225.5,4.2231543408235925,160
coding_to_general,abrupt,16,lfu_decay(alpha=0.95),850900.0,620099.0,230801.0,0.27124338935245035,0.265606301981977,0.2765993050928458,221147.95,240547.625,1442.50625,1411.0,3.370953078366028,160
coding_to_general,abrupt,24,lfu_decay(alpha=0.95),545108.0,334892.0,210216.0,0.38564101058872735,0.37951467773478714,0.39237559096635616,199382.95,220894.75,1313.85,1209.5,2.5849573463606683,160
coding_to_general,abrupt,32,lfu_decay(alpha=0.95),334559.0,179823.0,154736.0,0.462507360435678,0.4570230657136909,0.4682589539904697,144815.95,164286.15,967.1,839.5,2.085587098667051,160
general_to_coding,abrupt,8,lru,1433982.0,1433982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
general_to_coding,abrupt,12,lfu_decay(alpha=0.95),1069228.0,877829.0,191399.0,0.17900672260733913,0.17474472182640316,0.18298561330489058,184745.175,198049.725,1196.24375,1227.5,4.224981597669435,160
general_to_coding,abrupt,16,lfu_decay(alpha=0.95),850865.0,620077.0,230788.0,0.27123926827405054,0.26573613663224266,0.2769053748185595,220794.525,240148.3,1442.425,1417.5,3.367393814444452,160
general_to_coding,abrupt,24,lfu_decay(alpha=0.95),545013.0,334829.0,210184.0,0.38564951661703484,0.37852049130508425,0.3922611670237915,199122.175,221216.3,1313.65,1209.5,2.585318748954744,160
general_to_coding,abrupt,32,lfu_decay(alpha=0.95),334386.0,179764.0,154622.0,0.46240572272762615,0.4558193661466236,0.4686319370974391,144984.3,163548.65,966.3875,839.0,2.089669704150551,160
general_to_math,abrupt,8,lru,1499588.0,1499588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
general_to_math,abrupt,12,lfu_decay(alpha=0.95),1177459.0,978683.0,198776.0,0.1688177677524228,0.16482573950838028,0.1724834432974228,190993.175,206316.4,1242.35,1302.0,3.8888558993159763,160
general_to_math,abrupt,16,lfu_decay(alpha=0.95),969868.0,720684.0,249184.0,0.25692568473235533,0.2511478000548902,0.26234639397180887,237788.4,259366.825,1557.4,1650.5,3.3323980197964396,160
general_to_math,abrupt,24,lfu_decay(alpha=0.95),648903.0,408761.0,240142.0,0.3700738014772624,0.36298934020031315,0.3769947076388147,226610.25,252236.95,1500.8875,1566.5,2.8998941483078795,160
general_to_math,abrupt,32,lfu_decay(alpha=0.95),404859.0,221068.0,183791.0,0.45396298464403656,0.44743421815718537,0.4609046743606829,171892.25,194562.65,1148.69375,1201.5,2.5595612107300862,160
math_to_reasoning,abrupt,8,lru,1558581.0,1558581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
math_to_reasoning,abrupt,12,lfu_decay(alpha=0.95),1236462.0,1018354.0,218108.0,0.17639684842720602,0.17310285637223188,0.1798289609958003,212272.55,224140.725,1363.175,1400.0,5.167320244411077,160
math_to_reasoning,abrupt,16,lfu_decay(alpha=0.95),1021475.0,754887.0,266588.0,0.26098338187425046,0.25662111560774226,0.26591436335848995,259065.125,274845.075,1666.175,1721.5,4.6514421590670185,160
math_to_reasoning,abrupt,24,lfu_decay(alpha=0.95),685455.0,432616.0,252839.0,0.36886301799534615,0.3629703157042497,0.37529036703483526,243913.275,261003.025,1580.24375,1584.0,4.204659995357709,160
math_to_reasoning,abrupt,32,lfu_decay(alpha=0.95),428958.0,235782.0,193176.0,0.4503377953086316,0.44533321312012253,0.4554135106777954,186313.675,200545.82499999998,1207.35,1226.0,3.701416123002935,160
mixed_interleaved,mixed,8,lru,2994367.0,2994367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320
mixed_interleaved,mixed,12,lfu_decay(alpha=0.95),2322183.0,1898544.0,423639.0,0.18243135876888256,0.17983541573677062,0.18502442448296968,414625.6,432773.325,1323.871875,1361.5,4.614998348885249,320
mixed_interleaved,mixed,16,lfu_decay(alpha=0.95),1894325.0,1377663.0,516662.0,0.27274200572763385,0.2691071107408147,0.2761934519127029,503541.075,527978.075,1614.56875,1633.5,3.9371726919018863,320
mixed_interleaved,mixed,24,lfu_decay(alpha=0.95),1257349.0,771488.0,485861.0,0.3864169773070166,0.38237526082552925,0.3908071511457658,471982.3,500583.475,1518.315625,1500.0,3.230765716879398,320
