regime,capacity,lfu_decay_alpha,oracle_headroom,oracle_headroom_ci_low,oracle_headroom_ci_high,best_simple_policy_by_workload,lru,lru_requests,lru_normalized,lfu,lfu_requests,lfu_normalized,lfu_decay,lfu_decay_requests,lfu_decay_normalized,static_hotset,static_hotset_requests,static_hotset_normalized,oracle,oracle_requests,oracle_normalized
stationary,8,0.9,0.0,0.0,0.0,stationary_coding:lru;stationary_general:lru;stationary_math:lru;stationary_reasoning:lru,75326.0,131072,0.5746917724609375,75326.0,131072,0.5746917724609375,75326.0,131072,0.5746917724609375,75326.0,131072,0.5746917724609375,75326.0,131072,0.5746917724609375
stationary,12,0.9,0.18796081203918796,0.17849689286900317,0.195239963588626,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu_decay(alpha=0.90);stationary_reasoning:lfu,62617.0,131072,0.47772979736328125,60058.0,131072,0.4582061767578125,59740.0,131072,0.455780029296875,62743.0,131072,0.47869110107421875,48240.0,131072,0.3680419921875
stationary,16,0.9,0.2760319140275177,0.2599443397568154,0.2885555240340151,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,52838.0,131072,0.4031219482421875,49915.0,131072,0.38082122802734375,49809.0,131072,0.38001251220703125,53659.0,131072,0.40938568115234375,35570.0,131072,0.2713775634765625
stationary,24,0.9,0.3716120669337733,0.3470743930259437,0.3942157501556875,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,37341.0,131072,0.28488922119140625,34690.0,131072,0.2646636962890625,35295.0,131072,0.26927947998046875,39584.0,131072,0.302001953125,21330.0,131072,0.1627349853515625
stationary,32,0.9,0.41547063485075286,0.37644643071847333,0.4553034773877929,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,25879.0,131072,0.19744110107421875,23367.0,131072,0.17827606201171875,24068.0,131072,0.183624267578125,27608.0,131072,0.21063232421875,13277.0,131072,0.10129547119140625
abrupt,8,0.9,0.0,0.0,0.0,coding_to_general:lru;general_to_coding:lru;general_to_math:lru;math_to_reasoning:lru,150199.0,262144,0.5729637145996094,150199.0,262144,0.5729637145996094,150199.0,262144,0.5729637145996094,150199.0,262144,0.5729637145996094,150199.0,262144,0.5729637145996094
abrupt,12,0.9,0.19631044756021612,0.1890781981641588,0.2036775776388342,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu_decay(alpha=0.90),124154.0,262144,0.47360992431640625,123946.0,262144,0.47281646728515625,118822.0,262144,0.45326995849609375,126146.0,262144,0.48120880126953125,95496.0,262144,0.364288330078125
abrupt,16,0.9,0.29437242549067116,0.28173646329737995,0.30522904545501717,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu_decay(alpha=0.90),104630.0,262144,0.39913177490234375,105576.0,262144,0.402740478515625,99048.0,262144,0.377838134765625,108979.0,262144,0.4157218933105469,69891.0,262144,0.2666130065917969
abrupt,24,0.9,0.41200831124167087,0.3932353158034943,0.4264658827287655,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu,73940.0,262144,0.2820587158203125,76292.0,262144,0.2910308837890625,69874.0,262144,0.26654815673828125,81537.0,262144,0.3110389709472656,41033.0,262144,0.15652847290039062
abrupt,32,0.9,0.47612853700663155,0.4456481021746261,0.5019937471713809,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu,50241.0,262144,0.19165420532226562,53515.0,262144,0.20414352416992188,47196.0,262144,0.1800384521484375,57887.0,262144,0.22082138061523438,24568.0,262144,0.093719482421875
repeated,8,0.9,0.0,0.0,0.0,repeated_domain_cycle:lru,23949.0,40960,0.5846923828125,23949.0,40960,0.5846923828125,23949.0,40960,0.5846923828125,23949.0,40960,0.5846923828125,23949.0,40960,0.5846923828125
repeated,12,0.9,0.19416730621642364,0.18185746872219105,0.20653029322591,repeated_domain_cycle:lfu_decay(alpha=0.90),20381.0,40960,0.4975830078125,20657.0,40960,0.5043212890625,19545.0,40960,0.4771728515625,20453.0,40960,0.4993408203125,15750.0,40960,0.384521484375
repeated,16,0.9,0.2940646401537907,0.2711351638627503,0.3157284218242103,repeated_domain_cycle:lfu_decay(alpha=0.90),17444.0,40960,0.42587890625,18215.0,40960,0.4447021484375,16646.0,40960,0.406396484375,18028.0,40960,0.44013671875,11751.0,40960,0.2868896484375
repeated,24,0.9,0.40839346437754004,0.3708658230110789,0.4403924979421944,repeated_domain_cycle:lfu_decay(alpha=0.90),12662.0,40960,0.309130859375,14244.0,40960,0.34775390625,12057.0,40960,0.2943603515625,13815.0,40960,0.3372802734375,7133.0,40960,0.1741455078125
repeated,32,0.9,0.47554411420547626,0.4087005019520357,0.520964514222823,repeated_domain_cycle:lfu_decay(alpha=0.90),8771.0,40960,0.2141357421875,10574.0,40960,0.258154296875,8546.0,40960,0.208642578125,10173.0,40960,0.2483642578125,4482.0,40960,0.109423828125
mixed,8,0.9,0.0,0.0,0.0,mixed_interleaved:lru,75409.0,131072,0.5753250122070312,75409.0,131072,0.5753250122070312,75409.0,131072,0.5753250122070312,75409.0,131072,0.5753250122070312,75409.0,131072,0.5753250122070312
mixed,12,0.9,0.2068126120495403,0.1996131711236687,0.21377982205637971,mixed_interleaved:lfu_decay(alpha=0.90),62733.0,131072,0.47861480712890625,62731.0,131072,0.47859954833984375,60799.0,131072,0.46385955810546875,62814.0,131072,0.4792327880859375,48225.0,131072,0.36792755126953125
mixed,16,0.9,0.3054262352803098,0.29524738431137454,0.3151174195007203,mixed_interleaved:lfu_decay(alpha=0.90),52999.0,131072,0.40435028076171875,53612.0,131072,0.409027099609375,51122.0,131072,0.3900299072265625,53928.0,131072,0.41143798828125,35508.0,131072,0.270904541015625
mixed,24,0.9,0.41858815182688897,0.40196025285708165,0.43189723177086387,mixed_interleaved:lfu_decay(alpha=0.90),37521.0,131072,0.28626251220703125,39422.0,131072,0.3007659912109375,36647.0,131072,0.27959442138671875,39987.0,131072,0.30507659912109375,21307.0,131072,0.16255950927734375
mixed,32,0.9,0.4878556013341181,0.4596650333747808,0.5063893457760593,mixed_interleaved:lfu_decay(alpha=0.90),26495.0,131072,0.20214080810546875,27928.0,131072,0.21307373046875,25485.0,131072,0.19443511962890625,28334.0,131072,0.2161712646484375,13052.0,131072,0.099578857421875
