regime,capacity,seeds,mean_total_cost,std_total_cost,minimum_total_cost,maximum_total_cost
stationary,8,5,75326.0,0.0,75326.0,75326.0
stationary,12,5,64073.2,70.54218595989212,63966.0,64149.0
stationary,16,5,54908.6,90.52789625303352,54831.0,55059.0
stationary,24,5,40152.2,130.2946660458516,39935.0,40259.0
stationary,32,5,28586.6,84.76909814313233,28460.0,28650.0
abrupt,8,5,150199.0,0.0,150199.0,150199.0
abrupt,12,5,127338.2,107.93840836328837,127207.0,127469.0
abrupt,16,5,109063.8,182.17217131054895,108776.0,109207.0
abrupt,24,5,79249.0,180.4619073378091,78956.0,79421.0
abrupt,32,5,56135.2,124.14185434413326,55989.0,56293.0
repeated,8,5,23949.0,0.0,23949.0,23949.0
repeated,12,5,20687.4,17.994443586840912,20660.0,20706.0
repeated,16,5,17964.0,71.449282711585,17873.0,18043.0
repeated,24,5,13437.0,78.84478422825444,13301.0,13498.0
repeated,32,5,9836.8,23.101947969814148,9809.0,9866.0
mixed,8,5,75409.0,0.0,75409.0,75409.0
mixed,12,5,64103.0,61.54673021371647,64022.0,64188.0
mixed,16,5,55178.8,75.94866687440933,55107.0,55267.0
mixed,24,5,40995.0,116.76900273617139,40922.0,41199.0
mixed,32,5,29753.0,157.797338380595,29614.0,30011.0
