regime,capacity,workloads,sequences,unique_source_sequences,best_simple_policy_by_workload,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect
stationary,8,4,32,32,stationary_coding:lru;stationary_general:lru;stationary_math:lru;stationary_reasoning:lru,75326.0,75326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,12,4,32,32,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu_decay(alpha=0.90);stationary_reasoning:lfu,59406.0,48240.0,11166.0,0.18796081203918796,0.17849689286900317,0.195239963588626,10580.0,11579.05,348.9375,359.5,3.749423834152132
stationary,16,4,32,32,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,49132.0,35570.0,13562.0,0.2760319140275177,0.2599443397568154,0.2885555240340151,12710.825,14176.025,423.8125,467.5,2.9605546704709838
stationary,24,4,32,32,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,33944.0,21330.0,12614.0,0.3716120669337733,0.3470743930259437,0.3942157501556875,11610.95,13537.05,394.1875,443.5,2.3646091328833965
stationary,32,4,32,32,stationary_coding:lfu;stationary_general:lfu_decay(alpha=0.90);stationary_math:lfu;stationary_reasoning:lfu,22714.0,13277.0,9437.0,0.41547063485075286,0.37644643071847333,0.4553034773877929,8562.975,10207.05,294.90625,310.0,2.0118889281704657
abrupt,8,4,64,32,coding_to_general:lru;general_to_coding:lru;general_to_math:lru;math_to_reasoning:lru,150199.0,150199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt,12,4,64,32,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu_decay(alpha=0.90),118822.0,95496.0,23326.0,0.19631044756021612,0.1890781981641588,0.2036775776388342,22474.7,24312.375,364.46875,368.5,4.753478515049113
abrupt,16,4,64,32,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu_decay(alpha=0.90),99048.0,69891.0,29157.0,0.29437242549067116,0.28173646329737995,0.30522904545501717,27853.95,30532.225,455.578125,476.0,3.823614811450555
abrupt,24,4,64,32,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu,69785.0,41033.0,28752.0,0.41200831124167087,0.3932353158034943,0.4264658827287655,26988.95,30233.175,449.25,474.5,2.957272814566905
abrupt,32,4,64,32,coding_to_general:lfu_decay(alpha=0.90);general_to_coding:lfu_decay(alpha=0.90);general_to_math:lfu_decay(alpha=0.90);math_to_reasoning:lfu,46897.0,24568.0,22329.0,0.47612853700663155,0.4456481021746261,0.5019937471713809,20534.95,23980.35,348.890625,361.0,2.436659497132989
repeated,8,1,10,10,repeated_domain_cycle:lru,23949.0,23949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated,12,1,10,10,repeated_domain_cycle:lfu_decay(alpha=0.90),19545.0,15750.0,3795.0,0.19416730621642364,0.18185746872219105,0.20653029322591,3615.9,3973.05,379.5,405.5,5.803803255005648
repeated,16,1,10,10,repeated_domain_cycle:lfu_decay(alpha=0.90),16646.0,11751.0,4895.0,0.2940646401537907,0.2711351638627503,0.3157284218242103,4609.0,5153.075,489.5,518.5,4.905353044699851
repeated,24,1,10,10,repeated_domain_cycle:lfu_decay(alpha=0.90),12057.0,7133.0,4924.0,0.40839346437754004,0.3708658230110789,0.4403924979421944,4616.0,5183.0,492.4,541.0,4.374697408343566
repeated,32,1,10,10,repeated_domain_cycle:lfu_decay(alpha=0.90),8546.0,4482.0,4064.0,0.47554411420547626,0.4087005019520357,0.520964514222823,3751.0,4371.075,406.4,433.5,3.7093854312475405
mixed,8,1,32,32,mixed_interleaved:lru,75409.0,75409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,12,1,32,32,mixed_interleaved:lfu_decay(alpha=0.90),60799.0,48225.0,12574.0,0.2068126120495403,0.1996131711236687,0.21377982205637971,12033.95,13077.0,392.9375,382.5,5.710148445151165
mixed,16,1,32,32,mixed_interleaved:lfu_decay(alpha=0.90),51122.0,35508.0,15614.0,0.3054262352803098,0.29524738431137454,0.3151174195007203,14883.7,16329.025,487.9375,487.0,4.608214929114868
mixed,24,1,32,32,mixed_interleaved:lfu_decay(alpha=0.90),36647.0,21307.0,15340.0,0.41858815182688897,0.40196025285708165,0.43189723177086387,14415.95,16289.15,479.375,484.0,3.8340561962652235
mixed,32,1,32,32,mixed_interleaved:lfu_decay(alpha=0.90),25485.0,13052.0,12433.0,0.4878556013341181,0.4596650333747808,0.5063893457760593,11605.975,13288.025,388.53125,393.0,3.2126837385515095
