workload,regime,sequences,domains,events,normalized_frequency_entropy_mean,normalized_frequency_entropy_min,top_10_traffic_share_mean,top_20_traffic_share_mean,gini_mean,consecutive_jaccard_mean,activity_lag1_autocorrelation_mean,reuse_distance_mean_events,reuse_distance_median_events,reuse_within_10_events,reuse_within_100_events,adjacent_segment_js_mean,adjacent_segment_js_max,pairwise_domain_js_mean,pairwise_domain_js_max
stationary_general,stationary,8,general,4096,0.9551481663951406,0.9222610058892782,0.321685791015625,0.5279541015625,0.3240242004394531,0.2796718477600831,0.31235994397759104,6.6766512331097045,2.0,0.8198998393650194,0.998582632523859,,,,
stationary_coding,stationary,8,coding,4096,0.7893053642638729,0.7336068841470027,0.6280517578125,0.8311767578125,0.6724882125854492,0.36049358049358043,0.4311624649859943,5.071428571428571,1.0,0.8848875806350598,0.9979958664746039,,,,
stationary_math,stationary,8,math,4096,0.8947480980019384,0.8504695880354287,0.446563720703125,0.665435791015625,0.4892091751098633,0.2917789835436894,0.33375350140056015,6.364551863041289,2.0,0.8474320241691843,0.9971991440080564,,,,
stationary_reasoning,stationary,8,reasoning,4096,0.9207197662316051,0.88696990135994,0.40283203125,0.6229248046875,0.4367399215698242,0.273502390855332,0.30318627450980384,6.893953224841827,3.0,0.8005917718530643,0.997670685259215,,,,
general_to_coding,abrupt,16,general+coding,8192,0.9325485683366043,0.9085875879428379,0.4023590087890625,0.6042022705078125,0.39971208572387695,0.3199689932811264,0.3716627061783617,6.5334811048764605,2.0,0.8446538735778281,0.9958458629134761,0.361930818042585,0.5040060985902111,0.361930818042585,0.5040060985902111
coding_to_general,abrupt,16,coding+general,8192,0.9325485683366043,0.9085875879428379,0.4023590087890625,0.6042022705078125,0.39971208572387695,0.31949010980322134,0.3708240145373217,6.418095297144806,2.0,0.8451033884118175,0.9966053879778033,0.361930818042585,0.5040060985902111,0.361930818042585,0.5040060985902111
general_to_math,abrupt,16,general+math,8192,0.9505720936677872,0.9226904908648598,0.34722900390625,0.5471343994140625,0.34097814559936523,0.2857618327530265,0.3231409001956947,7.209337652876164,2.0,0.8244694867701083,0.995938803031947,0.15374376881548596,0.23594950898767555,0.15374376881548596,0.23594950898767555
math_to_reasoning,abrupt,16,math+reasoning,8192,0.9260727604369106,0.8897631788352496,0.3937835693359375,0.6086578369140625,0.41879892349243164,0.2829829498616191,0.3189299692479731,7.20121204606395,2.0,0.8161781800709869,0.9956446938111254,0.11003296992083297,0.15699433955583647,0.11003296992083297,0.15699433955583647
repeated_domain_cycle,repeated,10,general+coding+math+reasoning,5120,0.9593948490250301,0.933163605781156,0.3259521484375,0.5255371093750001,0.30899200439453123,0.29450193223704196,0.33326802507836983,7.187620502291108,2.0,0.8277787515336655,0.9939905350927711,0.29387912092707313,0.5487422722948418,0.2799578478655731,0.5791400880141298
mixed_interleaved,mixed,32,general+reasoning+math+coding,16384,0.9474024396420446,0.9197545143573439,0.36660003662109375,0.5688552856445312,0.3528456687927246,0.2997673921061018,0.34296013126658287,7.676050381397638,2.0,0.8174827755905512,0.9937407726377953,,,0.21981988738368194,0.5040060985902111
