workload,regime,capacity,stage1_cost,race_cost,regression_ratio,flagged
stationary_general,stationary,8,743541.0,743541.0,1.0,False
stationary_general,stationary,12,589958.0,590966.0,1.0017085962051535,False
stationary_general,stationary,16,484550.0,488497.0,1.0081457021979157,False
stationary_general,stationary,24,328050.0,327754.0,0.9990976985215668,False
stationary_general,stationary,32,213347.0,207893.0,0.9744360126929369,False
stationary_coding,stationary,8,690459.0,690459.0,1.0,False
stationary_coding,stationary,12,468087.0,471785.0,1.0079002407672077,False
stationary_coding,stationary,16,349939.0,353652.0,1.0106104206733173,False
stationary_coding,stationary,24,202082.0,206975.0,1.0242129432606566,False
stationary_coding,stationary,32,113003.0,116974.0,1.0351406599824784,True
stationary_math,stationary,8,756075.0,756075.0,1.0,False
stationary_math,stationary,12,575892.0,584073.0,1.0142057885853597,False
stationary_math,stationary,16,464644.0,473283.0,1.0185927290570846,False
stationary_math,stationary,24,301769.0,309654.0,1.0261292578097816,False
stationary_math,stationary,32,182140.0,187279.0,1.0282145602283956,False
stationary_reasoning,stationary,8,802545.0,802545.0,1.0,False
stationary_reasoning,stationary,12,630784.0,632821.0,1.0032293146306819,False
stationary_reasoning,stationary,16,515535.0,520647.0,1.0099159125956532,False
stationary_reasoning,stationary,24,343417.0,357081.0,1.0397883622534703,True
stationary_reasoning,stationary,32,219911.0,229890.0,1.0453774481494786,True
general_to_coding,abrupt,8,1433982.0,1433982.0,1.0,False
general_to_coding,abrupt,12,1058094.0,1069172.0,1.0104697692265527,False
general_to_coding,abrupt,16,834522.0,849347.0,1.0177646604882795,False
general_to_coding,abrupt,24,530035.0,538558.0,1.0160800701840444,False
general_to_coding,abrupt,32,326131.0,327714.0,1.004853877736247,False
coding_to_general,abrupt,8,1433992.0,1433992.0,1.0,False
coding_to_general,abrupt,12,1058136.0,1063178.0,1.0047649829511518,False
coding_to_general,abrupt,16,834753.0,842591.0,1.0093896038708456,False
coding_to_general,abrupt,24,530371.0,535567.0,1.0097969157438849,False
coding_to_general,abrupt,32,326523.0,325491.0,0.996839426319126,False
general_to_math,abrupt,8,1499588.0,1499588.0,1.0,False
general_to_math,abrupt,12,1165865.0,1177402.0,1.009895656872794,False
general_to_math,abrupt,16,949182.0,969363.0,1.0212614651352427,False
general_to_math,abrupt,24,629781.0,640414.0,1.0168836468550178,False
general_to_math,abrupt,32,395406.0,397917.0,1.0063504347430237,False
math_to_reasoning,abrupt,8,1558581.0,1558581.0,1.0,False
math_to_reasoning,abrupt,12,1206678.0,1226055.0,1.0160581364705414,False
math_to_reasoning,abrupt,16,980150.0,996351.0,1.016529102688364,False
math_to_reasoning,abrupt,24,645043.0,662927.0,1.0277252834307171,False
math_to_reasoning,abrupt,32,401800.0,414090.0,1.0305873568939772,True
repeated_domain_cycle,repeated,8,936595.0,936595.0,1.0,False
repeated_domain_cycle,repeated,12,716788.0,726356.0,1.013348437752864,False
repeated_domain_cycle,repeated,16,577674.0,587541.0,1.0170805679327788,False
repeated_domain_cycle,repeated,24,377218.0,382562.0,1.014166874327312,False
repeated_domain_cycle,repeated,32,235345.0,236395.0,1.0044615351930146,False
mixed_interleaved,mixed,8,2994367.0,2994367.0,1.0,False
mixed_interleaved,mixed,12,2277997.0,2309796.0,1.013959193098147,False
mixed_interleaved,mixed,16,1831903.0,1864665.0,1.0178841346949048,False
mixed_interleaved,mixed,24,1193292.0,1219981.0,1.022365858482249,False
mixed_interleaved,mixed,32,745919.0,759451.0,1.0181413799621675,False
