scope,capacity,stage0_simple_cost,stage1_cost,race_cost,oracle_cost,improvement_vs_stage1,original_oracle_gap_closed,stage1_residual_recovered,regression_ratio
stationary,8,2992620.0,2992620.0,2992620.0,2992620.0,0.0,,,1.0
stationary,12,2305638.0,2264721.0,2279645.0,1896388.0,-0.0065897741929359065,0.06351374465485644,-0.04051768372641061,1.006589774192936
stationary,16,1872290.0,1814668.0,1836079.0,1375283.0,-0.01179885246226858,0.07285812875874988,-0.04872947415137067,1.0117988524622685
stationary,24,1230577.0,1175318.0,1201464.0,768001.0,-0.022245894302648304,0.06293668499878939,-0.06419078997439341,1.0222458943026482
stationary,32,763662.0,728401.0,742036.0,416358.0,-0.018719084680004557,0.06226821459009974,-0.043695900885454886,1.0187190846800045
abrupt,8,5926143.0,5926143.0,5926143.0,5926143.0,0.0,,,1.0
abrupt,12,4552306.0,4488773.0,4535807.0,3752707.0,-0.010478141799551904,0.020634092839035566,-0.06389916121652134,1.0104781417995519
abrupt,16,3693108.0,3598607.0,3657652.0,2715747.0,-0.016407737771865615,0.03627728137300342,-0.06687923340053915,1.0164077377718657
abrupt,24,2424479.0,2335230.0,2377466.0,1511098.0,-0.01808644116425363,0.05147140131007761,-0.05124907175064189,1.0180864411642536
abrupt,32,1502762.0,1449860.0,1465212.0,816437.0,-0.010588608555308788,0.054711689068589954,-0.024236568612128074,1.0105886085553089
repeated,8,936595.0,936595.0,936595.0,936595.0,0.0,,,1.0
repeated,12,727303.0,716788.0,726356.0,598832.0,-0.013348437752864166,0.007371313370332604,-0.08111499203092679,1.013348437752864
repeated,16,592679.0,577674.0,587541.0,436094.0,-0.017080567932778696,0.032812849251205416,-0.06969204689927956,1.0170805679327788
repeated,24,390600.0,377218.0,382562.0,244364.0,-0.014166874327312059,0.05496594545802675,-0.040224607463832475,1.014166874327312
repeated,32,243124.0,235345.0,236395.0,132133.0,-0.004461535193014511,0.06062653728680704,-0.010173235670270899,1.0044615351930146
mixed,8,2994367.0,2994367.0,2994367.0,2994367.0,0.0,,,1.0
mixed,12,2322183.0,2277997.0,2309796.0,1898544.0,-0.013959193098147188,0.029239517608152223,-0.08380221002337575,1.013959193098147
mixed,16,1894325.0,1831903.0,1864665.0,1377663.0,-0.017884134694904696,0.05740697012747212,-0.07212486791123635,1.0178841346949048
mixed,24,1257349.0,1193292.0,1219981.0,771488.0,-0.022365858482249104,0.0769108860353064,-0.06327346350437645,1.022365858482249
mixed,32,790086.0,745919.0,759451.0,420918.0,-0.018141379962167473,0.08298389892948468,-0.041636794963707806,1.0181413799621675
