question,comparison,capacity,before_cost,after_cost,relative_change
A_multi_horizon,Stage 1 winner -> RACE_UNIFORM,12,9748279.0,9999390.0,-0.025759521244724325
A_multi_horizon,Stage 1 winner -> RACE_UNIFORM,16,7822852.0,8120618.0,-0.03806361158309016
A_multi_horizon,Stage 1 winner -> RACE_UNIFORM,24,5081058.0,5333296.0,-0.049642810611490756
A_multi_horizon,Stage 1 winner -> RACE_UNIFORM,32,3159525.0,3335492.0,-0.05569413123808167
B_static_weights,RACE_UNIFORM -> RACE_STATIC,12,9999390.0,9919727.0,0.00796678597394441
B_static_weights,RACE_UNIFORM -> RACE_STATIC,16,8120618.0,8005697.0,0.014151755445213653
B_static_weights,RACE_UNIFORM -> RACE_STATIC,24,5333296.0,5230074.0,0.01935426047982336
B_static_weights,RACE_UNIFORM -> RACE_STATIC,32,3335492.0,3233051.0,0.030712410642867678
C_online_adaptation,RACE_STATIC -> RACE_ONLINE,12,9919727.0,9851604.0,0.006867426895921631
C_online_adaptation,RACE_STATIC -> RACE_ONLINE,16,8005697.0,7945937.0,0.007464684211755703
C_online_adaptation,RACE_STATIC -> RACE_ONLINE,24,5230074.0,5181473.0,0.009292602743288145
C_online_adaptation,RACE_STATIC -> RACE_ONLINE,32,3233051.0,3203094.0,0.009265860637521647
D_cost_sensitivity,RACE_ONLINE -> RACE_COST,12,9851604.0,9833069.0,0.0018814195130051918
D_cost_sensitivity,RACE_ONLINE -> RACE_COST,16,7945937.0,7939359.0,0.0008278444694439435
D_cost_sensitivity,RACE_ONLINE -> RACE_COST,24,5181473.0,5245722.0,-0.012399755822330832
D_cost_sensitivity,RACE_ONLINE -> RACE_COST,32,3203094.0,3323031.0,-0.03744410872737422
E_adviser_diversity_uniform,RACE_UNIFORM -> RACE_UNIFORM_EXTENDED,12,9999390.0,9944175.0,0.005521836832046755
E_adviser_diversity_uniform,RACE_UNIFORM -> RACE_UNIFORM_EXTENDED,16,8120618.0,8038921.0,0.010060441212725436
E_adviser_diversity_uniform,RACE_UNIFORM -> RACE_UNIFORM_EXTENDED,24,5333296.0,5254771.0,0.014723540564783954
E_adviser_diversity_uniform,RACE_UNIFORM -> RACE_UNIFORM_EXTENDED,32,3335492.0,3276729.0,0.017617490912884816
F_adviser_diversity_online,RACE_ONLINE -> RACE_ONLINE_EXTENDED,12,9851604.0,9738992.0,0.011430828928974408
F_adviser_diversity_online,RACE_ONLINE -> RACE_ONLINE_EXTENDED,16,7945937.0,7811937.0,0.016863964564531535
F_adviser_diversity_online,RACE_ONLINE -> RACE_ONLINE_EXTENDED,24,5181473.0,5066820.0,0.022127491545357855
F_adviser_diversity_online,RACE_ONLINE -> RACE_ONLINE_EXTENDED,32,3203094.0,3137922.0,0.0203465774029735
G_extended_vs_stage1,Stage 1 winner -> RACE_ONLINE_EXTENDED,12,9748279.0,9738992.0,0.0009526809809198115
G_extended_vs_stage1,Stage 1 winner -> RACE_ONLINE_EXTENDED,16,7822852.0,7811937.0,0.0013952711875413212
G_extended_vs_stage1,Stage 1 winner -> RACE_ONLINE_EXTENDED,24,5081058.0,5066820.0,0.0028021723034848253
G_extended_vs_stage1,Stage 1 winner -> RACE_ONLINE_EXTENDED,32,3159525.0,3137922.0,0.0068374201818311294
H_per_layer_static,RACE_STATIC -> RACE_STATIC_PERLAYER,12,9919727.0,9912736.0,0.0007047572982603252
H_per_layer_static,RACE_STATIC -> RACE_STATIC_PERLAYER,16,8005697.0,7992796.0,0.0016114774266375556
H_per_layer_static,RACE_STATIC -> RACE_STATIC_PERLAYER,24,5230074.0,5222621.0,0.0014250276382322697
H_per_layer_static,RACE_STATIC -> RACE_STATIC_PERLAYER,32,3233051.0,3234006.0,-0.00029538661777992365
I_weight_scope,RACE_ONLINE (per layer) -> RACE_ONLINE_GLOBAL,12,9851604.0,9887855.0,-0.0036797053555948857
I_weight_scope,RACE_ONLINE (per layer) -> RACE_ONLINE_GLOBAL,16,7945937.0,8009648.0,-0.008018060047543796
I_weight_scope,RACE_ONLINE (per layer) -> RACE_ONLINE_GLOBAL,24,5181473.0,5274423.0,-0.017938914281711012
I_weight_scope,RACE_ONLINE (per layer) -> RACE_ONLINE_GLOBAL,32,3203094.0,3302906.0,-0.031161121091045095
