variant,capacity,eviction_events,events_without_eviction,comparable_pairs_capped,comparable_pairs_true,pairwise_ordering_accuracy_capped,pairwise_ordering_accuracy_true,pairwise_concordance_capped,pairwise_concordance_true,oracle_consistent_eviction_rate,oracle_optimal_eviction_rate
RACE_COST,8,0,0,0,0,,,,,,
RACE_COST,12,2676993,143615,61823101,62367301,0.6524819581599441,0.6516277415949104,0.3049674976090776,0.30325902792925674,0.7040149152425875,0.20369421959639042
RACE_COST,16,2538092,282516,128735908,129936898,0.6291202412616688,0.6283552574881386,0.25824306022164684,0.2567130596454659,0.503230379355831,0.12313738036288677
RACE_COST,24,2153915,666693,314510863,318452844,0.6130922066116362,0.6122474557017931,0.22618570196978516,0.22449618385449827,0.2753938758028984,0.08068145678914906
RACE_COST,32,1683135,1137473,499460046,508641970,0.6109392471805443,0.6098182057214036,0.22187940638283069,0.21963730486020208,0.16977247814346444,0.06506964681977381
RACE_COST_EXTENDED,8,0,0,0,0,,,,,,
RACE_COST_EXTENDED,12,2673754,146854,61163197,61651101,0.664991841417315,0.6643352565593273,0.3299862617291425,0.3286730720847078,0.7194932667702414,0.21980369173828257
RACE_COST_EXTENDED,16,2530301,290307,127022145,128062715,0.6430971465644829,0.6424890218827549,0.28619613167486224,0.28497986184774493,0.5366515683311985,0.14220916800017072
RACE_COST_EXTENDED,24,2125445,695163,307869896,311262072,0.6263552737874702,0.6256652962844763,0.2527116754079847,0.251331707671368,0.3162721218380151,0.09844244381764759
RACE_COST_EXTENDED,32,1633640,1186968,482632916,490575229,0.6225369199642404,0.6215904798568621,0.24507457114131528,0.24318168344626678,0.1998114639700301,0.0803506280453466
RACE_ONLINE,8,0,0,0,0,,,,,,
RACE_ONLINE,12,2678247,142361,61851912,62399650,0.6544597036870905,0.6535518468452948,0.3089230334241287,0.30710728155058964,0.7180121923033984,0.2098394957597264
RACE_ONLINE,16,2541357,279251,128415983,129597246,0.6318198296235445,0.6310114645491772,0.2636422973949602,0.2620255332346091,0.5399670333605235,0.1371267397693437
RACE_ONLINE,24,2146990,673618,311524262,315211730,0.6174577985197185,0.6166491694328761,0.2349169483665175,0.2332996748119527,0.3247723557166079,0.09849323937233057
RACE_ONLINE,32,1650597,1170011,487321395,495692512,0.6159656062299501,0.614943585228094,0.23193218954974293,0.22988812999971436,0.21471625115034138,0.08468632864351504
RACE_ONLINE_EXTENDED,8,0,0,0,0,,,,,,
RACE_ONLINE_EXTENDED,12,2673900,146708,61135239,61624132,0.6659874348409761,0.6653087462554442,0.33197746532451483,0.33062006776229363,0.7229825348741539,0.22114850966752683
RACE_ONLINE_EXTENDED,16,2529905,290703,126929215,127967587,0.6439816948367639,0.6433675232150778,0.28796524093871223,0.28673687708144857,0.5424476413145948,0.14408169476719482
RACE_ONLINE_EXTENDED,24,2123823,696785,307381197,310738027,0.6272805619922158,0.626576584075434,0.25456226188275216,0.2531542932338917,0.3250854708702185,0.10153765167812949
RACE_ONLINE_EXTENDED,32,1627933,1192675,480552680,488395717,0.6235573569166236,0.622608914074486,0.2471154543269933,0.2452185612002395,0.20944780897002518,0.08430936654026916
RACE_ONLINE_GLOBAL,8,0,0,0,0,,,,,,
RACE_ONLINE_GLOBAL,12,2679809,140799,62084373,62644351,0.6506474986869885,0.649704480137403,0.30129895746791696,0.29941311372187135,0.7156017462438554,0.2081708062029794
RACE_ONLINE_GLOBAL,16,2543193,277415,129023078,130265723,0.6253727065788959,0.6245159864502499,0.2507479765486688,0.24903455566499794,0.5346495527472748,0.13561062805693472
RACE_ONLINE_GLOBAL,24,2153591,667017,313899853,317904743,0.6077376038146791,0.6068521223667305,0.21547639038180955,0.21370542113769908,0.3121367984914499,0.0938409382282894
RACE_ONLINE_GLOBAL,32,1673093,1147515,495178251,504356230,0.60645384443591,0.6053401333022098,0.21290846882522402,0.21068102811283654,0.20283749917069763,0.07832618987707199
RACE_STATIC,8,0,0,0,0,,,,,,
RACE_STATIC,12,2670957,149651,62279096,62744986,0.6341073736844222,0.6338284942800051,0.26821474736884426,0.2676569885600102,0.7245178413579851,0.16135490013504522
RACE_STATIC,16,2536018,284590,128888948,129836560,0.6197974088515332,0.6195337584421522,0.23959481770306637,0.2390675168843044,0.5163386064294496,0.09363379912918599
RACE_STATIC,24,2161696,658912,314200182,317320448,0.6120341553462245,0.6117079886386647,0.22406831069244892,0.22341597727732945,0.2849767034772697,0.07283170251506224
RACE_STATIC,32,1671634,1148974,494026804,501625833,0.6117861167711054,0.6113336212491274,0.22357223354221079,0.22266724249825467,0.18554061475179376,0.07037724765110066
