variant,capacity,examples_generated,examples_resolved,examples_unresolved_at_stream_end,unresolved_fraction,examples_skipped_no_comparable_pair,applied_updates,average_feedback_delay_same_layer_events,maximum_feedback_delay_same_layer_events,minimum_update_minus_decision_offset,layers_updated,updates_per_layer_min,updates_per_layer_max
RACE_COST,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_COST,12,2676993,2672052,4941,0.0018457276503898218,3548,2668504,32.0,32,32,16,162740,172350
RACE_COST,16,2538092,2533410,4682,0.0018446927849739094,680,2532730,32.0,32,32,16,151162,170548
RACE_COST,24,2153915,2149949,3966,0.0018412982870726097,360,2149589,32.0,32,32,16,116882,162281
RACE_COST,32,1683135,1680181,2954,0.0017550582692416234,219,1679962,32.0,32,32,16,77644,145605
RACE_COST_EXTENDED,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_COST_EXTENDED,12,2673754,2668808,4946,0.0018498336047370102,3284,2665524,32.0,32,32,16,162276,172463
RACE_COST_EXTENDED,16,2530301,2525655,4646,0.0018361451858889515,571,2525084,32.0,32,32,16,150818,170268
RACE_COST_EXTENDED,24,2125445,2121549,3896,0.001833027907097102,325,2121224,32.0,32,32,16,115853,161571
RACE_COST_EXTENDED,32,1633640,1630773,2867,0.001754976616635244,190,1630583,32.0,32,32,16,75492,144025
RACE_ONLINE,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_ONLINE,12,2678247,2673313,4934,0.001842249799962438,3691,2669622,32.0,32,32,16,162621,172318
RACE_ONLINE,16,2541357,2536678,4679,0.0018411423503270103,713,2535965,32.0,32,32,16,151291,170631
RACE_ONLINE,24,2146990,2143019,3971,0.001849566136777535,389,2142630,32.0,32,32,16,115951,162163
RACE_ONLINE,32,1650597,1647682,2915,0.0017660276857403715,255,1647427,32.0,32,32,16,75920,144954
RACE_ONLINE_EXTENDED,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_ONLINE_EXTENDED,12,2673900,2668954,4946,0.0018497326003216277,3291,2665663,32.0,32,32,16,162257,172465
RACE_ONLINE_EXTENDED,16,2529905,2525261,4644,0.0018356420498002889,592,2524669,32.0,32,32,16,150643,170287
RACE_ONLINE_EXTENDED,24,2123823,2119907,3916,0.001843844802509437,349,2119558,32.0,32,32,16,115596,161548
RACE_ONLINE_EXTENDED,32,1627933,1625085,2848,0.0017494577479540007,201,1624884,32.0,32,32,16,75178,143977
RACE_ONLINE_GLOBAL,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_ONLINE_GLOBAL,12,2679809,2674868,4941,0.0018437881207205439,3693,2671175,32.0,32,32,16,163029,172314
RACE_ONLINE_GLOBAL,16,2543193,2538554,4639,0.0018240849200198334,733,2537821,32.0,32,32,16,151315,170531
RACE_ONLINE_GLOBAL,24,2153591,2149621,3970,0.0018434326666484026,415,2149206,32.0,32,32,16,116988,162978
RACE_ONLINE_GLOBAL,32,1673093,1670128,2965,0.0017721668789481518,256,1669872,32.0,32,32,16,77822,146686
RACE_STATIC,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_STATIC,12,2670957,2666043,4914,0.0018397900078511186,4010,0,32.0,32,32,0,0,0
RACE_STATIC,16,2536018,2531392,4626,0.0018241195448928202,573,0,32.0,32,32,0,0,0
RACE_STATIC,24,2161696,2157698,3998,0.001849473746539754,341,0,32.0,32,32,0,0,0
RACE_STATIC,32,1671634,1668567,3067,0.001834731765446264,169,0,32.0,32,32,0,0,0
RACE_STATIC_EXTENDED,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_STATIC_EXTENDED,12,2670961,2666046,4915,0.0018401616496833912,4014,0,32.0,32,32,0,0,0
RACE_STATIC_EXTENDED,16,2535452,2530828,4624,0.0018237379370621097,582,0,32.0,32,32,0,0,0
RACE_STATIC_EXTENDED,24,2160516,2156514,4002,0.001852335275461973,341,0,32.0,32,32,0,0,0
RACE_STATIC_EXTENDED,32,1670277,1667208,3069,0.0018374197812698132,173,0,32.0,32,32,0,0,0
RACE_STATIC_PERLAYER,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_STATIC_PERLAYER,12,2671483,2666562,4921,0.00184204803100001,4040,0,32.0,32,32,0,0,0
RACE_STATIC_PERLAYER,16,2536645,2532022,4623,0.0018224860002089374,578,0,32.0,32,32,0,0,0
RACE_STATIC_PERLAYER,24,2160752,2156725,4027,0.0018637030071012315,340,0,32.0,32,32,0,0,0
RACE_STATIC_PERLAYER,32,1669522,1666473,3049,0.0018262712321251233,187,0,32.0,32,32,0,0,0
RACE_UNIFORM,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_UNIFORM,12,2686629,2681658,4971,0.0018502740795249362,2361,0,32.0,32,32,0,0,0
RACE_UNIFORM,16,2560990,2556252,4738,0.0018500657948683906,489,0,32.0,32,32,0,0,0
RACE_UNIFORM,24,2185257,2181190,4067,0.0018611083273042941,270,0,32.0,32,32,0,0,0
RACE_UNIFORM,32,1712711,1709579,3132,0.0018286797947814897,111,0,32.0,32,32,0,0,0
RACE_UNIFORM_EXTENDED,8,0,0,0,0.0,0,0,,0,,0,0,0
RACE_UNIFORM_EXTENDED,12,2683379,2678413,4966,0.0018506517342499885,2537,0,32.0,32,32,0,0,0
RACE_UNIFORM_EXTENDED,16,2553920,2549213,4707,0.0018430491166520485,481,0,32.0,32,32,0,0,0
RACE_UNIFORM_EXTENDED,24,2172730,2168693,4037,0.0018580311405466854,293,0,32.0,32,32,0,0,0
RACE_UNIFORM_EXTENDED,32,1693250,1690166,3084,0.0018213494758600325,119,0,32.0,32,32,0,0,0
