variant,capacity,resolved_examples,cumulative_mixture_rank_loss,best_fixed_adviser_rank_loss,best_fixed_adviser_by_rank_loss,empirical_rank_regret,empirical_rank_regret_per_example,cumulative_mixture_cost_loss,best_fixed_adviser_cost_loss,best_fixed_adviser_by_cost_loss,empirical_cost_regret,mean_mixture_rank_loss,mean_adviser_rank_loss,adviser_order
RACE_COST,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_COST,12,2672052,931675.995931623,917618.3546289786,LFU_DECAY,14057.641302644392,0.005260990917334091,862060.8161710568,864220.5484707229,LFU_DECAY,-2159.732299666037,0.34867435062327495,"[0.36918976801246833, 0.3685259543476801, 0.377875203136231, 0.39651651176963404, 0.41838658825516595, 0.4328160392327292, 0.35285324740924984, 0.34341335970594083, 0.5314012530001744]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_COST,16,2533410,952031.1267070462,926336.2214753812,LFU_DECAY,25694.905231665005,0.010142418807719636,875942.0663817473,878243.462095794,LFU_DECAY,-2301.395714046783,0.3757903879384096,"[0.38903014887610105, 0.3858495375026298, 0.39118415915576116, 0.40585940363222006, 0.4246292952523115, 0.4381713662798407, 0.3720064488510271, 0.3656479691306899, 0.5140359020752754]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_COST,24,2149949,852661.1137585789,816163.9603101357,LFU_DECAY,36497.15344844316,0.01697582289088865,771162.2364593883,768233.1117540573,MARKOV_H1,2929.1247053309344,0.3965959721642601,"[0.40941146970297826, 0.40231302510012573, 0.40183902416065437, 0.41070461830320737, 0.4250292187777829, 0.43724784508286, 0.38253236823701975, 0.37962014927337145, 0.49200739480193056]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_COST,32,1680181,671900.2202697629,639645.6110069951,LFU_DECAY,32254.60926276783,0.01919710392080843,601219.3179454134,599070.2721989286,MARKOV_H1,2149.0457464847714,0.3998975231060004,"[0.4150002877728675, 0.4055235470575315, 0.4020283291833407, 0.4072846918324004, 0.41849335366529966, 0.4294488033450809, 0.3821678403205058, 0.380700419185192, 0.48292737925314033]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_COST_EXTENDED,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_COST_EXTENDED,12,2668808,888106.7572199784,884058.9157084599,STAGE1_HYBRID,4047.8415115184616,0.0015167226385406748,811231.1007245157,806399.4911453822,STAGE1_HYBRID,4831.609579133568,0.33277281738513165,"[0.3705345552047209, 0.36989346199233414, 0.3787962700255411, 0.39678586129735477, 0.4182350727196877, 0.4327698554946676, 0.3539478093339005, 0.3452028376554206, 0.5354848320519328, 0.33125609474659096]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_COST_EXTENDED,16,2525655,896273.464280448,892361.2930695574,STAGE1_HYBRID,3912.171210890636,0.0015489729242080315,817370.2032865855,812553.8879834187,STAGE1_HYBRID,4816.315303166863,0.3548677330357662,"[0.3917116886053383, 0.39014812328054027, 0.39670469384614904, 0.4122296638371031, 0.43114870510358677, 0.4449580011830339, 0.3773820871397672, 0.37152629880372906, 0.519550350273562, 0.35331876011155816]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_COST_EXTENDED,24,2121549,792080.2295514673,789000.1921567499,STAGE1_HYBRID,3080.037394717452,0.0014517870644125835,711398.3126339337,706931.5671493063,STAGE1_HYBRID,4466.745484627434,0.3733499577673989,"[0.4120255752524263, 0.4074864890213387, 0.4096515114052802, 0.4204846039011629, 0.43531151201204993, 0.4473755653289618, 0.39303262301406927, 0.39041956729321126, 0.4968027086103168, 0.3718981707029863]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_COST_EXTENDED,32,1630773,616940.7883503932,614217.6111755394,STAGE1_HYBRID,2723.177174853743,0.00166986893629815,548401.6619457919,544296.9880590532,STAGE1_HYBRID,4104.673886738718,0.3783118731732701,"[0.41946255985839653, 0.4123221078259201, 0.4113395363642789, 0.41812807128310625, 0.42937923644306886, 0.4399830814596581, 0.39361328901549947, 0.3925727309040858, 0.48602017733578595, 0.3766420042369719]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
