workload,regime,capacity,stage0_simple_policy,stage0_simple_cost,stage1_cost,RACE_UNIFORM_cost,RACE_STATIC_cost,RACE_ONLINE_cost,RACE_COST_cost,RACE_STATIC_PERLAYER_cost,RACE_ONLINE_GLOBAL_cost,RACE_UNIFORM_EXTENDED_cost,RACE_STATIC_EXTENDED_cost,RACE_ONLINE_EXTENDED_cost,RACE_COST_EXTENDED_cost,oracle_cost,race_improvement_over_stage1,original_oracle_gap_closed,stage1_residual_recovered,regression_ratio
stationary_general,stationary,8,lfu,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,743541.0,0.0,,,1.0
stationary_general,stationary,12,lfu_decay,591023.0,589958.0,612779.0,605881.0,590966.0,590946.0,605322.0,591043.0,609022.0,605458.0,587168.0,587507.0,490816.0,-0.0017085962051535872,0.0005688225373476903,-0.01016723487522947,1.0017085962051535
stationary_general,stationary,16,lfu_decay,488647.0,484550.0,514933.0,500232.0,488497.0,487098.0,499319.0,488745.0,507169.0,499574.0,481422.0,482008.0,361227.0,-0.008145702197915591,0.0011772092293203579,-0.03200538423489536,1.0081457021979157
stationary_general,stationary,24,lfu_decay,330793.0,328050.0,357175.0,339812.0,327754.0,326213.0,339040.0,330854.0,348678.0,339167.0,323581.0,325108.0,206469.0,0.0009023014784331657,0.024444194202245743,0.0024345909311487813,0.9990976985215668
stationary_general,stationary,32,lfu_decay,211706.0,213347.0,233199.0,219968.0,207893.0,208469.0,220080.0,211619.0,226640.0,219442.0,207156.0,210279.0,114832.0,0.025563987307063142,0.039360406300968265,0.05536212759478252,0.9744360126929369
stationary_coding,stationary,8,lfu,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,690459.0,0.0,,,1.0
stationary_coding,stationary,12,lfu_decay,478097.0,468087.0,480001.0,471987.0,471785.0,471475.0,471593.0,476616.0,476437.0,471644.0,468285.0,468259.0,387103.0,-0.007900240767207805,0.06936721102490274,-0.0456633409068458,1.0079002407672077
stationary_coding,stationary,16,lfu_decay,362112.0,349939.0,358756.0,354093.0,353652.0,355405.0,353607.0,359044.0,355744.0,353882.0,350105.0,350109.0,258999.0,-0.01061042067331735,0.08204591079689273,-0.04082911809984605,1.0106104206733173
stationary_coding,stationary,24,lfu_decay,214192.0,202082.0,208332.0,207001.0,206975.0,209092.0,206790.0,210772.0,206373.0,206794.0,202280.0,202467.0,128628.0,-0.024212943260656566,0.08434622037305409,-0.06661311841424565,1.0242129432606566
stationary_coding,stationary,32,lfu_decay,122784.0,113003.0,118516.0,115453.0,116974.0,120035.0,115253.0,121332.0,116930.0,115301.0,113301.0,113510.0,65310.0,-0.03514065998247834,0.10108918815464384,-0.08326169458830436,1.0351406599824784
stationary_math,stationary,8,lfu,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,756075.0,0.0,,,1.0
stationary_math,stationary,12,lfu_decay,586400.0,575892.0,591434.0,588722.0,584073.0,583226.0,588446.0,586221.0,587877.0,588402.0,576078.0,576071.0,487947.0,-0.014205788585359754,0.02363564340345139,-0.0930240491216101,1.0142057885853597
stationary_math,stationary,16,lfu_decay,481163.0,464644.0,482879.0,480053.0,473283.0,474499.0,479347.0,481296.0,478106.0,479516.0,464902.0,464922.0,359594.0,-0.018592729057084565,0.06481915619936003,-0.08223702998572109,1.0185927290570846
stationary_math,stationary,24,lfu_decay,318036.0,301769.0,313961.0,313437.0,309654.0,317623.0,313180.0,315801.0,310123.0,312985.0,302179.0,302836.0,202555.0,-0.026129257809781654,0.07258336869268538,-0.07947467091337916,1.0261292578097816
stationary_math,stationary,32,lfu_decay,193152.0,182140.0,191309.0,187814.0,187279.0,199140.0,187784.0,192005.0,188529.0,187661.0,182550.0,184016.0,106587.0,-0.02821456022839574,0.06784497198636863,-0.06801847709554883,1.0282145602283956
stationary_reasoning,stationary,8,lfu,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,802545.0,0.0,,,1.0
stationary_reasoning,stationary,12,lfu_decay,650118.0,630784.0,636072.0,637248.0,632821.0,632401.0,636998.0,633950.0,634431.0,636980.0,630397.0,629756.0,530522.0,-0.003229314630681818,0.144628582895749,-0.020316770062436415,1.0032293146306819
stationary_reasoning,stationary,16,lfu_decay,540368.0,515535.0,523368.0,522606.0,520647.0,521432.0,521783.0,525524.0,520979.0,522309.0,514903.0,514094.0,395463.0,-0.009915912595653059,0.13609606293778684,-0.042574455326803914,1.0099159125956532
stationary_reasoning,stationary,24,lfu_decay,367556.0,343417.0,349617.0,349070.0,357081.0,361779.0,348711.0,364357.0,346937.0,348914.0,344860.0,345138.0,230349.0,-0.03978836225347027,0.07634450137383661,-0.12084763151377932,1.0397883622534703
stationary_reasoning,stationary,32,lfu_decay,236020.0,219911.0,222824.0,221699.0,229890.0,240250.0,221957.0,237011.0,221406.0,221559.0,220466.0,221996.0,129629.0,-0.04537744814947865,0.05761765562876559,-0.11053144591391419,1.0453774481494786
general_to_coding,abrupt,8,lfu,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,1433982.0,0.0,,,1.0
general_to_coding,abrupt,12,lfu_decay,1069228.0,1058094.0,1092753.0,1077855.0,1069172.0,1068502.0,1076900.0,1069248.0,1085446.0,1077096.0,1055517.0,1055686.0,877829.0,-0.01046976922655265,0.00029258251088041214,-0.06145397054336671,1.0104697692265527
general_to_coding,abrupt,16,lfu_decay,850865.0,834522.0,873639.0,854300.0,849347.0,846552.0,852908.0,850963.0,862868.0,853436.0,831482.0,832017.0,620077.0,-0.01776466048827952,0.006577465032843995,-0.06913194525402784,1.0177646604882795
general_to_coding,abrupt,24,lfu_decay,545013.0,530035.0,565354.0,546679.0,538558.0,535511.0,545693.0,543860.0,554909.0,545832.0,525631.0,527124.0,334829.0,-0.016080070184044448,0.030711186389068626,-0.0436615677796789,1.0160800701840444
general_to_coding,abrupt,32,lfu_decay,334386.0,326131.0,351411.0,335151.0,327714.0,328287.0,335072.0,334023.0,343268.0,334482.0,319989.0,323024.0,179764.0,-0.004853877736247091,0.04315039257026814,-0.010815279400411295,1.004853877736247
coding_to_general,abrupt,8,lfu,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,1433992.0,0.0,,,1.0
coding_to_general,abrupt,12,lfu_decay,1069157.0,1058136.0,1092802.0,1077858.0,1063178.0,1063287.0,1076899.0,1067621.0,1085487.0,1077099.0,1056979.0,1057976.0,877841.0,-0.004764982951151837,0.031251960107884336,-0.027965279125877034,1.0047649829511518
coding_to_general,abrupt,16,lfu_decay,850900.0,834753.0,873715.0,854355.0,842591.0,844001.0,852908.0,847712.0,863008.0,853497.0,833282.0,834129.0,620099.0,-0.009389603870845628,0.036000710568845025,-0.03651457694708694,1.0093896038708456
coding_to_general,abrupt,24,lfu_decay,545108.0,530371.0,565639.0,546877.0,535567.0,538266.0,545870.0,541562.0,555210.0,546037.0,527716.0,529646.0,334892.0,-0.009796915743884941,0.045386649921985,-0.026580860348170393,1.0097969157438849
coding_to_general,abrupt,32,lfu_decay,334559.0,326523.0,351941.0,335576.0,325491.0,331509.0,335441.0,333143.0,343794.0,334823.0,323282.0,326222.0,179823.0,0.003160573680873935,0.05860304001654431,0.007034764826175869,0.996839426319126
general_to_math,abrupt,8,lfu,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,1499588.0,0.0,,,1.0
general_to_math,abrupt,12,lfu_decay,1177459.0,1165865.0,1204159.0,1194548.0,1177402.0,1177241.0,1193720.0,1177479.0,1196854.0,1193814.0,1163264.0,1163445.0,978683.0,-0.00989565687279402,0.00028675494023423353,-0.06163519996580868,1.009895656872794
general_to_math,abrupt,16,lfu_decay,969868.0,949182.0,997729.0,980199.0,969363.0,964554.0,978571.0,969966.0,985217.0,979001.0,946117.0,946660.0,720684.0,-0.02126146513524277,0.0020266148709387442,-0.08832024787963133,1.0212614651352427
general_to_math,abrupt,24,lfu_decay,648903.0,629781.0,670978.0,653137.0,640414.0,645332.0,652107.0,647317.0,658667.0,652049.0,625312.0,626854.0,408761.0,-0.016883646855017854,0.03534991796520392,-0.0481087684372455,1.0168836468550178
