scope,capacity,stage1_cost,stage3_cost,oracle_cost,improvement_vs_stage1,original_oracle_gap_closed
stationary,8,2992620.0,2992620.0,2992620.0,0.0,
stationary,12,2264721.0,2203006.0,1896388.0,0.027250597314194554,0.25078069639584605
stationary,16,1814668.0,1747460.0,1375283.0,0.0370359757266894,0.251163464498488
stationary,24,1175318.0,1124785.0,768001.0,0.04299517237037125,0.22870187817785617
stationary,32,728401.0,693193.0,416358.0,0.04833601271826919,0.20290293230138437
abrupt,8,5926143.0,5926143.0,5926143.0,0.0,
abrupt,12,4488773.0,4364556.0,3752707.0,0.027672818384890482,0.2348051961045474
abrupt,16,3598607.0,3459146.0,2715747.0,0.038754162374496574,0.23938135448416706
abrupt,24,2335230.0,2219532.0,1511098.0,0.04954458447347799,0.22438281505746233
abrupt,32,1449860.0,1363585.0,816437.0,0.05950574538231278,0.20278585218373218
repeated,8,936595.0,936595.0,936595.0,0.0,
repeated,12,716788.0,695756.0,598832.0,0.029342009073812618,0.24555736314031962
repeated,16,577674.0,553568.0,436094.0,0.04172941832244484,0.24977488265159498
repeated,24,377218.0,357838.0,244364.0,0.05137612733220578,0.22403512131075795
repeated,32,235345.0,220339.0,132133.0,0.06376171152988167,0.20528691515528286
mixed,8,2994367.0,2994367.0,2994367.0,0.0,
mixed,12,2277997.0,2206910.0,1898544.0,0.031205923449416306,0.2721019547303246
mixed,16,1831903.0,1751843.0,1377663.0,0.04370318734125115,0.2757741037660985
mixed,24,1193292.0,1130850.0,771488.0,0.05232751078528977,0.2603604734687493
mixed,32,745919.0,700885.0,420918.0,0.06037384756253695,0.24162711827677372
