capacity,eviction_events,oracle_consistent_eviction_rate,oracle_optimal_eviction_rate,pairwise_ordering_accuracy_capped,pairwise_ordering_accuracy_true,variant
8,0,,,,,STAGE3_RANKER
12,2662023,0.7654238900264949,0.25742489828224624,0.7027925559042512,0.7019094253920347,STAGE3_RANKER
16,2508123,0.5698755603293778,0.15698831357154333,0.6826754393533129,0.6819035146877944,STAGE3_RANKER
24,2096050,0.3434574556904654,0.10928365258462346,0.6641460223032992,0.6632496208942665,STAGE3_RANKER
32,1601243,0.23452093155130108,0.09756045771940923,0.6587119918165522,0.6575043414333411,STAGE3_RANKER
8,0,,,,,STAGE3_RANKER_NO_REQUEST_SCOPE
12,2662646,0.7556201612981973,0.2504027948138806,0.6967174989157481,0.6957606820158814,STAGE3_RANKER_NO_REQUEST_SCOPE
16,2514300,0.5476247862228055,0.1466698484667701,0.6756597010226021,0.6747649757325815,STAGE3_RANKER_NO_REQUEST_SCOPE
24,2104739,0.3248027427628794,0.1001535107203316,0.6581815051097666,0.6571837258920207,STAGE3_RANKER_NO_REQUEST_SCOPE
32,1616330,0.21801983505843484,0.08736520388781993,0.6523500072440241,0.6510152312675063,STAGE3_RANKER_NO_REQUEST_SCOPE
8,0,,,,,STAGE3_RANKER_POOLED
12,2664860,0.7724372012038155,0.2595783643418416,0.7037846796200364,0.702990216464025,STAGE3_RANKER_POOLED
16,2512436,0.5863146364723321,0.16511067346591118,0.6831407876915356,0.6824658408705819,STAGE3_RANKER_POOLED
24,2087698,0.35771217867718413,0.11663660165407065,0.6635278508105236,0.6626789306623349,STAGE3_RANKER_POOLED
32,1579675,0.2375153116938611,0.09811132036653109,0.6570815845395545,0.6558056017635061,STAGE3_RANKER_POOLED
8,0,,,,,STAGE3_RANKER_ROUND1_DATA
12,2663341,0.7695330789410744,0.25839838007975696,0.7029780750774897,0.7021484294508754,STAGE3_RANKER_ROUND1_DATA
16,2511323,0.5832109210961712,0.16338798314673184,0.6824466846061726,0.6817624099890179,STAGE3_RANKER_ROUND1_DATA
24,2090360,0.3623997780286649,0.11843988595265888,0.663053939753314,0.6622613925773967,STAGE3_RANKER_ROUND1_DATA
32,1589489,0.24911528170374253,0.10571573631525603,0.657446620342594,0.656345325145215,STAGE3_RANKER_ROUND1_DATA
