capacity,flagged,regime,regression_ratio,stage1_cost,stage3_cost,workload
8,False,stationary,1.0,743541.0,743541.0,stationary_general
12,False,stationary,0.9676502395085752,589958.0,570873.0,stationary_general
16,False,stationary,0.9511773810752244,484550.0,460893.0,stationary_general
24,False,stationary,0.9269105319311081,328050.0,304073.0,stationary_general
32,False,stationary,0.9000876506348812,213347.0,192031.0,stationary_general
8,False,stationary,1.0,690459.0,690459.0,stationary_coding
12,False,stationary,0.9753998722459714,468087.0,456572.0,stationary_coding
16,False,stationary,0.9686431063699673,349939.0,338966.0,stationary_coding
24,False,stationary,0.9690422699696163,202082.0,195826.0,stationary_coding
32,False,stationary,0.9938408714812881,113003.0,112307.0,stationary_coding
8,False,stationary,1.0,756075.0,756075.0,stationary_math
12,False,stationary,0.9783969911024983,575892.0,563451.0,stationary_math
16,False,stationary,0.9714146744604472,464644.0,451362.0,stationary_math
24,False,stationary,0.9655597493446975,301769.0,291376.0,stationary_math
32,False,stationary,0.9605742835181729,182140.0,174959.0,stationary_math
8,False,stationary,1.0,802545.0,802545.0,stationary_reasoning
12,False,stationary,0.9703955712256493,630784.0,612110.0,stationary_reasoning
16,False,stationary,0.9625709214699293,515535.0,496239.0,stationary_reasoning
24,False,stationary,0.9711516902191796,343417.0,333510.0,stationary_reasoning
32,False,stationary,0.9726480257922523,219911.0,213896.0,stationary_reasoning
8,False,abrupt,1.0,1433982.0,1433982.0,general_to_coding
12,False,abrupt,0.9709997410438014,1058094.0,1027409.0,general_to_coding
16,False,abrupt,0.9583725773556598,834522.0,799783.0,general_to_coding
24,False,abrupt,0.9428811304913827,530035.0,499760.0,general_to_coding
32,False,abrupt,0.9323829994695383,326131.0,304079.0,general_to_coding
8,False,abrupt,1.0,1433992.0,1433992.0,coding_to_general
12,False,abrupt,0.9709706502755789,1058136.0,1027419.0,coding_to_general
16,False,abrupt,0.9581121601240127,834753.0,799787.0,coding_to_general
24,False,abrupt,0.9423799566718392,530371.0,499811.0,coding_to_general
32,False,abrupt,0.9315209035810648,326523.0,304163.0,coding_to_general
8,False,abrupt,1.0,1499588.0,1499588.0,general_to_math
12,False,abrupt,0.972887083839038,1165865.0,1134255.0,general_to_math
16,False,abrupt,0.9609832466270958,949182.0,912148.0,general_to_math
24,False,abrupt,0.9452984450150131,629781.0,595331.0,general_to_math
32,False,abrupt,0.9277046883456498,395406.0,366820.0,general_to_math
8,False,abrupt,1.0,1558581.0,1558581.0,math_to_reasoning
12,False,abrupt,0.9741397456487978,1206678.0,1175473.0,math_to_reasoning
16,False,abrupt,0.9666153139825537,980150.0,947428.0,math_to_reasoning
24,False,abrupt,0.9683540477146485,645043.0,624630.0,math_to_reasoning
32,False,abrupt,0.9669561971129915,401800.0,388523.0,math_to_reasoning
8,False,repeated,1.0,936595.0,936595.0,repeated_domain_cycle
12,False,repeated,0.9706579909261874,716788.0,695756.0,repeated_domain_cycle
16,False,repeated,0.9582705816775552,577674.0,553568.0,repeated_domain_cycle
24,False,repeated,0.9486238726677942,377218.0,357838.0,repeated_domain_cycle
32,False,repeated,0.9362382884701184,235345.0,220339.0,repeated_domain_cycle
8,False,mixed,1.0,2994367.0,2994367.0,mixed_interleaved
12,False,mixed,0.9687940765505837,2277997.0,2206910.0,mixed_interleaved
16,False,mixed,0.9562968126587489,1831903.0,1751843.0,mixed_interleaved
24,False,mixed,0.9476724892147103,1193292.0,1130850.0,mixed_interleaved
32,False,mixed,0.9396261524374631,745919.0,700885.0,mixed_interleaved
